forecast_id,release_time,horizon_hour,target_time,pv_forecast_kw,pv_actual_kw,alignment_status,unmatched_reason,absolute_error_kw
83,2025-01-01 18:00:00,11,2025-01-02 05:00:00,0,0,matched,,0
84,2025-01-01 18:00:00,12,2025-01-02 06:00:00,0,0,matched,,0
85,2025-01-01 18:00:00,13,2025-01-02 07:00:00,5.5153,6.6375,matched,,1.1222
86,2025-01-01 18:00:00,14,2025-01-02 08:00:00,1227.5446,1536.3375,matched,,308.7929
87,2025-01-01 18:00:00,15,2025-01-02 09:00:00,2350.4812,3267.2625,matched,,916.7813
88,2025-01-01 18:00:00,16,2025-01-02 10:00:00,3845.2786,4356.1125,matched,,510.8339
89,2025-01-01 18:00:00,17,2025-01-02 11:00:00,4815.3247,5277.5625,matched,,462.2378
90,2025-01-01 18:00:00,18,2025-01-02 12:00:00,4086.8116,5328.3,matched,,1241.4884
91,2025-01-01 18:00:00,19,2025-01-02 13:00:00,4228.7374,5393.2875,matched,,1164.5501
92,2025-01-01 18:00:00,20,2025-01-02 14:00:00,3799.2978,4791.45,matched,,992.1522
93,2025-01-01 18:00:00,21,2025-01-02 15:00:00,2472.4285,3140.175,matched,,667.7465
94,2025-01-01 18:00:00,22,2025-01-02 16:00:00,1182.0118,1662.6,matched,,480.5882
95,2025-01-01 18:00:00,23,2025-01-02 17:00:00,5.091,6.675,matched,,1.584
96,2025-01-01 18:00:00,24,2025-01-02 18:00:00,0,0,matched,,0
97,2025-01-02 00:00:00,1,2025-01-02 01:00:00,0,0,matched,,0
98,2025-01-02 00:00:00,2,2025-01-02 02:00:00,0,0,matched,,0
99,2025-01-02 00:00:00,3,2025-01-02 03:00:00,0,0,matched,,0
100,2025-01-02 00:00:00,4,2025-01-02 04:00:00,0,0,matched,,0
101,2025-01-02 00:00:00,5,2025-01-02 05:00:00,0,0,matched,,0
102,2025-01-02 00:00:00,6,2025-01-02 06:00:00,0,0,matched,,0
103,2025-01-02 00:00:00,7,2025-01-02 07:00:00,6.3604,6.6375,matched,,0.2771
104,2025-01-02 00:00:00,8,2025-01-02 08:00:00,1424.7328,1536.3375,matched,,111.6047
105,2025-01-02 00:00:00,9,2025-01-02 09:00:00,2844.2052,3267.2625,matched,,423.0573
106,2025-01-02 00:00:00,10,2025-01-02 10:00:00,3600.2106,4356.1125,matched,,755.9019
107,2025-01-02 00:00:00,11,2025-01-02 11:00:00,4746.2786,5277.5625,matched,,531.2839
108,2025-01-02 00:00:00,12,2025-01-02 12:00:00,4915.505,5328.3,matched,,412.795
109,2025-01-02 00:00:00,13,2025-01-02 13:00:00,5251.6498,5393.2875,matched,,141.6377
110,2025-01-02 00:00:00,14,2025-01-02 14:00:00,4965.3525,4791.45,matched,,173.9025
111,2025-01-02 00:00:00,15,2025-01-02 15:00:00,3588.0375,3140.175,matched,,447.8625
112,2025-01-02 00:00:00,16,2025-01-02 16:00:00,1839.6,1662.6,matched,,177
113,2025-01-02 00:00:00,17,2025-01-02 17:00:00,8.0706,6.675,matched,,1.3956
114,2025-01-02 00:00:00,18,2025-01-02 18:00:00,0,0,matched,,0
115,2025-01-02 00:00:00,19,2025-01-02 19:00:00,0,0,matched,,0
116,2025-01-02 00:00:00,20,2025-01-02 20:00:00,0,0,matched,,0
117,2025-01-02 00:00:00,21,2025-01-02 21:00:00,0,0,matched,,0
118,2025-01-02 00:00:00,22,2025-01-02 22:00:00,0,0,matched,,0
119,2025-01-02 00:00:00,23,2025-01-02 23:00:00,0,0,matched,,0
120,2025-01-02 00:00:00,24,2025-01-03 00:00:00,0,0,matched,,0
121,2025-01-02 06:00:00,1,2025-01-02 07:00:00,6.5122,6.6375,matched,,0.1253
122,2025-01-02 06:00:00,2,2025-01-02 08:00:00,1453.1843,1536.3375,matched,,83.1532
123,2025-01-02 06:00:00,3,2025-01-02 09:00:00,3099.4257,3267.2625,matched,,167.8368
124,2025-01-02 06:00:00,4,2025-01-02 10:00:00,4269.3966,4356.1125,matched,,86.7159
125,2025-01-02 06:00:00,5,2025-01-02 11:00:00,5146.0167,5277.5625,matched,,131.5458
126,2025-01-02 06:00:00,6,2025-01-02 12:00:00,5556.849,5328.3,matched,,228.549
127,2025-01-02 06:00:00,7,2025-01-02 13:00:00,5946.4073,5393.2875,matched,,553.1198
128,2025-01-02 06:00:00,8,2025-01-02 14:00:00,5359.9875,4791.45,matched,,568.5375
129,2025-01-02 06:00:00,9,2025-01-02 15:00:00,3342.8554,3140.175,matched,,202.6804
130,2025-01-02 06:00:00,10,2025-01-02 16:00:00,1758.32,1662.6,matched,,95.72
131,2025-01-02 06:00:00,11,2025-01-02 17:00:00,6.5192,6.675,matched,,0.1558
132,2025-01-02 06:00:00,12,2025-01-02 18:00:00,0,0,matched,,0
133,2025-01-02 06:00:00,13,2025-01-02 19:00:00,0,0,matched,,0
134,2025-01-02 06:00:00,14,2025-01-02 20:00:00,0,0,matched,,0
135,2025-01-02 06:00:00,15,2025-01-02 21:00:00,0,0,matched,,0
136,2025-01-02 06:00:00,16,2025-01-02 22:00:00,0,0,matched,,0
137,2025-01-02 06:00:00,17,2025-01-02 23:00:00,0,0,matched,,0
138,2025-01-02 06:00:00,18,2025-01-03 00:00:00,0,0,matched,,0
139,2025-01-02 06:00:00,19,2025-01-03 01:00:00,0,0,matched,,0
140,2025-01-02 06:00:00,20,2025-01-03 02:00:00,0,0,matched,,0
141,2025-01-02 06:00:00,21,2025-01-03 03:00:00,0,0,matched,,0
142,2025-01-02 06:00:00,22,2025-01-03 04:00:00,0,0,matched,,0
143,2025-01-02 06:00:00,23,2025-01-03 05:00:00,0,0,matched,,0
144,2025-01-02 06:00:00,24,2025-01-03 06:00:00,0,0,matched,,0
145,2025-01-02 12:00:00,1,2025-01-02 13:00:00,5392.7373,5393.2875,matched,,0.5502
146,2025-01-02 12:00:00,2,2025-01-02 14:00:00,4793.417,4791.45,matched,,1.967
147,2025-01-02 12:00:00,3,2025-01-02 15:00:00,3115.7896,3140.175,matched,,24.3854
148,2025-01-02 12:00:00,4,2025-01-02 16:00:00,1653.8059,1662.6,matched,,8.7941
149,2025-01-02 12:00:00,5,2025-01-02 17:00:00,6.4763,6.675,matched,,0.1987
150,2025-01-02 12:00:00,6,2025-01-02 18:00:00,0,0,matched,,0
151,2025-01-02 12:00:00,7,2025-01-02 19:00:00,0,0,matched,,0
152,2025-01-02 12:00:00,8,2025-01-02 20:00:00,0,0,matched,,0
153,2025-01-02 12:00:00,9,2025-01-02 21:00:00,0,0,matched,,0
154,2025-01-02 12:00:00,10,2025-01-02 22:00:00,0,0,matched,,0
155,2025-01-02 12:00:00,11,2025-01-02 23:00:00,0,0,matched,,0
156,2025-01-02 12:00:00,12,2025-01-03 00:00:00,0,0,matched,,0
157,2025-01-02 12:00:00,13,2025-01-03 01:00:00,0,0,matched,,0
158,2025-01-02 12:00:00,14,2025-01-03 02:00:00,0,0,matched,,0
159,2025-01-02 12:00:00,15,2025-01-03 03:00:00,0,0,matched,,0
160,2025-01-02 12:00:00,16,2025-01-03 04:00:00,0,0,matched,,0
161,2025-01-02 12:00:00,17,2025-01-03 05:00:00,0,0,matched,,0
162,2025-01-02 12:00:00,18,2025-01-03 06:00:00,0,0,matched,,0
163,2025-01-02 12:00:00,19,2025-01-03 07:00:00,11.4514,10.1625,matched,,1.2889
164,2025-01-02 12:00:00,20,2025-01-03 08:00:00,1377.1773,1529.2875,matched,,152.1102
165,2025-01-02 12:00:00,21,2025-01-03 09:00:00,3653.775,3263.25,matched,,390.525
166,2025-01-02 12:00:00,22,2025-01-03 10:00:00,4903.35,4799.25,matched,,104.1
167,2025-01-02 12:00:00,23,2025-01-03 11:00:00,5017.1291,5189.7375,matched,,172.6084
168,2025-01-02 12:00:00,24,2025-01-03 12:00:00,6339.1125,6232.0875,matched,,107.025
169,2025-01-02 18:00:00,1,2025-01-02 19:00:00,0,0,matched,,0
170,2025-01-02 18:00:00,2,2025-01-02 20:00:00,0,0,matched,,0
171,2025-01-02 18:00:00,3,2025-01-02 21:00:00,0,0,matched,,0
172,2025-01-02 18:00:00,4,2025-01-02 22:00:00,0,0,matched,,0
173,2025-01-02 18:00:00,5,2025-01-02 23:00:00,0,0,matched,,0
174,2025-01-02 18:00:00,6,2025-01-03 00:00:00,0,0,matched,,0
175,2025-01-02 18:00:00,7,2025-01-03 01:00:00,0,0,matched,,0
176,2025-01-02 18:00:00,8,2025-01-03 02:00:00,0,0,matched,,0
177,2025-01-02 18:00:00,9,2025-01-03 03:00:00,0,0,matched,,0
178,2025-01-02 18:00:00,10,2025-01-03 04:00:00,0,0,matched,,0
179,2025-01-02 18:00:00,11,2025-01-03 05:00:00,0,0,matched,,0
180,2025-01-02 18:00:00,12,2025-01-03 06:00:00,0,0,matched,,0
181,2025-01-02 18:00:00,13,2025-01-03 07:00:00,9.5321,10.1625,matched,,0.6304
182,2025-01-02 18:00:00,14,2025-01-03 08:00:00,1513.0067,1529.2875,matched,,16.2808
183,2025-01-02 18:00:00,15,2025-01-03 09:00:00,2860.0466,3263.25,matched,,403.2034
184,2025-01-02 18:00:00,16,2025-01-03 10:00:00,3793.6223,4799.25,matched,,1005.6277
185,2025-01-02 18:00:00,17,2025-01-03 11:00:00,4445.8828,5189.7375,matched,,743.8547
186,2025-01-02 18:00:00,18,2025-01-03 12:00:00,4246.4353,6232.0875,matched,,1985.6522
187,2025-01-02 18:00:00,19,2025-01-03 13:00:00,4365.3181,5384.3625,matched,,1019.0444
188,2025-01-02 18:00:00,20,2025-01-03 14:00:00,4051.699,4870.5,matched,,818.801
189,2025-01-02 18:00:00,21,2025-01-03 15:00:00,2758.4743,3262.425,matched,,503.9507
190,2025-01-02 18:00:00,22,2025-01-03 16:00:00,1424.3298,1480.1625,matched,,55.8327
191,2025-01-02 18:00:00,23,2025-01-03 17:00:00,11.2687,9.75,matched,,1.5187
192,2025-01-02 18:00:00,24,2025-01-03 18:00:00,0,0,matched,,0
193,2025-01-03 00:00:00,1,2025-01-03 01:00:00,0,0,matched,,0
194,2025-01-03 00:00:00,2,2025-01-03 02:00:00,0,0,matched,,0
195,2025-01-03 00:00:00,3,2025-01-03 03:00:00,0,0,matched,,0
196,2025-01-03 00:00:00,4,2025-01-03 04:00:00,0,0,matched,,0
197,2025-01-03 00:00:00,5,2025-01-03 05:00:00,0,0,matched,,0
198,2025-01-03 00:00:00,6,2025-01-03 06:00:00,0,0,matched,,0
199,2025-01-03 00:00:00,7,2025-01-03 07:00:00,9.2912,10.1625,matched,,0.8713
200,2025-01-03 00:00:00,8,2025-01-03 08:00:00,1514.0314,1529.2875,matched,,15.2561
201,2025-01-03 00:00:00,9,2025-01-03 09:00:00,3078.4182,3263.25,matched,,184.8318
202,2025-01-03 00:00:00,10,2025-01-03 10:00:00,4510.5495,4799.25,matched,,288.7005
203,2025-01-03 00:00:00,11,2025-01-03 11:00:00,5403.0295,5189.7375,matched,,213.292
204,2025-01-03 00:00:00,12,2025-01-03 12:00:00,6228.0795,6232.0875,matched,,4.008
205,2025-01-03 00:00:00,13,2025-01-03 13:00:00,5051.5846,5384.3625,matched,,332.7779
206,2025-01-03 00:00:00,14,2025-01-03 14:00:00,5134.1073,4870.5,matched,,263.6073
207,2025-01-03 00:00:00,15,2025-01-03 15:00:00,3661.5375,3262.425,matched,,399.1125
208,2025-01-03 00:00:00,16,2025-01-03 16:00:00,1457.3727,1480.1625,matched,,22.7898
209,2025-01-03 00:00:00,17,2025-01-03 17:00:00,10.9081,9.75,matched,,1.1581
210,2025-01-03 00:00:00,18,2025-01-03 18:00:00,0,0,matched,,0
211,2025-01-03 00:00:00,19,2025-01-03 19:00:00,0,0,matched,,0
212,2025-01-03 00:00:00,20,2025-01-03 20:00:00,0,0,matched,,0
213,2025-01-03 00:00:00,21,2025-01-03 21:00:00,0,0,matched,,0
214,2025-01-03 00:00:00,22,2025-01-03 22:00:00,0,0,matched,,0
215,2025-01-03 00:00:00,23,2025-01-03 23:00:00,0,0,matched,,0
216,2025-01-03 00:00:00,24,2025-01-04 00:00:00,0,0,matched,,0
217,2025-01-03 06:00:00,1,2025-01-03 07:00:00,10.1517,10.1625,matched,,0.0108
218,2025-01-03 06:00:00,2,2025-01-03 08:00:00,1543.8265,1529.2875,matched,,14.539
219,2025-01-03 06:00:00,3,2025-01-03 09:00:00,3340.5575,3263.25,matched,,77.3075
220,2025-01-03 06:00:00,4,2025-01-03 10:00:00,4903.35,4799.25,matched,,104.1
221,2025-01-03 06:00:00,5,2025-01-03 11:00:00,5614.4735,5189.7375,matched,,424.736
222,2025-01-03 06:00:00,6,2025-01-03 12:00:00,6339.1125,6232.0875,matched,,107.025
223,2025-01-03 06:00:00,7,2025-01-03 13:00:00,5537.59,5384.3625,matched,,153.2275
224,2025-01-03 06:00:00,8,2025-01-03 14:00:00,4719.9642,4870.5,matched,,150.5358
225,2025-01-03 06:00:00,9,2025-01-03 15:00:00,3200.0998,3262.425,matched,,62.3252
226,2025-01-03 06:00:00,10,2025-01-03 16:00:00,1337.2871,1480.1625,matched,,142.8754
227,2025-01-03 06:00:00,11,2025-01-03 17:00:00,10.2099,9.75,matched,,0.4599
228,2025-01-03 06:00:00,12,2025-01-03 18:00:00,0,0,matched,,0
229,2025-01-03 06:00:00,13,2025-01-03 19:00:00,0,0,matched,,0
230,2025-01-03 06:00:00,14,2025-01-03 20:00:00,0,0,matched,,0
231,2025-01-03 06:00:00,15,2025-01-03 21:00:00,0,0,matched,,0
232,2025-01-03 06:00:00,16,2025-01-03 22:00:00,0,0,matched,,0
233,2025-01-03 06:00:00,17,2025-01-03 23:00:00,0,0,matched,,0
234,2025-01-03 06:00:00,18,2025-01-04 00:00:00,0,0,matched,,0
235,2025-01-03 06:00:00,19,2025-01-04 01:00:00,0,0,matched,,0
236,2025-01-03 06:00:00,20,2025-01-04 02:00:00,0,0,matched,,0
237,2025-01-03 06:00:00,21,2025-01-04 03:00:00,0,0,matched,,0
238,2025-01-03 06:00:00,22,2025-01-04 04:00:00,0,0,matched,,0
239,2025-01-03 06:00:00,23,2025-01-04 05:00:00,0,0,matched,,0
240,2025-01-03 06:00:00,24,2025-01-04 06:00:00,0,0,matched,,0
241,2025-01-03 12:00:00,1,2025-01-03 13:00:00,5352.8521,5384.3625,matched,,31.5104
242,2025-01-03 12:00:00,2,2025-01-03 14:00:00,4911.3123,4870.5,matched,,40.8123
243,2025-01-03 12:00:00,3,2025-01-03 15:00:00,3255.4369,3262.425,matched,,6.9881
244,2025-01-03 12:00:00,4,2025-01-03 16:00:00,1521.1799,1480.1625,matched,,41.0174
245,2025-01-03 12:00:00,5,2025-01-03 17:00:00,10.2119,9.75,matched,,0.4619
246,2025-01-03 12:00:00,6,2025-01-03 18:00:00,0,0,matched,,0
247,2025-01-03 12:00:00,7,2025-01-03 19:00:00,0,0,matched,,0
248,2025-01-03 12:00:00,8,2025-01-03 20:00:00,0,0,matched,,0
249,2025-01-03 12:00:00,9,2025-01-03 21:00:00,0,0,matched,,0
250,2025-01-03 12:00:00,10,2025-01-03 22:00:00,0,0,matched,,0
251,2025-01-03 12:00:00,11,2025-01-03 23:00:00,0,0,matched,,0
252,2025-01-03 12:00:00,12,2025-01-04 00:00:00,0,0,matched,,0
253,2025-01-03 12:00:00,13,2025-01-04 01:00:00,0,0,matched,,0
254,2025-01-03 12:00:00,14,2025-01-04 02:00:00,0,0,matched,,0
255,2025-01-03 12:00:00,15,2025-01-04 03:00:00,0,0,matched,,0
256,2025-01-03 12:00:00,16,2025-01-04 04:00:00,0,0,matched,,0
257,2025-01-03 12:00:00,17,2025-01-04 05:00:00,0,0,matched,,0
258,2025-01-03 12:00:00,18,2025-01-04 06:00:00,0,0,matched,,0
259,2025-01-03 12:00:00,19,2025-01-04 07:00:00,9.7537,15.6375,matched,,5.8838
260,2025-01-03 12:00:00,20,2025-01-04 08:00:00,1081.4534,1621.0875,matched,,539.6341
261,2025-01-03 12:00:00,21,2025-01-04 09:00:00,2125.6273,3318.1875,matched,,1192.5602
262,2025-01-03 12:00:00,22,2025-01-04 10:00:00,3000.3625,4492.7625,matched,,1492.4
263,2025-01-03 12:00:00,23,2025-01-04 11:00:00,3974.1294,5702.1,matched,,1727.9706
264,2025-01-03 12:00:00,24,2025-01-04 12:00:00,5987.1209,6339.1125,matched,,351.9916
265,2025-01-03 18:00:00,1,2025-01-03 19:00:00,0,0,matched,,0
266,2025-01-03 18:00:00,2,2025-01-03 20:00:00,0,0,matched,,0
267,2025-01-03 18:00:00,3,2025-01-03 21:00:00,0,0,matched,,0
268,2025-01-03 18:00:00,4,2025-01-03 22:00:00,0,0,matched,,0
269,2025-01-03 18:00:00,5,2025-01-03 23:00:00,0,0,matched,,0
270,2025-01-03 18:00:00,6,2025-01-04 00:00:00,0,0,matched,,0
271,2025-01-03 18:00:00,7,2025-01-04 01:00:00,0,0,matched,,0
272,2025-01-03 18:00:00,8,2025-01-04 02:00:00,0,0,matched,,0
273,2025-01-03 18:00:00,9,2025-01-04 03:00:00,0,0,matched,,0
274,2025-01-03 18:00:00,10,2025-01-04 04:00:00,0,0,matched,,0
275,2025-01-03 18:00:00,11,2025-01-04 05:00:00,0,0,matched,,0
276,2025-01-03 18:00:00,12,2025-01-04 06:00:00,0,0,matched,,0
277,2025-01-03 18:00:00,13,2025-01-04 07:00:00,12.7298,15.6375,matched,,2.9077
278,2025-01-03 18:00:00,14,2025-01-04 08:00:00,1213.2499,1621.0875,matched,,407.8376
279,2025-01-03 18:00:00,15,2025-01-04 09:00:00,2507.0925,3318.1875,matched,,811.095
280,2025-01-03 18:00:00,16,2025-01-04 10:00:00,3502.5119,4492.7625,matched,,990.2506
281,2025-01-03 18:00:00,17,2025-01-04 11:00:00,5074.2101,5702.1,matched,,627.8899
282,2025-01-03 18:00:00,18,2025-01-04 12:00:00,6321.2807,6339.1125,matched,,17.8318
283,2025-01-03 18:00:00,19,2025-01-04 13:00:00,4741.4501,5575.05,matched,,833.5999
284,2025-01-03 18:00:00,20,2025-01-04 14:00:00,3809.1464,4835.9625,matched,,1026.8161
285,2025-01-03 18:00:00,21,2025-01-04 15:00:00,3157.01,3287.4,matched,,130.39
286,2025-01-03 18:00:00,22,2025-01-04 16:00:00,1275.4294,1495.5,matched,,220.0706
287,2025-01-03 18:00:00,23,2025-01-04 17:00:00,10.5949,13.5375,matched,,2.9426
288,2025-01-03 18:00:00,24,2025-01-04 18:00:00,0,0,matched,,0
289,2025-01-04 00:00:00,1,2025-01-04 01:00:00,0,0,matched,,0
290,2025-01-04 00:00:00,2,2025-01-04 02:00:00,0,0,matched,,0
291,2025-01-04 00:00:00,3,2025-01-04 03:00:00,0,0,matched,,0
292,2025-01-04 00:00:00,4,2025-01-04 04:00:00,0,0,matched,,0
293,2025-01-04 00:00:00,5,2025-01-04 05:00:00,0,0,matched,,0
294,2025-01-04 00:00:00,6,2025-01-04 06:00:00,0,0,matched,,0
295,2025-01-04 00:00:00,7,2025-01-04 07:00:00,16.3286,15.6375,matched,,0.6911
296,2025-01-04 00:00:00,8,2025-01-04 08:00:00,1721.9148,1621.0875,matched,,100.8273
297,2025-01-04 00:00:00,9,2025-01-04 09:00:00,3653.775,3318.1875,matched,,335.5875
298,2025-01-04 00:00:00,10,2025-01-04 10:00:00,4903.35,4492.7625,matched,,410.5875
299,2025-01-04 00:00:00,11,2025-01-04 11:00:00,6040.8,5702.1,matched,,338.7
300,2025-01-04 00:00:00,12,2025-01-04 12:00:00,6339.1125,6339.1125,matched,,0
301,2025-01-04 00:00:00,13,2025-01-04 13:00:00,6134.9039,5575.05,matched,,559.8539
302,2025-01-04 00:00:00,14,2025-01-04 14:00:00,4720.5012,4835.9625,matched,,115.4613
303,2025-01-04 00:00:00,15,2025-01-04 15:00:00,2820.1758,3287.4,matched,,467.2242
304,2025-01-04 00:00:00,16,2025-01-04 16:00:00,1364.0018,1495.5,matched,,131.4982
305,2025-01-04 00:00:00,17,2025-01-04 17:00:00,11.6166,13.5375,matched,,1.9209
306,2025-01-04 00:00:00,18,2025-01-04 18:00:00,0,0,matched,,0
307,2025-01-04 00:00:00,19,2025-01-04 19:00:00,0,0,matched,,0
308,2025-01-04 00:00:00,20,2025-01-04 20:00:00,0,0,matched,,0
309,2025-01-04 00:00:00,21,2025-01-04 21:00:00,0,0,matched,,0
310,2025-01-04 00:00:00,22,2025-01-04 22:00:00,0,0,matched,,0
311,2025-01-04 00:00:00,23,2025-01-04 23:00:00,0,0,matched,,0
