date,solver,status,runtime_seconds,initial_energy_kwh,final_energy_kwh,terminal_value_rates_yuan_per_kwh,terminal_value_breakpoints_kwh,terminal_uncertainty_reserve_kwh,terminal_value_credit_yuan,planned_purchase_cost_yuan,expected_emergency_cost_yuan,expected_total_cost_yuan,optimization_objective_yuan,planned_purchase_energy_kwh,expected_emergency_energy_kwh,expected_planned_grid_used_energy_kwh,expected_unused_planned_grid_energy_kwh,charge_energy_kwh,discharge_energy_kwh,expected_spill_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_power_balance_residual_kw,maximum_soc_residual_kwh,planned_final_energy_kwh,actual_initial_energy_kwh,actual_final_energy_kwh,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,realized_planned_grid_used_energy_kwh,realized_unused_planned_grid_energy_kwh,realized_pv_spill_energy_kwh,actual_charge_energy_kwh,actual_discharge_energy_kwh,battery_clipping_energy_kwh,battery_clipping_intervals
2025-02-11,PuLP HiGHS,Optimal,11.6548041,6903.825529,6962.263736,1.124955|0.726615|0.384264,3124.527471|6962.263736|10800,3124.527471,4953.563537,53756.25747,2038.784104,55795.04158,50841.47804,85946.26826,551.8375683,81915.83764,4030.430625,24472.2959,19769.96529,1409.744966,1200,10800,4.547473509e-13,9.094947018e-13,6962.263736,6903.825529,6962.263736,219.1532948,1102.707002,54858.96447,79480.34559,6465.922676,162.0573,22443.42138,18126.57693,3672.262881,27
2025-02-12,PuLP HiGHS,Optimal,14.0760942,6962.263736,7010.445729,1.124955|0.726615|0.384264,3220.891458|7010.445729|10800,3220.891458,5026.958927,53354.50686,2147.825875,55502.33274,50475.37381,85448.50306,578.739213,81543.04536,3905.457693,24193.08362,19553.03394,1397.916774,1200,10800,4.547473509e-13,1.818989404e-12,7010.445729,6962.263736,7010.445729,360.1514467,1489.190916,54843.69778,79348.67805,6099.825005,163.3842833,22291.29099,18012.5819,3442.244662,27
2025-02-13,PuLP HiGHS,Optimal,6.1419577,7010.445729,7112.239464,1.124955|0.726615|0.384264,3424.478928|7112.239464|10800,3424.478928,5182.020814,53397.16894,1984.427673,55381.59661,50199.5758,85339.56833,529.1664299,81304.84322,4034.725109,24113.10415,19440,1367.322313,1200,10800,2.273736754e-13,4.547473509e-13,7112.239464,7010.445729,7112.239464,308.7778245,1327.555903,54724.72484,75593.71134,9745.856991,684.7270333,19982.46712,16094.18401,7476.453022,30
2025-02-14,PuLP HiGHS,Optimal,4.3986666,7112.239464,7112.239468,1.124955|0.726615|0.384264,3424.478937|7112.239468|10800,3424.478937,5182.020821,20259.58981,1558.459698,21818.04951,16636.02869,37618.64629,438.0016775,35073.38057,2545.265721,18606.02082,15070.87686,3959.85434,1200,10800,4.547473509e-13,1.818989404e-12,7112.239468,7112.239464,7112.239468,1047.732821,3501.563245,23761.15306,35590.07987,2028.566421,3429.318487,17929.9599,14523.26752,1223.67026,18
2025-02-15,PuLP HiGHS,Optimal,4.3127296,7112.239468,7011.219578,1.124955|0.726615|0.384264,3222.439156|7011.219578|10800,3222.439156,5028.137727,20116.63436,1465.515895,21582.15025,16554.01252,37339.1828,405.7785234,34736.02074,2603.162062,18333.22563,14940.83066,4299.909658,1200,10800,4.547473509e-13,1.818989404e-12,7011.219578,7112.239468,7011.219578,768.4432726,2798.681402,22915.31576,35611.19091,1727.991889,3909.446694,17268.49626,14078.39987,1927.16016,20
2025-02-16,PuLP HiGHS,Optimal,5.0438873,7011.219578,7041.732583,1.124955|0.726615|0.384264,3283.465166|7041.732583|10800,3283.465166,5074.618035,51417.04114,2167.032291,53584.07343,48509.4554,82669.50543,571.0076633,78749.1128,3920.392634,23360.97301,18894.92643,1588.120341,1200,10800,2.273736754e-13,1.818989404e-12,7041.732583,7011.219578,7041.732583,977.8747667,3712.885937,55129.92708,78658.92331,4010.582118,30.53916667,22112.72689,17883.84708,2259.325473,17
2025-02-17,PuLP HiGHS,Optimal,1.4534078,7041.732583,6992.555341,1.124955|0.726615|0.384264,3185.110681|6992.555341|10800,3185.110681,4999.706587,50562.1457,2123.427607,52685.57331,47685.86672,81615.17198,572.0926453,77743.71649,3871.455484,23102.83927,18757.55932,1536.124949,1200,10800,0,4.547473509e-13,6992.555341,7041.732583,6992.555341,309.8912997,1280.039052,51842.18475,75508.69871,6106.473263,801.4671667,20407.99578,16574.7361,4877.666719,29
2025-02-18,PuLP HiGHS,Optimal,5.0765539,6992.555341,6967.989425,1.124955|0.726615|0.384264,3135.97885|6967.989425|10800,3135.97885,4962.285451,50420.12062,2063.525538,52483.64615,47521.3607,81211.44152,557.8588005,77358.65982,3852.781707,23205.12983,18818.26449,1696.068707,1200,10800,3.410605132e-13,9.094947018e-13,6967.989425,6992.555341,6967.989425,331.6270114,1271.692363,51691.81298,75936.87576,5274.565761,179.41755,21156.8777,17159.18026,3707.336357,29
2025-02-19,PuLP HiGHS,Optimal,5.5291959,6967.989425,6999.399923,1.124955|0.726615|0.384264,3198.799846|6999.399923|10800,3198.799846,5010.132905,50126.84898,2090.273061,52217.12204,47206.98913,80853.47017,560.0151356,77066.49699,3786.973178,23259.21167,18811.692,1686.403537,1200,10800,3.410605132e-13,9.094947018e-13,6999.399923,6967.989425,6999.399923,900.8356117,3131.052598,53257.90157,76452.95474,4400.515426,167.2432167,22520.79109,18213.57133,1336.541249,20
2025-02-20,PuLP HiGHS,Optimal,4.9033766,6999.399923,7044.466751,1.124955|0.726615|0.384264,3288.933502|7044.466751|10800,3288.933502,5078.78298,49790.57987,2051.344205,51841.92407,46763.14109,80587.64404,546.0751387,76819.09288,3768.551153,23260.53584,18800.47389,1671.554159,1200,10800,3.410605132e-13,1.818989404e-12,7044.466751,6999.399923,7044.466751,513.1987107,2271.881743,52062.46161,75025.99989,5561.644142,391.8144833,21651.00128,17496.75089,2913.257559,21
2025-02-21,PuLP HiGHS,Optimal,2.7729727,7044.466751,6833.884266,1.124955|0.726615|0.384264,2867.768532|6833.884266|10800,2867.768532,4758.003733,19600.31901,1094.384499,20694.70351,15936.69977,36439.94038,293.5220876,34008.72685,2431.213533,17952.61132,14731.1394,5747.175324,1200,10800,4.547473509e-13,1.818989404e-12,6833.884266,7044.466751,6833.884266,262.4784894,878.887616,20479.20662,34157.97327,2281.96711,5740.325757,17417.83267,14297.9687,967.9493621,18
2025-02-22,PuLP HiGHS,Optimal,3.2406708,6833.884266,7007.711735,1.124955|0.726615|0.384264,3215.423471|7007.711735|10800,3215.423471,5022.794248,19713.03758,1208.947321,20921.9849,15899.19065,36688.26297,320.4172624,34297.65566,2390.607314,17951.91354,14384.60524,5767.187569,1200,10800,0,9.094947018e-13,7007.711735,6833.884266,7007.711735,308.6076573,1099.454952,20812.49253,34609.38017,2078.882801,3602.672771,17442.67081,13972.11863,921.7293411,17
2025-02-23,PuLP HiGHS,Optimal,7.2887881,7007.711735,6975.531493,1.124955|0.726615|0.384264,3135.978874|6967.989437|10800,3135.978874,4962.28547,49335.40238,1822.533422,51157.9358,46195.65033,79635.11901,492.3574113,75755.24135,3879.877665,23143.525,18782.00532,1773.553365,1200,10800,4.547473509e-13,1.818989404e-12,6967.989437,7007.711735,6975.531493,680.4406181,2234.828796,51570.23118,75430.04633,4205.072687,462.1534333,21818.11602,17701.6362,2405.778102,23
2025-02-24,PuLP HiGHS,Optimal,2.9054022,6975.531493,6916.90828,1.124955|0.726615|0.384264,3033.816561|6916.90828|10800,3033.816561,4884.473799,48456.56243,2091.889214,50548.45164,45663.97784,78635.79632,559.8112112,74851.40793,3784.388384,23176.44477,18825.68115,1789.30369,1200,10800,9.094947018e-13,1.818989404e-12,6916.90828,6975.531493,6916.90828,346.2135817,1470.004651,49926.56708,72958.02651,5677.769809,1162.302483,21008.76253,17069.85854,3923.504844,32
2025-02-25,PuLP HiGHS,Optimal,3.9844307,6916.90828,6999.399984,1.124955|0.726615|0.384264,3198.799968|6999.399984|10800,3198.799968,5010.132999,48437.87401,2123.552778,50561.42679,45551.29379,78563.26336,565.828489,74922.44682,3640.81654,23356.47361,18844.50109,1760.806977,1200,10800,2.273736754e-13,1.818989404e-12,6999.399984,6916.90828,6999.399984,334.2250767,1151.063574,49588.93759,71462.28461,7100.978748,2074.510367,20139.12396,16238.44787,5823.402875,34
2025-02-26,PuLP HiGHS,Optimal,3.9171968,6999.399984,7011.219256,1.124955|0.726615|0.384264,3222.438512|7011.219256|10800,3222.438512,5028.137237,48389.69091,1967.374537,50357.06544,45328.92821,78519.44562,533.272167,75008.94105,3510.504574,23189.40507,18772.78076,1825.490632,1200,10800,9.094947018e-13,9.094947018e-13,7011.219256,6999.399984,7011.219256,512.4391512,1980.138324,50369.82923,73153.26966,5366.175959,863.7568728,20928.77137,16941.66747,4091.74699,29
2025-02-27,PuLP HiGHS,Optimal,3.2815584,7011.219256,6999.400096,1.124955|0.726615|0.384264,3198.800191|6999.400096|10800,3198.800191,5010.133169,47443.9843,1928.015677,49371.99998,44361.86681,77209.26396,522.4737757,73689.09729,3520.166668,23068.11549,18695.81079,1797.732755,1200,10800,9.094947018e-13,9.094947018e-13,6999.400096,7011.219256,6999.400096,463.0131814,2187.414753,49631.39905,71718.88695,5490.377012,986.8655206,22363.61923,18125.16882,1275.138223,19
2025-02-28,PuLP HiGHS,Optimal,3.0063583,6999.400096,6999.206474,1.124955|0.726615|0.384264,3198.412948|6999.206474|10800,3198.412948,5009.838226,18898.49024,1085.624245,19984.11449,14974.27626,35384.66277,292.6216173,33023.11858,2361.544189,17915.8853,14512.04135,8474.862252,1200,10800,4.547473509e-13,9.094947018e-13,6999.206474,6999.400096,6999.206474,403.4595024,1444.513808,20343.00405,33314.76246,2069.900309,7236.145903,16787.6672,13598.18469,2042.07476,21
2025-03-01,PuLP HiGHS,Optimal,5.490621,6999.206474,6982.299753,1.124955|0.726615|0.384264,3135.978833|6967.989416|10800,3135.978833,4962.285438,19015.76475,1064.119968,20079.88472,15117.59928,35372.96039,291.4051742,33029.77773,2343.182655,17451.68616,14163.96114,8188.189038,1200,10800,4.547473509e-13,1.818989404e-12,6967.989416,6999.206474,6982.299753,647.7845214,2871.68493,21887.44968,32113.77805,3259.182333,6014.160677,16336.06322,13247.42726,2032.156823,21
2025-03-02,PuLP HiGHS,Optimal,4.5916997,6982.299753,6999.206264,1.124955|0.726615|0.384264,3198.412529|6999.206264|10800,3198.412529,5009.837907,46953.12472,2155.046671,49108.17139,44098.33349,76499.92837,563.1859094,72797.73906,3702.189312,22983.1661,18601.14868,1934.034846,1200,10800,4.547473509e-13,4.547473509e-13,6999.206264,6982.299753,6999.206264,3856.510853,14657.67922,61610.80394,72699.15047,3800.777896,0,22011.25473,17813.90047,1759.159589,23
2025-03-03,PuLP HiGHS,Optimal,4.0727264,6999.206264,7000.173573,1.124955|0.726615|0.384264,3200.347147|7000.173573|10800,3200.347147,5011.311404,46911.47314,2227.092899,49138.56604,44127.25464,76334.84302,592.8375111,72639.98355,3694.859468,23233.38866,18818.17424,1869.775139,1200,10800,9.094947018e-13,9.094947018e-13,7000.173573,6999.206264,7000.173573,2888.332671,11689.64176,58601.1149,73594.1952,2740.647827,76.69308841,23093.77667,18705.08853,252.6976966,10
2025-03-04,PuLP HiGHS,Optimal,3.1363032,7000.173573,6969.641618,1.124955|0.726615|0.384264,3139.283235|6969.641618|10800,3139.283235,4964.802228,48115.9712,2496.685349,50612.65655,45647.85432,77996.45516,675.4654447,74173.02359,3823.431572,23173.00277,18797.611,1921.844838,1200,10800,9.094947018e-13,9.094947018e-13,6969.641618,7000.173573,6969.641618,665.8116241,2066.778895,50182.7501,73290.17865,4706.276506,631.8596772,21853.42855,17728.75589,2388.429332,27
2025-03-05,PuLP HiGHS,Optimal,4.0835576,6969.641618,7055.402307,1.124955|0.726615|0.384264,3310.804614|7055.402307|10800,3310.804614,5095.441057,48728.79292,2091.441356,50820.23427,45724.79322,79084.05056,556.9460082,75473.83077,3610.219787,23334.11208,18823.44617,1685.116275,1200,10800,1.182343112e-11,3.637978807e-12,7055.402307,6969.641618,7055.402307,165.082745,685.5007622,49414.29368,70776.17901,8307.87155,904.6214395,20152.54569,16246.37739,5758.635178,31
2025-03-06,PuLP HiGHS,Optimal,3.0714707,7055.402307,7044.466627,1.124955|0.726615|0.384264,3288.933255|7044.466627|10800,3288.933255,5078.782791,48663.87829,2301.943685,50965.82198,45887.03919,78573.21975,609.9519561,74787.60261,3785.617141,23176.94625,18783.16857,1721.596096,1200,10800,9.094947018e-13,9.094947018e-13,7044.466627,7055.402307,7044.466627,317.6543126,932.6375444,49596.51584,70799.92796,7773.291789,1429.861648,19773.20317,16026.13668,6160.774971,31
2025-03-07,PuLP HiGHS,Optimal,3.0294869,7044.466627,7141.185792,1.124955|0.726615|0.384264,3365.839156|7082.919578|10800,3365.839156,5137.357978,18676.14047,1237.896159,19914.03663,14776.67865,34854.35959,338.8108674,32581.15858,2273.201009,17207.60595,13903.55317,5387.936833,1200,10800,0,1.818989404e-12,7082.919578,7044.466627,7141.185792,214.2971611,747.6849792,19423.82545,31633.32075,3221.038848,7808.082874,15948.4329,12831.1834,2331.542819,25
2025-03-08,PuLP HiGHS,Optimal,2.9066088,7141.185792,7007.024211,1.124955|0.726615|0.384264,3185.11047|6992.555235|10800,3185.11047,4999.706426,17800.12052,1117.989495,18918.11002,13918.40359,32848.96583,300.0992628,30438.10792,2410.857907,17218.49389,14080.74756,6995.31986,1200,10800,4.547473509e-13,9.094947018e-13,6992.555235,7141.185792,7007.024211,360.2622465,1106.881421,18907.00194,30822.8728,2026.093027,9048.69271,16800.25392,13728.9511,770.0364271,18
2025-03-09,PuLP HiGHS,Optimal,4.4029056,7007.024211,6919.151712,1.124955|0.726615|0.384264,3038.303425|6919.151712|10800,3038.303425,4887.891208,46094.93192,2294.976992,48389.90892,43502.01771,75012.80675,611.4261893,71378.55201,3634.254744,22980.20692,18693.05286,2035.383682,1200,10800,4.547473509e-13,9.094947018e-13,6919.151712,7007.024211,6919.151712,235.0348697,899.0123933,46993.94432,68532.99871,6479.808047,1564.854102,20782.84038,16913.18596,3977.233443,31
2025-03-10,PuLP HiGHS,Optimal,7.2290739,6919.151712,6916.601949,1.124955|0.726615|0.384264,3033.203899|6916.601949|10800,3033.203899,4884.007166,45303.20556,2052.166261,47355.37182,42471.36466,73933.23525,556.4292929,70170.17964,3763.055612,22720.65021,18406.02145,1925.217596,1200,10800,5.684341886e-13,1.818989404e-12,6916.601949,6919.151712,6916.601949,2073.254287,6044.628796,51347.83436,70429.5594,3503.67585,393.5885915,21418.14965,17350.99601,2357.526001,25
2025-03-11,PuLP HiGHS,Optimal,3.3323113,6916.601949,7049.880181,1.124955|0.726615|0.384264,3283.465275|7041.732637|10800,3283.465275,5074.618118,44997.72182,2122.875337,47120.59716,42045.97904,73894.60575,567.0894108,70264.13435,3630.471404,22627.41441,18215.58805,2044.626556,1200,10800,9.094947018e-13,9.094947018e-13,7041.732637,6916.601949,7049.880181,559.3928336,2137.478858,47135.20068,68568.98974,5325.616014,1214.111765,20291.58736,16316.23535,4235.179758,32
2025-03-12,PuLP HiGHS,Optimal,6.803793,7049.880181,6992.74876,1.124955|0.726615|0.384264,3185.497521|6992.74876|10800,3185.497521,5000.001223,44607.29909,2300.113479,46907.41257,41907.41135,73125.60522,627.4219105,69358.5912,3767.014021,22106.83043,17957.95093,2045.090255,1200,10800,4.547473509e-13,9.094947018e-13,6992.74876,7049.880181,6992.74876,455.2017586,1620.289997,46227.58909,67708.75941,5416.845807,1979.721072,20000.65102,16251.9456,3812.184739,31
2025-03-13,PuLP HiGHS,Optimal,3.4733867,6992.74876,7083.212376,1.124955|0.726615|0.384264,3366.424753|7083.212376|10800,3366.424753,5137.803997,44121.23647,2085.173599,46206.41007,41068.60607,72544.79468,562.2694356,68879.51434,3665.28034,22605.76626,18229.25342,1912.597182,1200,10800,4.547473509e-13,9.094947018e-13,7083.212376,6992.74876,7083.212376,2850.298101,10844.55649,54965.79296,68846.85248,3697.942201,59.5862,21108.04793,17016.10157,2710.870189,26
2025-03-14,PuLP HiGHS,Optimal,3.4137738,7083.212376,6999.399908,1.124955|0.726615|0.384264,3198.799817|6999.399908|10800,3198.799817,5010.132883,17129.37979,1040.802799,18170.18259,13160.0497,31889.23177,279.7274573,29577.50331,2311.728457,17965.97673,14627.87237,9547.724601,1200,10800,1.250555215e-12,1.818989404e-12,6999.399908,7083.212376,6999.399908,311.0376228,1324.261927,18453.64171,29982.16824,1907.063528,11172.59681,16666.391,13575.20793,2352.250177,20
2025-03-15,PuLP HiGHS,Optimal,3.3073379,6999.399908,7097.667744,1.124955|0.726615|0.384264,3372.443829|7086.221914|10800,3372.443829,5142.388411,17327.40615,1049.753083,18377.15923,13234.77082,32390.1207,281.2049447,30091.11406,2299.006644,17948.1695,14459.87749,9438.72538,1200,10800,5.00222086e-12,3.865352483e-12,7086.221914,6999.399908,7097.667744,408.043636,1722.082735,19049.48889,30672.19741,1717.923296,6831.425045,17032.89366,13708.20281,1666.950516,19
2025-03-16,PuLP HiGHS,Optimal,4.1785426,7097.667744,7012.640057,1.124955|0.726615|0.384264,3216.970856|7008.485428|10800,3216.970856,5023.97281,43803.7721,2168.665272,45972.43737,40948.46456,72054.9457,573.2791005,68399.48975,3655.455955,22176.72033,18043.40755,1970.964344,1200,10800,9.094947018e-13,9.094947018e-13,7008.485428,7097.667744,7012.640057,654.7343577,2495.414072,46299.18617,67190.58522,4864.360483,684.9674143,20451.73763,16642.4324,3125.95786,31
2025-03-17,PuLP HiGHS,Optimal,4.3692513,7012.640057,7046.794545,1.124955|0.726615|0.384264,3288.933146|7044.466573|10800,3288.933146,5078.782708,43934.09689,2579.944379,46514.04127,41435.25856,72418.25513,688.0116226,68766.25498,3652.000148,22030.90788,17816.39152,2219.512702,1200,10800,1.273292582e-11,3.637978807e-12,7044.466573,7012.640057,7046.794545,237.4646494,1066.767959,45000.86485,64199.31068,8218.944443,2909.699254,19148.45056,15479.50591,5219.342932,37
2025-03-18,PuLP HiGHS,Optimal,2.9576327,7046.794545,7086.222061,1.124955|0.726615|0.384264,3372.444122|7086.222061|10800,3372.444122,5142.388635,42627.75658,2099.801097,44727.55768,39585.16905,70426.1252,564.6131821,66867.48032,3558.644874,21782.47287,17608.31826,2246.982288,1200,10800,9.094947018e-13,9.094947018e-13,7086.222061,7046.794545,7086.222061,1008.040372,4609.172601,47236.92918,65786.75071,4639.37449,1652.080127,20954.04116,16937.28858,1499.4614,22
2025-03-19,PuLP HiGHS,Optimal,2.8276829,7086.222061,6969.845488,1.124955|0.726615|0.384264,3139.690976|6969.845488|10800,3139.690976,4965.112783,42542.78261,2309.389556,44852.17217,39887.05938,70207.09284,635.4028284,66587.84674,3619.246101,21685.58701,17670.06439,2309.892028,1200,10800,9.094947018e-13,9.094947018e-13,6969.845488,7086.222061,6969.845488,402.2221368,1912.925425,44455.70804,65099.80384,5107.289005,2158.360752,20962.80889,17084.61412,1308.228385,25
2025-03-20,PuLP HiGHS,Optimal,7.732787,6969.845488,6992.748567,1.124955|0.726615|0.384264,3185.497134|6992.748567|10800,3185.497134,5000.000929,42565.44206,2406.545709,44971.98777,39971.98684,70091.36301,667.2131633,66313.17024,3778.192771,22053.35515,17842.6049,2262.844738,1200,10800,6.252776075e-13,1.818989404e-12,6992.748567,6969.845488,6992.748567,897.7865433,3222.337506,45787.77957,66506.17109,3585.191918,1185.921912,20991.9007,16982.8268,1921.232553,29
2025-03-21,PuLP HiGHS,Optimal,2.8674482,6992.748567,7135.719555,1.124955|0.726615|0.384264,3283.465073|7041.732537|10800,3283.465073,5074.617964,16825.50537,1055.716876,17881.22224,12806.60428,31518.99436,277.9097394,29221.44467,2297.549689,18600.1997,15022.07618,12086.85132,1200,10800,5.00222086e-12,9.094947018e-13,7041.732537,6992.748567,7135.719555,408.627958,1212.196922,18037.70229,29553.51317,1965.481192,14603.71092,16822.58844,13497.62275,3302.06468,25
2025-03-22,PuLP HiGHS,Optimal,2.2336086,7135.719555,7122.80026,1.124955|0.726615|0.384264,3310.806324|7055.403162|10800,3310.806324,5095.44236,17097.07153,1111.543363,18208.61489,13113.17253,31958.60728,296.1347683,29671.28371,2287.323569,18790.29799,15292.42612,12535.51344,1200,10800,4.547473509e-13,4.547473509e-13,7055.403162,7135.719555,7122.80026,197.5383474,611.7455412,17708.81707,29526.6063,2432.000978,10672.00374,16750.36073,13579.41956,3752.943816,28
2025-03-23,PuLP HiGHS,Optimal,2.9796093,7122.80026,6986.459274,1.124955|0.726615|0.384264,3172.918548|6986.459274|10800,3172.918548,4990.42048,40698.87314,1977.573074,42676.44621,37686.02573,67574.67955,531.5670782,63915.23174,3659.447811,21591.31641,17611.67318,2369.360139,1200,10800,9.094947018e-13,9.094947018e-13,6986.459274,7122.80026,6986.459274,962.3872585,3675.127926,44374.00106,63909.55951,3665.120042,2316.949468,20568.33721,16783.06003,1851.59235,23
2025-03-24,PuLP HiGHS,Optimal,7.0876625,6986.459274,7044.466528,1.124955|0.726615|0.384264,3288.933056|7044.466528|10800,3288.933056,5078.78264,40684.68172,2727.15852,43411.84024,38333.0576,67360.16461,746.8259924,63458.90819,3901.25642,21690.74655,17517.29818,2599.113156,1200,10800,9.094947018e-13,9.094947018e-13,7044.466528,6986.459274,7044.466528,698.7069731,2248.281061,42932.96278,64078.09653,3282.068088,2730.827966,21027.74695,16980.2685,1200.02927,22
2025-03-25,PuLP HiGHS,Optimal,3.7031684,7044.466528,6999.206673,1.124955|0.726615|0.384264,3198.413346|6999.206673|10800,3198.413346,5009.838529,40533.28663,2250.596269,42783.8829,37774.04437,67165.47581,618.1266232,63524.98981,3640.486001,21653.05459,17579.70809,2546.250833,1200,10800,9.094947018e-13,9.094947018e-13,6999.206673,7044.466528,6999.206673,1750.987092,6431.585281,46964.87191,65165.15429,2000.321519,2108.085827,20519.28796,16661.35712,2052.117604,25
