group_type,group_value,variable,count,mean,std,min,25%,median,75%,max
month,7,Price,4464,0.8301136873,0.3665384928,0.1337,0.523875,0.76385,1.07945,1.7936
month,8,PV,4464,2915.993093,3428.261529,0,0,760.8612,6280.737375,10057.9095
month,8,Load,4464,5045.15261,1341.141863,2436.84,4022.021875,4540.8288,6531.80355,7936.3951
month,8,Net Load,4464,2129.159517,2991.765466,-5900.0625,-241.337625,3364.7146,4307.18495,6588.8247
month,8,Price,4464,0.7864668011,0.3691614559,0.0665,0.494275,0.69245,1.0283,1.7686
month,9,PV,4320,2607.599506,3251.354051,0,0,86.175,5702.852425,10105.3207
month,9,Load,4320,4535.980657,1348.85641,2258.3025,3499.2915,3921.73,6146.8297,6989.0914
month,9,Net Load,4320,1928.381151,2689.656457,-6601.9911,10.86505,2920.53945,3693.8812,6687.7481
month,9,Price,4320,0.7202856019,0.3210315383,0.0376,0.436975,0.6864,0.96215,1.4221
month,10,PV,4464,2364.313052,3143.05501,0,0,0.02965,5110.159775,10076.8909
month,10,Load,4464,4347.227603,1376.717268,1995.7176,3351.335,3789.2069,6028.6153,6988.0408
month,10,Net Load,4464,1982.914551,2549.558143,-6218.0575,397.94675,2790.1123,3644.64415,6437.0594
month,10,Price,4464,0.7202931676,0.3177331133,0.039,0.4287,0.72,0.969925,1.3793
month,11,PV,4320,1854.376336,2592.062825,0,0,0,4009.940625,8212.6875
month,11,Load,4320,4337.423379,1382.640824,2052.41,3344.449125,3771.855,6039.371175,7006.888
month,11,Net Load,4320,2483.047043,2106.416938,-4423.6845,1504.7639,3033.33425,3768.898275,6431.6933
month,11,Price,4320,0.7609939352,0.3245343412,0.2088,0.4379,0.77395,1.0388,1.4244
month,12,PV,4464,1513.836896,2168.509438,0,0,0,3285.346075,6856.3368
month,12,Load,4464,4691.212874,1437.496948,2142.6309,3605.237075,4247.86135,6249.494175,7507.0588
month,12,Net Load,4464,3177.375978,1683.245862,-2376.8855,2466.9075,3492.69935,4275.895375,6521.926
month,12,Price,4464,0.8617138217,0.3760470009,0.2354,0.4731,0.87665,1.158525,1.6698
hour_of_day,0.0,PV,365,0,0,0,0,0,0,0
hour_of_day,0.0,Load,365,3444.72589,626.7300815,2207.79,3222.62,3455.21,3671.71,4942.6
hour_of_day,0.0,Net Load,365,3444.72589,626.7300815,2207.79,3222.62,3455.21,3671.71,4942.6
hour_of_day,0.0,Price,365,0.4275789041,0.07128008229,0.2375,0.3847,0.4279,0.4699,0.5967
hour_of_day,0.16666666666666666,PV,365,0,0,0,0,0,0,0
hour_of_day,0.16666666666666666,Load,365,3439.846634,634.5571539,2249.1115,3288.8805,3465.0342,3695.8008,4951.8268
hour_of_day,0.16666666666666666,Net Load,365,3439.846634,634.5571539,2249.1115,3288.8805,3465.0342,3695.8008,4951.8268
hour_of_day,0.16666666666666666,Price,365,0.4248183562,0.06865758738,0.2543,0.3845,0.4278,0.4636,0.6069
hour_of_day,0.3333333333333333,PV,365,0,0,0,0,0,0,0
hour_of_day,0.3333333333333333,Load,365,3437.979241,603.3679954,2251.2662,3247.762,3452.6851,3667.3643,5023.9817
hour_of_day,0.3333333333333333,Net Load,365,3437.979241,603.3679954,2251.2662,3247.762,3452.6851,3667.3643,5023.9817
hour_of_day,0.3333333333333333,Price,365,0.424510411,0.06479366109,0.2369,0.3875,0.4238,0.459,0.5905
hour_of_day,0.5,PV,365,0,0,0,0,0,0,0
hour_of_day,0.5,Load,365,3444.303096,601.3839976,2159.52,3217.56,3467.02,3698.67,5003.29
hour_of_day,0.5,Net Load,365,3444.303096,601.3839976,2159.52,3217.56,3467.02,3698.67,5003.29
hour_of_day,0.5,Price,365,0.4269364384,0.06757329365,0.2643,0.3861,0.4276,0.4701,0.6302
hour_of_day,0.6666666666666666,PV,365,0,0,0,0,0,0,0
hour_of_day,0.6666666666666666,Load,365,3454.44366,587.0427036,2293.8601,3277.6123,3476.4439,3687.5239,4915.9432
hour_of_day,0.6666666666666666,Net Load,365,3454.44366,587.0427036,2293.8601,3277.6123,3476.4439,3687.5239,4915.9432
hour_of_day,0.6666666666666666,Price,365,0.4272427397,0.06631357355,0.2747,0.3855,0.4298,0.467,0.617
hour_of_day,0.8333333333333334,PV,365,0,0,0,0,0,0,0
hour_of_day,0.8333333333333334,Load,365,3458.827338,583.908181,2360.9112,3272.2996,3491.0769,3697.9927,4895.2793
hour_of_day,0.8333333333333334,Net Load,365,3458.827338,583.908181,2360.9112,3272.2996,3491.0769,3697.9927,4895.2793
hour_of_day,0.8333333333333334,Price,365,0.4270868493,0.06466447504,0.2893,0.3861,0.4285,0.4676,0.5989
hour_of_day,1.0,PV,365,0,0,0,0,0,0,0
hour_of_day,1.0,Load,365,3459.840055,590.8829555,2298.01,3255.66,3507.56,3753.15,4927.19
hour_of_day,1.0,Net Load,365,3459.840055,590.8829555,2298.01,3255.66,3507.56,3753.15,4927.19
hour_of_day,1.0,Price,365,0.4285232877,0.06475726299,0.2653,0.3794,0.4338,0.4695,0.613
hour_of_day,1.1666666666666667,PV,365,0,0,0,0,0,0,0
hour_of_day,1.1666666666666667,Load,365,3467.158165,585.0832816,2258.3025,3279.2818,3510.7796,3748.198,4832.9474
hour_of_day,1.1666666666666667,Net Load,365,3467.158165,585.0832816,2258.3025,3279.2818,3510.7796,3748.198,4832.9474
hour_of_day,1.1666666666666667,Price,365,0.4311065753,0.06503587185,0.252,0.3907,0.4362,0.4675,0.6458
hour_of_day,1.3333333333333333,PV,365,0,0,0,0,0,0,0
hour_of_day,1.3333333333333333,Load,365,3467.96318,565.4936929,2262.2015,3282.7104,3532.2407,3739.7369,4789.2611
hour_of_day,1.3333333333333333,Net Load,365,3467.96318,565.4936929,2262.2015,3282.7104,3532.2407,3739.7369,4789.2611
hour_of_day,1.3333333333333333,Price,365,0.4301556164,0.0628643831,0.2648,0.3854,0.4359,0.4676,0.5903
hour_of_day,1.5,PV,365,0,0,0,0,0,0,0
hour_of_day,1.5,Load,365,3466.968274,547.9185192,2343.78,3260.08,3519.32,3778.38,4970.01
hour_of_day,1.5,Net Load,365,3466.968274,547.9185192,2343.78,3260.08,3519.32,3778.38,4970.01
hour_of_day,1.5,Price,365,0.4279389041,0.06022043179,0.2717,0.3819,0.4332,0.4672,0.5887
hour_of_day,1.6666666666666665,PV,365,0,0,0,0,0,0,0
hour_of_day,1.6666666666666665,Load,365,3482.492672,547.2173596,2381.6861,3310.2527,3533.0136,3782.4675,4795.34
hour_of_day,1.6666666666666665,Net Load,365,3482.492672,547.2173596,2381.6861,3310.2527,3533.0136,3782.4675,4795.34
hour_of_day,1.6666666666666665,Price,365,0.4312449315,0.06104318016,0.2803,0.394,0.4326,0.4691,0.6039
hour_of_day,1.8333333333333335,PV,365,0,0,0,0,0,0,0
hour_of_day,1.8333333333333335,Load,365,3495.084101,546.5853382,2385.1405,3248.5167,3553.1771,3797.2685,4775.4872
hour_of_day,1.8333333333333335,Net Load,365,3495.084101,546.5853382,2385.1405,3248.5167,3553.1771,3797.2685,4775.4872
hour_of_day,1.8333333333333335,Price,365,0.4332564384,0.0626322464,0.2695,0.3904,0.4373,0.475,0.6082
hour_of_day,2.0,PV,365,0,0,0,0,0,0,0
hour_of_day,2.0,Load,365,3498.444301,542.8982776,2344,3284.26,3553.83,3793.01,4739.83
hour_of_day,2.0,Net Load,365,3498.444301,542.8982776,2344,3284.26,3553.83,3793.01,4739.83
hour_of_day,2.0,Price,365,0.4310969863,0.06121807862,0.2537,0.3924,0.4383,0.4683,0.6028
hour_of_day,2.1666666666666665,PV,365,0,0,0,0,0,0,0
hour_of_day,2.1666666666666665,Load,365,3505.229476,544.6585342,2382.5576,3291.7475,3566.7016,3807.5496,4810.9375
hour_of_day,2.1666666666666665,Net Load,365,3505.229476,544.6585342,2382.5576,3291.7475,3566.7016,3807.5496,4810.9375
hour_of_day,2.1666666666666665,Price,365,0.4293443836,0.06369806527,0.263,0.3954,0.4352,0.4713,0.5782
hour_of_day,2.3333333333333335,PV,365,0,0,0,0,0,0,0
hour_of_day,2.3333333333333335,Load,365,3512.638685,541.7011995,2386.5339,3332.636,3580.066,3838.4725,4814.5046
hour_of_day,2.3333333333333335,Net Load,365,3512.638685,541.7011995,2386.5339,3332.636,3580.066,3838.4725,4814.5046
hour_of_day,2.3333333333333335,Price,365,0.4323580822,0.06319280432,0.2464,0.3939,0.4391,0.4739,0.5963
hour_of_day,2.5,PV,365,0,0,0,0,0,0,0
hour_of_day,2.5,Load,365,3516.868466,527.7954972,2280.54,3305.73,3594.62,3825.6,4900.09
hour_of_day,2.5,Net Load,365,3516.868466,527.7954972,2280.54,3305.73,3594.62,3825.6,4900.09
hour_of_day,2.5,Price,365,0.436680274,0.05863726776,0.2314,0.4026,0.4405,0.4731,0.6131
hour_of_day,2.6666666666666665,PV,365,0,0,0,0,0,0,0
hour_of_day,2.6666666666666665,Load,365,3517.924568,520.3853502,2391.961,3298.5664,3601.2505,3848.9758,4797.506
hour_of_day,2.6666666666666665,Net Load,365,3517.924568,520.3853502,2391.961,3298.5664,3601.2505,3848.9758,4797.506
hour_of_day,2.6666666666666665,Price,365,0.4348071233,0.0571358176,0.2588,0.3963,0.4405,0.4716,0.5786
hour_of_day,2.8333333333333335,PV,365,0,0,0,0,0,0,0
hour_of_day,2.8333333333333335,Load,365,3518.551812,521.5724398,2435.0377,3277.2192,3603.0912,3851.4531,4652.5714
hour_of_day,2.8333333333333335,Net Load,365,3518.551812,521.5724398,2435.0377,3277.2192,3603.0912,3851.4531,4652.5714
hour_of_day,2.8333333333333335,Price,365,0.4335205479,0.05888139261,0.2797,0.3936,0.4399,0.4742,0.5925
hour_of_day,3.0,PV,365,0,0,0,0,0,0,0
hour_of_day,3.0,Load,365,3521.097616,524.2318007,2395.78,3268.22,3601.04,3869.66,4932.87
hour_of_day,3.0,Net Load,365,3521.097616,524.2318007,2395.78,3268.22,3601.04,3869.66,4932.87
hour_of_day,3.0,Price,365,0.4357235616,0.05980279031,0.2622,0.3974,0.4429,0.4799,0.588
hour_of_day,3.1666666666666665,PV,365,0.0001753424658,0.0004759550324,0,0,0,0,0.0019
hour_of_day,3.1666666666666665,Load,365,3526.926095,509.2989272,2439.6319,3316.6504,3614.0257,3857.5361,4544.2902
hour_of_day,3.1666666666666665,Net Load,365,3526.92592,509.2988776,2439.6319,3316.6504,3614.0241,3857.5361,4544.289
hour_of_day,3.1666666666666665,Price,365,0.4374183562,0.05736537817,0.282,0.4063,0.4439,0.4764,0.5919
hour_of_day,3.3333333333333335,PV,365,3.97260274e-05,0.0002280710596,0,0,0,0,0.0016
hour_of_day,3.3333333333333335,Load,365,3537.285397,510.2379636,2482.3129,3272.9441,3610.2324,3862.2807,4620.1067
hour_of_day,3.3333333333333335,Net Load,365,3537.285357,510.2379628,2482.3129,3272.9441,3610.2324,3862.2807,4620.1067
hour_of_day,3.3333333333333335,Price,365,0.437079726,0.05820087727,0.2882,0.4049,0.4417,0.4774,0.5717
hour_of_day,3.5,PV,365,0,0,0,0,0,0,0
hour_of_day,3.5,Load,365,3544.880849,523.1598663,2371.33,3229.89,3617.8,3901.74,4649.58
hour_of_day,3.5,Net Load,365,3544.880849,523.1598663,2371.33,3229.89,3617.8,3901.74,4649.58
hour_of_day,3.5,Price,365,0.4356424658,0.06021160013,0.2466,0.3948,0.4412,0.4795,0.5719
hour_of_day,3.6666666666666665,PV,365,0.003056986301,0.006787940722,0,0,0,0,0.0266
hour_of_day,3.6666666666666665,Load,365,3541.278699,519.8596101,2419.1498,3178.2047,3631.228,3877.5844,4586.2504
hour_of_day,3.6666666666666665,Net Load,365,3541.275642,519.8589557,2419.1498,3178.2047,3631.228,3877.5844,4586.226
hour_of_day,3.6666666666666665,Price,365,0.4352690411,0.05776367352,0.2902,0.4017,0.4418,0.4758,0.5899
hour_of_day,3.8333333333333335,PV,365,0.001176986301,0.003804005511,0,0,0,0,0.0218
hour_of_day,3.8333333333333335,Load,365,3546.397649,503.6012349,2388.8321,3207.1327,3642.9442,3888.5788,4664.7235
hour_of_day,3.8333333333333335,Net Load,365,3546.396472,503.6011315,2388.8321,3207.1327,3642.9442,3888.5788,4664.7235
hour_of_day,3.8333333333333335,Price,365,0.4360191781,0.05586832404,0.3021,0.4026,0.4416,0.4748,0.5657
hour_of_day,4.0,PV,365,0,0,0,0,0,0,0
hour_of_day,4.0,Load,365,3560.207014,501.5591748,2441.28,3248.35,3640.17,3912.76,4706.46
hour_of_day,4.0,Net Load,365,3560.207014,501.5591748,2441.28,3248.35,3640.17,3912.76,4706.46
hour_of_day,4.0,Price,365,0.4378254795,0.05934099293,0.2919,0.3974,0.442,0.4821,0.5849
hour_of_day,4.166666666666667,PV,365,0.04300739726,0.09441918473,0,0,0,0.0108,0.3708
hour_of_day,4.166666666666667,Load,365,3561.958081,508.2852474,2403.4578,3288.2451,3627.8981,3938.7831,4521.5007
hour_of_day,4.166666666666667,Net Load,365,3561.915074,508.2817832,2403.1982,3288.2451,3627.8981,3938.7831,4521.3242
hour_of_day,4.166666666666667,Price,365,0.4401183562,0.05769795374,0.2941,0.3989,0.4463,0.482,0.5815
hour_of_day,4.333333333333333,PV,365,0.01680493151,0.05289322312,0,0,0,0,0.3034
hour_of_day,4.333333333333333,Load,365,3556.71835,513.4425382,2440.3722,3235.0494,3639.6836,3920.1051,4555.1626
hour_of_day,4.333333333333333,Net Load,365,3556.701545,513.4409285,2440.3722,3235.0494,3639.6836,3920.1051,4555.1626
hour_of_day,4.333333333333333,Price,365,0.4388531507,0.05741687946,0.2996,0.3992,0.4464,0.4832,0.5749
hour_of_day,4.5,PV,365,0,0,0,0,0,0,0
hour_of_day,4.5,Load,365,3560.027205,513.2224865,2404.64,3228.82,3644.65,3935.69,4501.07
hour_of_day,4.5,Net Load,365,3560.027205,513.2224865,2404.64,3228.82,3644.65,3935.69,4501.07
hour_of_day,4.5,Price,365,0.4363734247,0.05999824476,0.272,0.3985,0.4444,0.4818,0.5728
hour_of_day,4.666666666666667,PV,365,0.5993561644,1.314946812,0,0,0,0.1498,5.1641
hour_of_day,4.666666666666667,Load,365,3580.653962,508.6773337,2363.9012,3243.325,3659.6071,3952.9142,4468.813
hour_of_day,4.666666666666667,Net Load,365,3580.054606,508.6504574,2363.8673,3243.2387,3659.4809,3952.9142,4464.3312
hour_of_day,4.666666666666667,Price,365,0.4392841096,0.0603573331,0.292,0.3948,0.4482,0.4811,0.5881
hour_of_day,4.833333333333333,PV,365,0.2345183562,0.7365539749,0,0,0,0.0096,4.2252
hour_of_day,4.833333333333333,Load,365,3586.915966,502.5405472,2509.1585,3244.8152,3663.3583,3949.707,4509.0492
hour_of_day,4.833333333333333,Net Load,365,3586.681447,502.5481863,2509.1585,3244.8152,3662.381,3948.2516,4509.0492
hour_of_day,4.833333333333333,Price,365,0.4422408219,0.05744395601,0.2848,0.4045,0.4488,0.482,0.5909
hour_of_day,5.0,PV,365,0.2884931507,1.37510937,0,0,0,0,10.0125
hour_of_day,5.0,Load,365,3571.263479,500.722974,2495.83,3263.26,3659.6,3903.92,4640.3
hour_of_day,5.0,Net Load,365,3570.974986,500.8094087,2495.83,3263.26,3659.6,3903.92,4640.3
hour_of_day,5.0,Price,365,0.4395035616,0.05710122604,0.2925,0.4004,0.4468,0.48,0.5822
hour_of_day,5.166666666666667,PV,365,18.67809151,40.80568111,0,0,0.0024,3.1771,157.2547
hour_of_day,5.166666666666667,Load,365,3562.317055,514.5326211,2484.2122,3242.6515,3655.9561,3927.9995,4530.9293
hour_of_day,5.166666666666667,Net Load,365,3543.638963,516.795776,2343.8573,3242.6491,3629.9352,3906.8092,4530.9282
hour_of_day,5.166666666666667,Price,365,0.4332564384,0.0587279591,0.2785,0.3935,0.4386,0.4758,0.5628
hour_of_day,5.333333333333333,PV,365,54.46981589,102.1372576,0,0,0.0199,40.5799,343.8012
hour_of_day,5.333333333333333,Load,365,3591.380909,524.4214704,2507.0845,3277.9747,3668.3357,3949.0725,4625.0674
hour_of_day,5.333333333333333,Net Load,365,3536.911093,535.9547613,2247.8275,3214.1114,3647.9916,3920.8466,4625.0579
hour_of_day,5.333333333333333,Price,365,0.4438547945,0.06043101516,0.2774,0.4057,0.4512,0.4873,0.5636
hour_of_day,5.5,PV,365,108.9718151,179.7866496,0,0,0,195.45,548.7
hour_of_day,5.5,Load,365,3579.704548,496.0126314,2448.18,3253.25,3675.03,3947.91,4503.04
hour_of_day,5.5,Net Load,365,3470.732733,530.354023,2033.725,3144.9475,3599.195,3827.22,4503.04
hour_of_day,5.5,Price,365,0.4300843836,0.05919632128,0.26,0.3908,0.4356,0.4727,0.6005
hour_of_day,5.666666666666667,PV,365,184.1602784,267.5958967,0,0,0.4258,415.7813,787.7757
hour_of_day,5.666666666666667,Load,365,3486.119047,444.6333569,2521.6228,3241.934,3550.4264,3807.1543,4357.9975
hour_of_day,5.666666666666667,Net Load,365,3301.958768,525.3064319,1838.8421,2919.6695,3421.6149,3642.2512,4357.9648
hour_of_day,5.666666666666667,Price,365,0.371260274,0.05584275692,0.2269,0.3362,0.3744,0.4114,0.5007
hour_of_day,5.833333333333333,PV,365,277.0581556,365.2280089,0,0,3.5775,662.1038,1033.9151
hour_of_day,5.833333333333333,Load,365,3823.899358,637.7378394,2549.367,3224.431,4013.7353,4268.285,4894.6373
hour_of_day,5.833333333333333,Net Load,365,3546.841203,743.9609539,1675.1681,3088.6969,3715.6665,4081.5741,4894.6373
hour_of_day,5.833333333333333,Price,365,0.5708342466,0.07515074927,0.3734,0.5187,0.5815,0.628,0.7143
hour_of_day,6.0,PV,365,388.5494178,469.1195913,0,0,0,881.3625,1316.925
hour_of_day,6.0,Load,365,4398.072712,988.1743626,2457.33,3211.02,4805.33,5062.36,5690.36
hour_of_day,6.0,Net Load,365,4009.523295,1105.827817,1454.3225,3209.63,4223.5075,4848.09,5676.45
hour_of_day,6.0,Price,365,0.9098520548,0.1103733334,0.6538,0.8263,0.9364,0.9932,1.0933
hour_of_day,6.166666666666667,PV,365,521.2802882,573.8174429,0,0.3313,184.2092,1141.1722,1587.9508
hour_of_day,6.166666666666667,Load,365,4454.012273,1029.769433,2478.893,3249.9468,4905.4054,5146.3117,5738.8011
hour_of_day,6.166666666666667,Net Load,365,3932.731985,1201.134438,1136.0627,3233.1624,4061.2915,4897.2739,5738.3732
hour_of_day,6.166666666666667,Price,365,0.9368282192,0.1184864496,0.6631,0.8582,0.9609,1.0219,1.1569
hour_of_day,6.333333333333333,PV,365,672.7677304,679.6973009,0,0.8433,444.575,1387.4953,1915.1033
hour_of_day,6.333333333333333,Load,365,4371.791908,968.7580585,2463.2414,3264.5042,4797.6279,5017.4353,5695.3891
hour_of_day,6.333333333333333,Net Load,365,3699.024178,1226.85929,869.1383,3086.4955,3682.2686,4772.133,5695.3891
hour_of_day,6.333333333333333,Price,365,0.875809863,0.1189137381,0.5483,0.8006,0.8892,0.9681,1.1031
hour_of_day,6.5,PV,365,844.2260959,783.5163043,0,0,721.2375,1649.4,2216.4375
hour_of_day,6.5,Load,365,4392.952959,979.8983076,2410.13,3254.97,4816.28,5002.11,5687.57
hour_of_day,6.5,Net Load,365,3548.726863,1318.836645,451.205,2891.33,3395.3525,4730.87,5687.57
hour_of_day,6.5,Price,365,0.8758632877,0.1266612295,0.5624,0.8016,0.8784,0.9807,1.1245
hour_of_day,6.666666666666667,PV,365,1039.674428,876.9434992,0,12.6594,995.86,1894.3047,2545.5484
hour_of_day,6.666666666666667,Load,365,4384.59555,1005.007204,2438.3024,3234.0356,4817.7937,5047.3402,5764.588
hour_of_day,6.666666666666667,Net Load,365,3344.921122,1406.028389,170.7318,2667.1999,3228.519,4526.3307,5764.4171
hour_of_day,6.666666666666667,Price,365,0.8601454795,0.1335377551,0.5289,0.7968,0.8574,0.9609,1.1401
hour_of_day,6.833333333333333,PV,365,1259.337483,963.6141543,0,153.4932,1317.3711,2192.9589,2905.33
hour_of_day,6.833333333333333,Load,365,4434.775705,916.6727617,2612.3842,3428.0402,4815.4282,5034.951,5749.3421
hour_of_day,6.833333333333333,Net Load,365,3175.438221,1408.742321,43.7178,2439.5273,3039.8925,4247.3181,5746.9324
hour_of_day,6.833333333333333,Price,365,0.8441986301,0.1312202671,0.5411,0.7759,0.8409,0.9372,1.1269
hour_of_day,7.0,PV,365,1508.631781,1032.497833,0,433.35,1678.1625,2459.475,3201.7125
hour_of_day,7.0,Load,365,4523.456055,767.7846742,2949.88,3787.21,4792.84,5038.4,5635.78
hour_of_day,7.0,Net Load,365,3014.824274,1378.517837,-20.57,2194.0925,2811.3275,3993.45,5563.63
hour_of_day,7.0,Price,365,0.8334449315,0.1236734177,0.526,0.7608,0.8242,0.9183,1.0953
hour_of_day,7.166666666666667,PV,365,1791.410667,1058.555812,154.8087,709.914,2002.3413,2772.7958,3413.9973
hour_of_day,7.166666666666667,Load,365,4524.072086,746.1905256,3026.4318,3832.2447,4791.268,4996.6636,5639.4377
hour_of_day,7.166666666666667,Net Load,365,2732.661419,1399.513977,-333.7512,1868.9556,2492.4896,3730.0361,5419.3939
hour_of_day,7.166666666666667,Price,365,0.8091994521,0.1257390408,0.499,0.7372,0.7974,0.8895,1.1035
hour_of_day,7.333333333333333,PV,365,2085.486482,1065.544727,373.5954,995.901,2320.1896,3037.6967,3775.629
hour_of_day,7.333333333333333,Load,365,4545.886744,791.2253912,2884.169,3753.1081,4835.3889,5019.9514,5728.6236
hour_of_day,7.333333333333333,Net Load,365,2460.400261,1434.442218,-482.5533,1610.8972,2234.3487,3462.912,5227.279
hour_of_day,7.333333333333333,Price,365,0.7971865753,0.1306301907,0.4755,0.7267,0.7873,0.8811,1.1031
hour_of_day,7.5,PV,365,2381.261096,1069.716377,606.525,1303.2375,2629.275,3305.7,4192.725
hour_of_day,7.5,Load,365,4523.241781,777.3354104,2830.45,3754.85,4799.88,5017.07,5762.49
hour_of_day,7.5,Net Load,365,2141.980685,1428.629995,-670.9075,1246.845,1954.69,3173.8775,4927.0075
hour_of_day,7.5,Price,365,0.7644364384,0.1290607118,0.473,0.6928,0.7507,0.8575,1.0684
hour_of_day,7.666666666666667,PV,365,2683.175245,1070.231125,867.132,1590.174,2943.1824,3608.825,4510.3183
hour_of_day,7.666666666666667,Load,365,4383.356639,700.2952102,2922.3169,3814.3541,4608.2702,4854.2716,5527.2493
hour_of_day,7.666666666666667,Net Load,365,1700.181395,1393.989278,-1085.6654,742.9557,1493.8715,2762.4689,4487.8204
hour_of_day,7.666666666666667,Price,365,0.6898906849,0.1229383095,0.4258,0.6102,0.6803,0.7834,0.9785
hour_of_day,7.833333333333333,PV,365,2986.355155,1069.690653,1127.5925,1923.3759,3243.6188,3855.0696,4973.2536
hour_of_day,7.833333333333333,Load,365,4910.459873,1018.542087,2934.4796,3784.9077,5342.3413,5590.8203,6284.1769
hour_of_day,7.833333333333333,Net Load,365,1924.104718,1580.812697,-1480.8551,1056.0383,1808.9858,2927.4715,4973.197
hour_of_day,7.833333333333333,Price,365,0.8599663014,0.1436139119,0.5332,0.7854,0.8629,0.9445,1.1622
hour_of_day,8.0,PV,365,3289.204007,1068.288997,1391.4,2276.775,3496.725,4168.1625,5368.275
hour_of_day,8.0,Load,365,5799.732685,1562.651539,2870.51,3796.43,6582.74,6803.97,7501.31
hour_of_day,8.0,Net Load,365,2510.528678,1973.958682,-1674.9125,1669.81,2587.22,3831.89,5925.7975
hour_of_day,8.0,Price,365,1.161682192,0.1878524497,0.7473,1.0783,1.1859,1.2868,1.541
hour_of_day,8.166666666666666,PV,365,3593.36125,1063.365451,1682.7674,2628.2615,3803.8242,4470.9937,5558.897
hour_of_day,8.166666666666666,Load,365,5884.826045,1617.078793,2979.9759,3737.1236,6707.1785,6909.2138,7546.7527
hour_of_day,8.166666666666666,Net Load,365,2291.464795,2017.391584,-2002.6234,1479.1101,2471.2463,3554.701,5728.0472
hour_of_day,8.166666666666666,Price,365,1.168286027,0.1916658807,0.7594,1.0715,1.1959,1.2955,1.5469
hour_of_day,8.333333333333334,PV,365,3890.733173,1060.884846,1942.6551,2925.433,4091.6333,4731.7837,6159.6625
hour_of_day,8.333333333333334,Load,365,5748.071281,1535.994985,2961.5007,3733.9841,6532.3389,6728.0422,7439.8292
hour_of_day,8.333333333333334,Net Load,365,1857.338107,1954.29686,-2736.9964,1079.2978,2023.8449,3010.4782,5350.2511
hour_of_day,8.333333333333334,Price,365,1.0956,0.1844580375,0.6545,1.008,1.1236,1.2105,1.4735
hour_of_day,8.5,PV,365,4181.341747,1062.998063,2176.275,3244.125,4396.8,5018.5125,6590.55
hour_of_day,8.5,Load,365,5769.058055,1572.83666,2912.48,3695.8,6560.48,6774.03,7428.53
