rank,normalized_singular_value_q25,normalized_singular_value_median,normalized_singular_value_q75,cumulative_energy_q25,cumulative_energy_median,cumulative_energy_q75,lookback,hankel_rows,stride
25,0.00942471469,0.01047557094,0.01196327087,0.9990851114,0.9992939665,0.9994008308,1008,144,1008
26,0.008864466248,0.009881758868,0.0110049829,0.9991261149,0.9993357848,0.9994352938,1008,144,1008
27,0.008654859848,0.009428633232,0.01075863597,0.9991698859,0.9993677569,0.9994649598,1008,144,1008
28,0.008272960263,0.008904845145,0.01005556841,0.9992130317,0.9993964938,0.9994880621,1008,144,1008
29,0.007886797572,0.008501227082,0.009780135286,0.9992528316,0.9994257649,0.9995156578,1008,144,1008
30,0.007569261576,0.008281513421,0.009201236858,0.9992897676,0.9994548917,0.9995422053,1008,144,1008
31,0.007430678781,0.008072031684,0.008883108756,0.9993272961,0.9994753099,0.999567534,1008,144,1008
32,0.007143877924,0.007887620751,0.008682273299,0.999364253,0.9994995698,0.999588687,1008,144,1008
33,0.006938026595,0.00757699095,0.008372926322,0.9993967016,0.9995178296,0.9996085536,1008,144,1008
34,0.006797577971,0.007231824757,0.00805202879,0.9994227033,0.9995355762,0.9996266783,1008,144,1008
35,0.006383498332,0.007070361586,0.007830827586,0.9994477426,0.9995530912,0.9996434915,1008,144,1008
36,0.006320012846,0.006844639226,0.007623857094,0.9994745302,0.9995702589,0.9996593422,1008,144,1008
37,0.006072316361,0.006735862633,0.007391081,0.9994945612,0.9995879253,0.9996746913,1008,144,1008
38,0.005931753919,0.006591089254,0.00713032323,0.9995143197,0.9996060169,0.9996886253,1008,144,1008
39,0.005779422193,0.006402343136,0.006845118605,0.9995327023,0.9996231641,0.9997010734,1008,144,1008
40,0.005647304896,0.006296481528,0.006735104059,0.9995514699,0.9996397526,0.9997112489,1008,144,1008
41,0.005464367314,0.006047407503,0.006590246174,0.9995688256,0.9996561875,0.9997209958,1008,144,1008
42,0.005417118095,0.005891051483,0.006426216423,0.9995866464,0.999671347,0.9997326404,1008,144,1008
43,0.005305763524,0.005822444924,0.006372045226,0.9996049954,0.9996839677,0.9997439127,1008,144,1008
44,0.005225070497,0.005711197217,0.006125087227,0.9996238905,0.9996969752,0.9997539134,1008,144,1008
45,0.005062946205,0.005553942386,0.005992088837,0.9996404943,0.9997092329,0.9997630923,1008,144,1008
46,0.005012193092,0.005410527617,0.00588184195,0.9996559324,0.9997219025,0.9997720131,1008,144,1008
47,0.004907257362,0.005273427388,0.005797158279,0.9996702646,0.9997346509,0.9997807049,1008,144,1008
48,0.004819377175,0.005226542386,0.005678018073,0.9996841129,0.9997456258,0.9997911444,1008,144,1008
49,0.004745995838,0.005081335429,0.005459732778,0.9996975819,0.9997560273,0.9998000387,1008,144,1008
50,0.004702558352,0.004972006982,0.005376356492,0.999710312,0.9997661293,0.9998086744,1008,144,1008
51,0.00458669948,0.004888594828,0.005249720907,0.9997224552,0.9997746201,0.9998171113,1008,144,1008
52,0.004528889318,0.004773196516,0.005110206701,0.9997337183,0.9997825485,0.9998250601,1008,144,1008
53,0.004467091524,0.004643963757,0.005072071762,0.9997456848,0.9997904208,0.9998329937,1008,144,1008
54,0.004377115525,0.004594493607,0.004992530102,0.9997571795,0.9997994116,0.999840766,1008,144,1008
55,0.004335669946,0.004517240974,0.004909271277,0.9997684873,0.9998089604,0.9998484752,1008,144,1008
56,0.004291543117,0.004408007132,0.004852929744,0.9997792848,0.9998169981,0.9998557561,1008,144,1008
57,0.004210287273,0.004372213119,0.004838051904,0.9997900035,0.9998251847,0.9998629261,1008,144,1008
58,0.004173829972,0.00433681751,0.004758479023,0.9997990886,0.999833652,0.9998697743,1008,144,1008
59,0.00411828032,0.004323416654,0.004636272661,0.9998081021,0.9998419124,0.9998765419,1008,144,1008
60,0.004014533672,0.004251714865,0.004578848734,0.9998169781,0.9998498351,0.9998831484,1008,144,1008
61,0.003938164476,0.00415816891,0.004540443998,0.9998256959,0.9998573951,0.9998894457,1008,144,1008
62,0.003805143458,0.00412091378,0.00443507528,0.9998339716,0.9998643213,0.9998949344,1008,144,1008
63,0.003784497077,0.004061115056,0.00436394556,0.9998419945,0.9998706886,0.9998997403,1008,144,1008
64,0.00370548876,0.003992470971,0.004297687157,0.9998498272,0.9998772016,0.9999044288,1008,144,1008
65,0.00361870743,0.003911790461,0.004244397163,0.9998574796,0.99988282,0.9999086093,1008,144,1008
66,0.00350124855,0.003845563487,0.004161862491,0.9998646297,0.9998882032,0.9999127094,1008,144,1008
67,0.003470756957,0.003748812994,0.004092864736,0.9998716832,0.9998937792,0.9999167532,1008,144,1008
68,0.003360803454,0.003685328659,0.004057119639,0.9998786467,0.9998989863,0.9999206575,1008,144,1008
69,0.003302565377,0.003610802226,0.004005879404,0.9998859153,0.9999038948,0.9999243616,1008,144,1008
70,0.003237232713,0.003587599441,0.003931727181,0.9998932121,0.9999086616,0.9999283975,1008,144,1008
71,0.003184752633,0.003484833872,0.003883439784,0.9998997168,0.9999131772,0.9999322067,1008,144,1008
72,0.003149981304,0.003374927107,0.003830540128,0.9999057067,0.999917603,0.9999357792,1008,144,1008
73,0.003108236489,0.003304135402,0.003758463341,0.9999113985,0.9999223918,0.9999396655,1008,144,1008
74,0.003062053729,0.003267248472,0.003719224099,0.999916947,0.999927197,0.999943191,1008,144,1008
75,0.002958420365,0.003197926551,0.003712477966,0.9999224129,0.9999311082,0.9999462424,1008,144,1008
76,0.002902077933,0.003153519845,0.003581697912,0.9999275154,0.9999354954,0.9999496483,1008,144,1008
77,0.002850468647,0.003082059705,0.0034538314,0.9999324161,0.9999394773,0.9999530622,1008,144,1008
78,0.002807002802,0.003047025248,0.003382794537,0.9999367875,0.9999430609,0.9999563853,1008,144,1008
79,0.002663581992,0.002967015278,0.003316172643,0.9999406444,0.9999470849,0.9999595677,1008,144,1008
80,0.002640645771,0.002949753429,0.00326512695,0.9999443249,0.9999511552,0.999962473,1008,144,1008
81,0.002620688444,0.002819246554,0.003094935486,0.9999477107,0.9999545848,0.9999652052,1008,144,1008
82,0.002595881653,0.002746393376,0.003041749146,0.9999510309,0.9999582891,0.9999676172,1008,144,1008
83,0.002521771436,0.002685096705,0.002944298898,0.9999542729,0.999961823,0.9999699108,1008,144,1008
84,0.00244687405,0.002599085136,0.002855834507,0.9999573905,0.9999647329,0.9999723198,1008,144,1008
85,0.002388154586,0.00251807712,0.002767656057,0.9999603678,0.9999672092,0.999974287,1008,144,1008
86,0.002301307616,0.002445163742,0.002720766925,0.9999629632,0.9999695347,0.9999761331,1008,144,1008
87,0.002217232658,0.002409216938,0.002687262982,0.9999656703,0.9999717959,0.999978027,1008,144,1008
88,0.002162774186,0.002357371663,0.00257271944,0.9999682148,0.9999740977,0.9999798443,1008,144,1008
89,0.002080743794,0.002335826746,0.002505781343,0.9999705769,0.9999762517,0.9999814627,1008,144,1008
90,0.002003305165,0.002213998722,0.002456072784,0.9999729404,0.9999782005,0.9999830113,1008,144,1008
91,0.00190721638,0.002150029048,0.002413694225,0.9999751975,0.999980078,0.999984271,1008,144,1008
92,0.001825809469,0.002098632332,0.002301480382,0.999977384,0.9999818105,0.9999857059,1008,144,1008
93,0.001773548016,0.002001650044,0.002250704611,0.999979367,0.9999834718,0.9999869115,1008,144,1008
94,0.001678094644,0.001911423902,0.002175349543,0.9999812597,0.9999849037,0.9999879495,1008,144,1008
95,0.001606926965,0.001780560642,0.002124759152,0.9999830469,0.9999861985,0.9999888099,1008,144,1008
96,0.001543724369,0.001745171859,0.00203542718,0.9999845894,0.9999874252,0.9999896574,1008,144,1008
97,0.001466713073,0.001641898321,0.001936064834,0.9999861312,0.9999885977,0.9999904445,1008,144,1008
98,0.001432868497,0.001621485027,0.001879286905,0.9999875786,0.9999897523,0.9999914642,1008,144,1008
99,0.001400344997,0.001565676532,0.001815422613,0.9999890105,0.9999907289,0.9999924146,1008,144,1008
100,0.001338739869,0.001531053415,0.001756597812,0.9999902199,0.9999916364,0.9999933222,1008,144,1008
101,0.001273791988,0.001471947519,0.001698963903,0.9999913637,0.9999925106,0.9999938352,1008,144,1008
102,0.001243639165,0.001445329707,0.001611024842,0.9999923944,0.9999933937,0.9999944594,1008,144,1008
103,0.001188351014,0.00133303494,0.001527932755,0.9999930173,0.9999940771,0.9999951499,1008,144,1008
104,0.001124463529,0.001253817908,0.001454954695,0.9999938654,0.9999946144,0.9999956117,1008,144,1008
105,0.001081462445,0.001176156447,0.001405011804,0.9999945529,0.9999951255,0.9999960413,1008,144,1008
106,0.001045150198,0.001102795775,0.001299497552,0.9999951315,0.9999956842,0.9999964612,1008,144,1008
107,0.0009761608642,0.001058204384,0.001226752386,0.9999957104,0.9999962088,0.9999969314,1008,144,1008
108,0.0009366104639,0.0009986857478,0.001154888339,0.9999961379,0.9999965853,0.9999973357,1008,144,1008
109,0.0008726819507,0.0009513773258,0.001045860508,0.9999965194,0.9999969989,0.9999976933,1008,144,1008
110,0.0008468530983,0.0009103420603,0.0009879176369,0.9999968832,0.999997376,0.999997968,1008,144,1008
111,0.0007804201187,0.0008559614769,0.000946915115,0.9999971892,0.9999977066,0.999998246,1008,144,1008
112,0.0007240068981,0.0008380907752,0.0009094198793,0.9999974564,0.9999979833,0.9999984999,1008,144,1008
113,0.0007035195773,0.0007969487408,0.0008636756108,0.9999977077,0.9999982474,0.9999986764,1008,144,1008
114,0.0006376175804,0.0007619213275,0.0008257336763,0.9999980109,0.9999984803,0.9999988135,1008,144,1008
115,0.000624122798,0.0007063376401,0.0007762386373,0.9999982655,0.9999986656,0.9999989583,1008,144,1008
116,0.0005792170136,0.0006437218343,0.000754097524,0.9999984923,0.999998833,0.9999990944,1008,144,1008
117,0.0005280134145,0.000602716745,0.0007133232077,0.9999986904,0.9999989739,0.9999992005,1008,144,1008
118,0.0004752853222,0.0005653371489,0.0006784978949,0.9999988824,0.9999990986,0.9999993036,1008,144,1008
119,0.0004486534255,0.0005320194408,0.0006299187838,0.999999023,0.9999992146,0.999999393,1008,144,1008
120,0.000433418637,0.0004933566169,0.0005568892036,0.9999991663,0.9999993148,0.9999994597,1008,144,1008
121,0.000419192586,0.000451099305,0.0005181364897,0.9999992684,0.999999388,0.9999995307,1008,144,1008
122,0.0003892197396,0.0004323845692,0.0004885174149,0.9999993499,0.9999994733,0.9999995877,1008,144,1008
123,0.0003694462348,0.0004118637417,0.0004699871223,0.9999994528,0.999999569,0.9999996369,1008,144,1008
124,0.0003537920976,0.0003961930952,0.0004409652793,0.9999995355,0.9999996222,0.9999996896,1008,144,1008
125,0.0003192843388,0.0003569898075,0.000408413525,0.9999995955,0.9999996659,0.9999997274,1008,144,1008
126,0.0003056324998,0.0003315156604,0.0003937054299,0.9999996637,0.9999997197,0.9999997621,1008,144,1008
127,0.0002851486932,0.0003145773742,0.0003791792199,0.9999997224,0.9999997617,0.9999998,1008,144,1008
128,0.0002608307631,0.0002884631538,0.0003226396849,0.999999761,0.9999997934,0.999999835,1008,144,1008
129,0.000246391325,0.0002699538875,0.0003085504545,0.9999998024,0.9999998265,0.9999998608,1008,144,1008
130,0.0002313742691,0.0002491095868,0.0002786068608,0.999999834,0.9999998518,0.9999998855,1008,144,1008
131,0.0002043897954,0.000235092305,0.0002595213521,0.9999998556,0.9999998775,0.9999999035,1008,144,1008
132,0.0001938830776,0.0002204185646,0.0002324504765,0.9999998746,0.9999998983,0.99999992,1008,144,1008
133,0.0001730200259,0.0001993809629,0.0002195302103,0.9999998911,0.9999999115,0.9999999309,1008,144,1008
134,0.0001625106633,0.0001837724152,0.0002026965198,0.9999999067,0.9999999242,0.9999999425,1008,144,1008
135,0.0001529943429,0.0001713901857,0.0001971268031,0.9999999238,0.9999999364,0.9999999519,1008,144,1008
136,0.0001435614011,0.000163978314,0.0001882923424,0.9999999388,0.9999999486,0.9999999606,1008,144,1008
137,0.0001390571641,0.0001550623557,0.0001784417837,0.9999999515,0.9999999598,0.9999999693,1008,144,1008
138,0.0001305355006,0.0001513496999,0.0001671091967,0.9999999623,0.9999999693,0.9999999764,1008,144,1008
139,0.0001218153905,0.0001357252193,0.0001506324039,0.9999999703,0.999999977,0.9999999821,1008,144,1008
140,0.0001128480264,0.0001247826175,0.0001426884433,0.999999978,0.9999999834,0.999999987,1008,144,1008
141,0.0001038365015,0.0001172257608,0.0001308620155,0.9999999855,0.9999999889,0.999999991,1008,144,1008
142,9.395155398e-05,0.0001079936148,0.0001258598996,0.999999992,0.9999999937,0.9999999951,1008,144,1008
143,8.258425178e-05,9.30977628e-05,0.0001096269068,0.9999999963,0.9999999971,0.9999999979,1008,144,1008
144,7.248284693e-05,8.69108309e-05,0.0001003882284,1,1,1,1008,144,1008
