slot,n,mean_yuan_per_kwh,std_yuan_per_kwh,min_yuan_per_kwh,median_yuan_per_kwh,max_yuan_per_kwh,q1_yuan_per_kwh,q3_yuan_per_kwh,p05_yuan_per_kwh,p95_yuan_per_kwh,data_driven_band,interval_start,interval_end
12,365,0.4310969863,0.0612180786,0.2537000000,0.4383000000,0.6028000000,0.3924000000,0.4683000000,0.3246000000,0.5329600000,低价时段,0 days 01:50:00,0 days 02:00:00
13,365,0.4293443836,0.0636980653,0.2630000000,0.4352000000,0.5782000000,0.3954000000,0.4713000000,0.3194200000,0.5289400000,低价时段,0 days 02:00:00,0 days 02:10:00
14,365,0.4323580822,0.0631928043,0.2464000000,0.4391000000,0.5963000000,0.3939000000,0.4739000000,0.3199600000,0.5339000000,低价时段,0 days 02:10:00,0 days 02:20:00
15,365,0.4366802740,0.0586372678,0.2314000000,0.4405000000,0.6131000000,0.4026000000,0.4731000000,0.3360400000,0.5259600000,平价时段,0 days 02:20:00,0 days 02:30:00
16,365,0.4348071233,0.0571358176,0.2588000000,0.4405000000,0.5786000000,0.3963000000,0.4716000000,0.3328200000,0.5220600000,低价时段,0 days 02:30:00,0 days 02:40:00
17,365,0.4335205479,0.0588813926,0.2797000000,0.4399000000,0.5925000000,0.3936000000,0.4742000000,0.3318000000,0.5188800000,低价时段,0 days 02:40:00,0 days 02:50:00
18,365,0.4357235616,0.0598027903,0.2622000000,0.4429000000,0.5880000000,0.3974000000,0.4799000000,0.3233400000,0.5230600000,低价时段,0 days 02:50:00,0 days 03:00:00
19,365,0.4374183562,0.0573653782,0.2820000000,0.4439000000,0.5919000000,0.4063000000,0.4764000000,0.3276200000,0.5208600000,平价时段,0 days 03:00:00,0 days 03:10:00
20,365,0.4370797260,0.0582008773,0.2882000000,0.4417000000,0.5717000000,0.4049000000,0.4774000000,0.3305000000,0.5274000000,平价时段,0 days 03:10:00,0 days 03:20:00
21,365,0.4356424658,0.0602116001,0.2466000000,0.4412000000,0.5719000000,0.3948000000,0.4795000000,0.3249600000,0.5281800000,低价时段,0 days 03:20:00,0 days 03:30:00
22,365,0.4352690411,0.0577636735,0.2902000000,0.4418000000,0.5899000000,0.4017000000,0.4758000000,0.3260200000,0.5223600000,低价时段,0 days 03:30:00,0 days 03:40:00
23,365,0.4360191781,0.0558683240,0.3021000000,0.4416000000,0.5657000000,0.4026000000,0.4748000000,0.3345000000,0.5193800000,低价时段,0 days 03:40:00,0 days 03:50:00
24,365,0.4378254795,0.0593409929,0.2919000000,0.4420000000,0.5849000000,0.3974000000,0.4821000000,0.3340400000,0.5285800000,平价时段,0 days 03:50:00,0 days 04:00:00
25,365,0.4401183562,0.0576979537,0.2941000000,0.4463000000,0.5815000000,0.3989000000,0.4820000000,0.3375600000,0.5262800000,平价时段,0 days 04:00:00,0 days 04:10:00
26,365,0.4388531507,0.0574168795,0.2996000000,0.4464000000,0.5749000000,0.3992000000,0.4832000000,0.3365000000,0.5192200000,平价时段,0 days 04:10:00,0 days 04:20:00
27,365,0.4363734247,0.0599982448,0.2720000000,0.4444000000,0.5728000000,0.3985000000,0.4818000000,0.3236400000,0.5208000000,平价时段,0 days 04:20:00,0 days 04:30:00
28,365,0.4392841096,0.0603573331,0.2920000000,0.4482000000,0.5881000000,0.3948000000,0.4811000000,0.3338800000,0.5258200000,平价时段,0 days 04:30:00,0 days 04:40:00
29,365,0.4422408219,0.0574439560,0.2848000000,0.4488000000,0.5909000000,0.4045000000,0.4820000000,0.3378800000,0.5230600000,平价时段,0 days 04:40:00,0 days 04:50:00
30,365,0.4395035616,0.0571012260,0.2925000000,0.4468000000,0.5822000000,0.4004000000,0.4800000000,0.3372600000,0.5263200000,平价时段,0 days 04:50:00,0 days 05:00:00
31,365,0.4332564384,0.0587279591,0.2785000000,0.4386000000,0.5628000000,0.3935000000,0.4758000000,0.3311000000,0.5225400000,低价时段,0 days 05:00:00,0 days 05:10:00
32,365,0.4438547945,0.0604310152,0.2774000000,0.4512000000,0.5636000000,0.4057000000,0.4873000000,0.3352200000,0.5322400000,平价时段,0 days 05:10:00,0 days 05:20:00
33,365,0.4300843836,0.0591963213,0.2600000000,0.4356000000,0.6005000000,0.3908000000,0.4727000000,0.3271600000,0.5242000000,低价时段,0 days 05:20:00,0 days 05:30:00
34,365,0.3712602740,0.0558427569,0.2269000000,0.3744000000,0.5007000000,0.3362000000,0.4114000000,0.2701400000,0.4545000000,低价时段,0 days 05:30:00,0 days 05:40:00
35,365,0.5708342466,0.0751507493,0.3734000000,0.5815000000,0.7143000000,0.5187000000,0.6280000000,0.4308800000,0.6814800000,平价时段,0 days 05:40:00,0 days 05:50:00
36,365,0.9098520548,0.1103733334,0.6538000000,0.9364000000,1.0933000000,0.8263000000,0.9932000000,0.7020600000,1.0593000000,平价时段,0 days 05:50:00,0 days 06:00:00
37,365,0.9368282192,0.1184864496,0.6631000000,0.9609000000,1.1569000000,0.8582000000,1.0219000000,0.7127600000,1.0885600000,平价时段,0 days 06:00:00,0 days 06:10:00
38,365,0.8758098630,0.1189137381,0.5483000000,0.8892000000,1.1031000000,0.8006000000,0.9681000000,0.6524800000,1.0412400000,平价时段,0 days 06:10:00,0 days 06:20:00
39,365,0.8758632877,0.1266612295,0.5624000000,0.8784000000,1.1245000000,0.8016000000,0.9807000000,0.6356600000,1.0615400000,平价时段,0 days 06:20:00,0 days 06:30:00
40,365,0.8601454795,0.1335377551,0.5289000000,0.8574000000,1.1401000000,0.7968000000,0.9609000000,0.6202000000,1.0637400000,平价时段,0 days 06:30:00,0 days 06:40:00
41,365,0.8441986301,0.1312202671,0.5411000000,0.8409000000,1.1269000000,0.7759000000,0.9372000000,0.6106600000,1.0510400000,平价时段,0 days 06:40:00,0 days 06:50:00
42,365,0.8334449315,0.1236734177,0.5260000000,0.8242000000,1.0953000000,0.7608000000,0.9183000000,0.6275400000,1.0424800000,平价时段,0 days 06:50:00,0 days 07:00:00
43,365,0.8091994521,0.1257390408,0.4990000000,0.7974000000,1.1035000000,0.7372000000,0.8895000000,0.5983200000,1.0226400000,平价时段,0 days 07:00:00,0 days 07:10:00
44,365,0.7971865753,0.1306301907,0.4755000000,0.7873000000,1.1031000000,0.7267000000,0.8811000000,0.5746000000,1.0193000000,平价时段,0 days 07:10:00,0 days 07:20:00
45,365,0.7644364384,0.1290607118,0.4730000000,0.7507000000,1.0684000000,0.6928000000,0.8575000000,0.5390800000,0.9774600000,平价时段,0 days 07:20:00,0 days 07:30:00
46,365,0.6898906849,0.1229383095,0.4258000000,0.6803000000,0.9785000000,0.6102000000,0.7834000000,0.4847200000,0.8959800000,平价时段,0 days 07:30:00,0 days 07:40:00
47,365,0.8599663014,0.1436139119,0.5332000000,0.8629000000,1.1622000000,0.7854000000,0.9445000000,0.6051400000,1.0989400000,平价时段,0 days 07:40:00,0 days 07:50:00
48,365,1.1616821918,0.1878524497,0.7473000000,1.1859000000,1.5410000000,1.0783000000,1.2868000000,0.8176200000,1.4465600000,高价时段,0 days 07:50:00,0 days 08:00:00
49,365,1.1682860274,0.1916658807,0.7594000000,1.1959000000,1.5469000000,1.0715000000,1.2955000000,0.8165800000,1.4470000000,高价时段,0 days 08:00:00,0 days 08:10:00
50,365,1.0956000000,0.1844580375,0.6545000000,1.1236000000,1.4735000000,1.0080000000,1.2105000000,0.7663200000,1.3702000000,高价时段,0 days 08:10:00,0 days 08:20:00
51,365,1.0849008219,0.1888106877,0.6554000000,1.1110000000,1.4190000000,0.9912000000,1.2021000000,0.7454800000,1.3658400000,高价时段,0 days 08:20:00,0 days 08:30:00
52,365,1.0610243836,0.1912199026,0.6419000000,1.0908000000,1.3972000000,0.9758000000,1.1921000000,0.7076400000,1.3446800000,高价时段,0 days 08:30:00,0 days 08:40:00
53,365,1.0430260274,0.1790288830,0.6459000000,1.0653000000,1.3717000000,0.9660000000,1.1603000000,0.7129000000,1.3252600000,高价时段,0 days 08:40:00,0 days 08:50:00
54,365,1.0359882192,0.1627263715,0.6528000000,1.0482000000,1.3766000000,0.9374000000,1.1409000000,0.7490200000,1.2975800000,高价时段,0 days 08:50:00,0 days 09:00:00
55,365,1.0146780822,0.1611480775,0.6318000000,1.0281000000,1.3481000000,0.9255000000,1.1171000000,0.7195800000,1.2654000000,高价时段,0 days 09:00:00,0 days 09:10:00
56,365,0.9922032877,0.1640918801,0.5946000000,1.0035000000,1.3104000000,0.9087000000,1.0906000000,0.6840200000,1.2521200000,高价时段,0 days 09:10:00,0 days 09:20:00
57,365,0.9700057534,0.1626766193,0.5802000000,0.9722000000,1.3031000000,0.8887000000,1.0677000000,0.6748200000,1.2287400000,平价时段,0 days 09:20:00,0 days 09:30:00
58,365,0.9422043836,0.1610458770,0.5511000000,0.9478000000,1.2752000000,0.8549000000,1.0536000000,0.6545600000,1.1923800000,平价时段,0 days 09:30:00,0 days 09:40:00
59,365,0.9569432877,0.1749454163,0.5601000000,0.9661000000,1.3318000000,0.8581000000,1.0533000000,0.6486600000,1.2689400000,平价时段,0 days 09:40:00,0 days 09:50:00
60,365,0.9976506849,0.2160921933,0.5098000000,0.9784000000,1.4993000000,0.8712000000,1.1265000000,0.6431000000,1.4006800000,高价时段,0 days 09:50:00,0 days 10:00:00
61,365,0.9919515068,0.2196713050,0.5015000000,0.9741000000,1.4966000000,0.8620000000,1.1226000000,0.6316800000,1.4022200000,高价时段,0 days 10:00:00,0 days 10:10:00
62,365,0.9587800000,0.2091232440,0.5036000000,0.9463000000,1.4275000000,0.8356000000,1.0808000000,0.6060400000,1.3461200000,平价时段,0 days 10:10:00,0 days 10:20:00
63,365,0.9548854795,0.2136828606,0.5131000000,0.9284000000,1.4258000000,0.8243000000,1.0852000000,0.6008200000,1.3524000000,平价时段,0 days 10:20:00,0 days 10:30:00
64,365,0.9839383562,0.2236819918,0.5348000000,0.9578000000,1.4627000000,0.8449000000,1.1234000000,0.6216200000,1.3963600000,平价时段,0 days 10:30:00,0 days 10:40:00
65,365,0.7990120548,0.1974913643,0.3334000000,0.7989000000,1.2410000000,0.6842000000,0.9067000000,0.4649200000,1.1662200000,平价时段,0 days 10:40:00,0 days 10:50:00
66,365,0.5025016438,0.1659794930,0.0489000000,0.5163000000,0.8645000000,0.4123000000,0.6109000000,0.2099200000,0.7652000000,平价时段,0 days 10:50:00,0 days 11:00:00
67,365,0.4662402740,0.1592931426,0.0506000000,0.4796000000,0.7785000000,0.3730000000,0.5717000000,0.1876200000,0.7174800000,平价时段,0 days 11:00:00,0 days 11:10:00
68,365,0.5006649315,0.1608818725,0.1016000000,0.5186000000,0.8229000000,0.4083000000,0.6067000000,0.2080600000,0.7564400000,平价时段,0 days 11:10:00,0 days 11:20:00
69,365,0.4827397260,0.1639246907,0.0776000000,0.4970000000,0.8020000000,0.3906000000,0.5860000000,0.1801400000,0.7286000000,平价时段,0 days 11:20:00,0 days 11:30:00
70,365,0.4784608219,0.1633570965,0.0400000000,0.4867000000,0.7991000000,0.3939000000,0.5985000000,0.1837800000,0.7213600000,平价时段,0 days 11:30:00,0 days 11:40:00
71,365,0.4661709589,0.1579128325,0.0340000000,0.4715000000,0.7757000000,0.3789000000,0.5752000000,0.1763200000,0.7095800000,平价时段,0 days 11:40:00,0 days 11:50:00
72,365,0.4431909589,0.1514976854,0.0076000000,0.4454000000,0.7706000000,0.3610000000,0.5482000000,0.1677400000,0.6844600000,平价时段,0 days 11:50:00,0 days 12:00:00
73,365,0.4411427397,0.1498003579,0.0376000000,0.4468000000,0.8026000000,0.3586000000,0.5390000000,0.1668000000,0.6746400000,平价时段,0 days 12:00:00,0 days 12:10:00
74,365,0.4550761644,0.1527696028,0.0850000000,0.4672000000,0.8183000000,0.3688000000,0.5604000000,0.1793200000,0.6963200000,平价时段,0 days 12:10:00,0 days 12:20:00
75,365,0.4462936986,0.1528714645,0.0987000000,0.4596000000,0.7799000000,0.3536000000,0.5485000000,0.1695800000,0.6875600000,平价时段,0 days 12:20:00,0 days 12:30:00
76,365,0.4113410959,0.1478769860,0.0224000000,0.4176000000,0.7267000000,0.3238000000,0.5148000000,0.1352600000,0.6412600000,低价时段,0 days 12:30:00,0 days 12:40:00
77,365,0.5682405479,0.1519897253,0.1533000000,0.5850000000,0.9030000000,0.4808000000,0.6795000000,0.2900400000,0.7898400000,平价时段,0 days 12:40:00,0 days 12:50:00
78,365,0.8278586301,0.1636821590,0.4046000000,0.8522000000,1.1525000000,0.7306000000,0.9409000000,0.5392800000,1.0648800000,平价时段,0 days 12:50:00,0 days 13:00:00
79,365,0.8635953425,0.1618048066,0.4606000000,0.8878000000,1.1717000000,0.7611000000,0.9781000000,0.5649600000,1.0982600000,平价时段,0 days 13:00:00,0 days 13:10:00
80,365,0.8415671233,0.1575156970,0.4443000000,0.8595000000,1.1437000000,0.7400000000,0.9522000000,0.5519000000,1.0753000000,平价时段,0 days 13:10:00,0 days 13:20:00
81,365,0.8617860274,0.1549601711,0.4637000000,0.8828000000,1.1705000000,0.7660000000,0.9808000000,0.5728600000,1.0876600000,平价时段,0 days 13:20:00,0 days 13:30:00
82,365,0.8623241096,0.1516452972,0.4662000000,0.8904000000,1.1863000000,0.7699000000,0.9667000000,0.5785200000,1.0789800000,平价时段,0 days 13:30:00,0 days 13:40:00
83,365,0.9025854795,0.1679012832,0.4780000000,0.9105000000,1.2461000000,0.7970000000,1.0124000000,0.5994400000,1.1817800000,平价时段,0 days 13:40:00,0 days 13:50:00
84,365,0.9754490411,0.2142427144,0.4811000000,0.9523000000,1.4592000000,0.8518000000,1.1006000000,0.6251600000,1.3639000000,平价时段,0 days 13:50:00,0 days 14:00:00
85,365,1.0002054795,0.2196965556,0.5074000000,0.9751000000,1.4822000000,0.8703000000,1.1379000000,0.6450600000,1.3944600000,高价时段,0 days 14:00:00,0 days 14:10:00
86,365,0.9977819178,0.2075266906,0.5381000000,0.9847000000,1.4394000000,0.8662000000,1.1227000000,0.6409800000,1.3683800000,高价时段,0 days 14:10:00,0 days 14:20:00
87,365,1.0270865753,0.2096950016,0.5646000000,1.0153000000,1.5053000000,0.9025000000,1.1561000000,0.6636200000,1.3925800000,高价时段,0 days 14:20:00,0 days 14:30:00
88,365,1.0906063014,0.2190890333,0.5867000000,1.0726000000,1.5372000000,0.9593000000,1.2378000000,0.7355200000,1.4761600000,高价时段,0 days 14:30:00,0 days 14:40:00
89,365,0.9376180822,0.1888128041,0.4626000000,0.9366000000,1.3326000000,0.8234000000,1.0426000000,0.6183400000,1.2635400000,平价时段,0 days 14:40:00,0 days 14:50:00
90,365,0.6694043836,0.1508215237,0.2515000000,0.6851000000,0.9561000000,0.5685000000,0.7871000000,0.3905600000,0.8788000000,平价时段,0 days 14:50:00,0 days 15:00:00
91,365,0.6599739726,0.1455531252,0.2829000000,0.6792000000,0.9117000000,0.5651000000,0.7706000000,0.3806600000,0.8614200000,平价时段,0 days 15:00:00,0 days 15:10:00
92,365,0.7217131507,0.1482666420,0.3429000000,0.7503000000,0.9899000000,0.6364000000,0.8247000000,0.4464000000,0.9363600000,平价时段,0 days 15:10:00,0 days 15:20:00
93,365,0.7307558904,0.1497051261,0.3284000000,0.7635000000,1.0413000000,0.6354000000,0.8426000000,0.4506800000,0.9435800000,平价时段,0 days 15:20:00,0 days 15:30:00
94,365,0.7534054795,0.1485430706,0.3517000000,0.7824000000,1.0102000000,0.6580000000,0.8639000000,0.4829400000,0.9659400000,平价时段,0 days 15:30:00,0 days 15:40:00
95,365,0.7823328767,0.1470406962,0.3876000000,0.8107000000,1.0505000000,0.6835000000,0.8890000000,0.5139200000,0.9876000000,平价时段,0 days 15:40:00,0 days 15:50:00
96,365,0.8055224658,0.1463278431,0.4239000000,0.8290000000,1.0839000000,0.7064000000,0.9145000000,0.5268400000,1.0091000000,平价时段,0 days 15:50:00,0 days 16:00:00
97,365,0.8271400000,0.1466674001,0.4817000000,0.8604000000,1.0778000000,0.7243000000,0.9422000000,0.5489000000,1.0231600000,平价时段,0 days 16:00:00,0 days 16:10:00
98,365,0.8519134247,0.1477608054,0.4914000000,0.8888000000,1.0929000000,0.7497000000,0.9682000000,0.5872600000,1.0491200000,平价时段,0 days 16:10:00,0 days 16:20:00
99,365,0.8790728767,0.1464307054,0.4975000000,0.9152000000,1.1491000000,0.7784000000,0.9886000000,0.6082400000,1.0795000000,平价时段,0 days 16:20:00,0 days 16:30:00
100,365,0.9024243836,0.1418785984,0.5600000000,0.9388000000,1.1532000000,0.8036000000,1.0064000000,0.6405800000,1.0953000000,平价时段,0 days 16:30:00,0 days 16:40:00
101,365,0.9162898630,0.1530824572,0.5557000000,0.9589000000,1.1698000000,0.7956000000,1.0346000000,0.6372200000,1.1111400000,平价时段,0 days 16:40:00,0 days 16:50:00
102,365,0.9263846575,0.1709049527,0.5262000000,0.9880000000,1.2008000000,0.7584000000,1.0605000000,0.6242600000,1.1256400000,平价时段,0 days 16:50:00,0 days 17:00:00
103,365,0.9461676712,0.1669074011,0.5336000000,1.0067000000,1.1740000000,0.7892000000,1.0786000000,0.6505800000,1.1338800000,平价时段,0 days 17:00:00,0 days 17:10:00
104,365,0.9741663014,0.1596374506,0.5758000000,1.0431000000,1.1810000000,0.8104000000,1.0967000000,0.6787600000,1.1446400000,平价时段,0 days 17:10:00,0 days 17:20:00
105,365,0.9862210959,0.1646605770,0.5853000000,1.0630000000,1.2098000000,0.7980000000,1.1112000000,0.6857400000,1.1509600000,高价时段,0 days 17:20:00,0 days 17:30:00
106,365,0.9759786301,0.1705757590,0.5743000000,1.0632000000,1.1793000000,0.7805000000,1.1014000000,0.6712000000,1.1422800000,平价时段,0 days 17:30:00,0 days 17:40:00
107,365,1.0741761644,0.1357089924,0.7589000000,1.1351000000,1.2870000000,0.9241000000,1.1732000000,0.8380400000,1.2213800000,高价时段,0 days 17:40:00,0 days 17:50:00
108,365,1.2312750685,0.0865032132,0.9981000000,1.2490000000,1.4337000000,1.1686000000,1.2968000000,1.0663600000,1.3468800000,高价时段,0 days 17:50:00,0 days 18:00:00
109,365,1.2560512329,0.0799748713,1.0657000000,1.2684000000,1.4668000000,1.2039000000,1.3112000000,1.1123400000,1.3732600000,高价时段,0 days 18:00:00,0 days 18:10:00
110,365,1.2446528767,0.0877853296,1.0398000000,1.2616000000,1.4606000000,1.1880000000,1.2950000000,1.0923600000,1.3747000000,高价时段,0 days 18:10:00,0 days 18:20:00
111,365,1.2545246575,0.0901297889,1.0529000000,1.2650000000,1.4648000000,1.2035000000,1.3132000000,1.0940200000,1.4057000000,高价时段,0 days 18:20:00,0 days 18:30:00
112,365,1.2521789041,0.0897587577,1.0452000000,1.2613000000,1.4490000000,1.2015000000,1.3136000000,1.0903200000,1.3845400000,高价时段,0 days 18:30:00,0 days 18:40:00
113,365,1.2881276712,0.1103238259,1.0298000000,1.2891000000,1.5733000000,1.2267000000,1.3495000000,1.0965400000,1.4867600000,高价时段,0 days 18:40:00,0 days 18:50:00
114,365,1.3465827397,0.1648643867,1.0568000000,1.3120000000,1.7497000000,1.2431000000,1.4762000000,1.1076200000,1.6529600000,高价时段,0 days 18:50:00,0 days 19:00:00
115,365,1.3523093151,0.1690193981,1.0646000000,1.3118000000,1.7416000000,1.2566000000,1.4957000000,1.0996000000,1.6673800000,高价时段,0 days 19:00:00,0 days 19:10:00
116,365,1.3444901370,0.1591241915,1.0109000000,1.3062000000,1.6968000000,1.2581000000,1.4733000000,1.1028200000,1.6512400000,高价时段,0 days 19:10:00,0 days 19:20:00
117,365,1.3482487671,0.1634544317,1.0280000000,1.3114000000,1.7686000000,1.2492000000,1.4751000000,1.1197400000,1.6571800000,高价时段,0 days 19:20:00,0 days 19:30:00
118,365,1.3489506849,0.1625715102,1.0496000000,1.3086000000,1.7113000000,1.2565000000,1.4792000000,1.1138800000,1.6651400000,高价时段,0 days 19:30:00,0 days 19:40:00
119,365,1.3473123288,0.1623424923,1.0708000000,1.3086000000,1.7196000000,1.2526000000,1.4717000000,1.1117000000,1.6597400000,高价时段,0 days 19:40:00,0 days 19:50:00
120,365,1.3481632877,0.1651561172,1.0643000000,1.3079000000,1.7345000000,1.2458000000,1.4765000000,1.1074600000,1.6610800000,高价时段,0 days 19:50:00,0 days 20:00:00
121,365,1.3513334247,0.1664290938,1.0675000000,1.3106000000,1.7422000000,1.2566000000,1.4884000000,1.1124400000,1.6739400000,高价时段,0 days 20:00:00,0 days 20:10:00
122,365,1.3400183562,0.1626858698,1.0473000000,1.2996000000,1.7191000000,1.2407000000,1.4746000000,1.1060200000,1.6494000000,高价时段,0 days 20:10:00,0 days 20:20:00
123,365,1.3489093151,0.1619840627,1.0480000000,1.3101000000,1.7648000000,1.2518000000,1.4880000000,1.1179400000,1.6480600000,高价时段,0 days 20:20:00,0 days 20:30:00
124,365,1.3952457534,0.1716760525,1.1047000000,1.3440000000,1.7936000000,1.2892000000,1.5470000000,1.1578200000,1.7139200000,高价时段,0 days 20:30:00,0 days 20:40:00
125,365,1.2226331507,0.1371589858,0.9615000000,1.1956000000,1.5304000000,1.1528000000,1.3108000000,1.0040400000,1.4853600000,高价时段,0 days 20:40:00,0 days 20:50:00
126,365,0.9331597260,0.0979324299,0.6863000000,0.9449000000,1.1515000000,0.8871000000,0.9930000000,0.7579800000,1.0942400000,平价时段,0 days 20:50:00,0 days 21:00:00
127,365,0.9068391781,0.0922650954,0.6926000000,0.9158000000,1.0946000000,0.8644000000,0.9576000000,0.7415600000,1.0511800000,平价时段,0 days 21:00:00,0 days 21:10:00
128,365,0.9371194521,0.0935517209,0.7250000000,0.9455000000,1.1779000000,0.8947000000,0.9849000000,0.7722600000,1.0899600000,平价时段,0 days 21:10:00,0 days 21:20:00
129,365,0.9370676712,0.0959814980,0.6889000000,0.9458000000,1.1765000000,0.8929000000,0.9905000000,0.7671400000,1.0956000000,平价时段,0 days 21:20:00,0 days 21:30:00
130,365,0.9870958904,0.0968041986,0.7455000000,0.9985000000,1.1925000000,0.9377000000,1.0396000000,0.8159000000,1.1414400000,高价时段,0 days 21:30:00,0 days 21:40:00
131,365,0.7764457534,0.0866592256,0.5792000000,0.7842000000,0.9669000000,0.7237000000,0.8262000000,0.6250400000,0.9267200000,平价时段,0 days 21:40:00,0 days 21:50:00
132,365,0.4209175342,0.0746713681,0.2284000000,0.4223000000,0.6333000000,0.3773000000,0.4619000000,0.2945600000,0.5503800000,低价时段,0 days 21:50:00,0 days 22:00:00
133,365,0.3858673973,0.0762852102,0.1958000000,0.3833000000,0.5995000000,0.3401000000,0.4243000000,0.2606600000,0.5199000000,低价时段,0 days 22:00:00,0 days 22:10:00
134,365,0.4368216438,0.0763867164,0.2565000000,0.4365000000,0.6385000000,0.3886000000,0.4791000000,0.3111200000,0.5774000000,平价时段,0 days 22:10:00,0 days 22:20:00
135,365,0.4198024658,0.0714894707,0.2457000000,0.4151000000,0.6189000000,0.3724000000,0.4609000000,0.3082200000,0.5559000000,低价时段,0 days 22:20:00,0 days 22:30:00
136,365,0.4185849315,0.0693348375,0.2409000000,0.4161000000,0.6329000000,0.3737000000,0.4564000000,0.3133200000,0.5423600000,低价时段,0 days 22:30:00,0 days 22:40:00
137,365,0.4240512329,0.0696335154,0.2551000000,0.4248000000,0.6036000000,0.3780000000,0.4638000000,0.3091400000,0.5452800000,低价时段,0 days 22:40:00,0 days 22:50:00
138,365,0.4236657534,0.0704560782,0.2688000000,0.4237000000,0.6346000000,0.3757000000,0.4604000000,0.3066400000,0.5474000000,低价时段,0 days 22:50:00,0 days 23:00:00
139,365,0.4247819178,0.0676484725,0.2408000000,0.4234000000,0.5992000000,0.3803000000,0.4646000000,0.3125000000,0.5409200000,低价时段,0 days 23:00:00,0 days 23:10:00
140,365,0.4240457534,0.0678408923,0.2646000000,0.4251000000,0.5903000000,0.3818000000,0.4616000000,0.3122600000,0.5414400000,低价时段,0 days 23:10:00,0 days 23:20:00
141,365,0.4220134247,0.0712241170,0.2657000000,0.4210000000,0.6250000000,0.3766000000,0.4608000000,0.3032000000,0.5516000000,低价时段,0 days 23:20:00,0 days 23:30:00
142,365,0.4240169863,0.0706135562,0.2763000000,0.4254000000,0.6361000000,0.3823000000,0.4645000000,0.3033400000,0.5489600000,低价时段,0 days 23:30:00,0 days 23:40:00
143,365,0.4271490411,0.0645736408,0.2570000000,0.4259000000,0.6008000000,0.3839000000,0.4658000000,0.3251600000,0.5453400000,低价时段,0 days 23:40:00,0 days 23:50:00
144,365,0.4275789041,0.0712800823,0.2375000000,0.4279000000,0.5967000000,0.3847000000,0.4699000000,0.3066000000,0.5487200000,低价时段,0 days 23:50:00,1 days 00:00:00
