date,solver_status,solver_runtime_seconds,initial_energy_kwh,planned_final_energy_kwh,actual_final_energy_kwh,planned_purchase_cost_yuan,planned_purchase_energy_kwh,decision_price_planned_cost_yuan,expected_scenario_emergency_cost_yuan,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,maximum_scenario_power_balance_residual_kw
2025-02-23,Optimal,3.9643121000,7007.7117353060,6967.9894371993,6967.9894371993,52545.2061667568,79662.3324986834,52545.2061667568,1957.9368413580,683.1375582125,2631.0522834433,55176.2584502001,0.0000000000
2025-02-24,Optimal,4.0105516000,6967.9894371993,6916.9082804806,6916.9082804806,51322.6150799238,78473.3714965021,51322.6150799238,2357.4729916763,346.2135816593,1564.2989950236,52886.9140749474,0.0000000000
2025-02-25,Optimal,4.2948681000,6916.9082804806,6999.3999842074,6999.3999842074,50647.2248474864,78414.5664774439,50647.2248474864,2228.3728342243,334.2250767340,1208.9147463318,51856.1395938181,0.0000000000
2025-02-26,Optimal,4.2111432000,6999.3999842074,7011.2192560948,7011.2192560948,51242.5236292673,78461.5502574880,51242.5236292673,2125.5809183521,502.8695107357,2143.9380474747,53386.4616767420,0.0000000000
2025-02-27,Optimal,3.4010503000,7011.2192560948,6999.4000955417,6999.4000955417,48912.1321927288,77297.6988337975,48912.1321927288,2065.1693282393,463.7847736076,2489.6281165186,51401.7603092474,0.0000000000
2025-02-28,Optimal,3.0320379000,6999.4000955417,6999.2064739204,6999.2064739204,14761.5501983203,35808.8917196718,14761.5501983203,888.9040866268,369.6853129316,1148.8092117536,15910.3594100738,0.0000000000
2025-03-01,Optimal,3.0811091000,6999.2064739204,6967.9894164654,6982.2997528369,15047.4482257214,36134.7389583618,15047.4482257214,867.0953076835,578.1593874488,2024.8706869768,17072.3189126982,0.0000000000
2025-03-02,Optimal,4.0839929000,6982.2997528369,6999.2062644251,6999.2062644251,49369.5616824538,76755.4053943105,49369.5616824538,2345.9051344177,3867.9267871282,17245.8668768877,66615.4285593415,0.0000000000
2025-03-03,Optimal,4.0162274000,6999.2062644251,7000.1735734177,7000.1735734177,49256.2110869107,76370.6617409840,49256.2110869107,2416.3953684004,2980.5657279729,13609.4396841871,62865.6507710978,0.0000000000
2025-03-04,Optimal,2.9052584000,7000.1735734177,6969.6416175431,6969.6416175431,50554.2939321445,78106.3372731958,50554.2939321445,2698.7697086324,665.8116240792,2377.8066374467,52932.1005695912,0.0000000000
2025-03-05,Optimal,3.9599699000,6969.6416175431,7055.4023069163,7055.4023069163,50371.1093666399,79178.7506391130,50371.1093666400,2181.7337747389,158.1046363091,684.7095210053,51055.8188876453,0.0000000000
2025-03-06,Optimal,2.9745415000,7055.4023069163,7044.4666273579,7044.4666273579,50436.8027816111,78619.9406251791,50436.8027816111,2454.6528692903,317.6543125977,954.1198826027,51390.9226642137,0.0000000000
2025-03-07,Optimal,3.3094052000,7044.4666273579,7082.9195777958,7082.9195777958,14526.9956579759,35166.8943866505,14526.9956579759,993.9729304142,214.2971610867,586.9861595674,15113.9818175433,0.0000000000
2025-03-08,Optimal,3.7432264000,7082.9195777958,6992.5552347563,6992.5552347563,13848.5167791255,33518.9838131038,13848.5167791255,902.8023705446,358.6635119656,904.9853068045,14753.5020859300,0.0000000000
2025-03-09,Optimal,3.2186033000,6992.5552347563,6919.1517124415,6919.1517124415,46932.3109722639,75140.3042086276,46932.3109722639,2390.6039813990,235.0348697366,917.3472493581,47849.6582216220,0.0000000000
2025-03-10,Optimal,5.2601592000,6919.1517124415,6916.6019493836,6916.6019493836,47769.2380812731,73920.7971322585,47769.2380812730,2233.7233401980,1955.9234841275,6810.5089372369,54579.7470185100,0.0000000000
2025-03-11,Optimal,3.1504219000,6916.6019493836,7041.7326373616,7049.8801807643,46418.5941724203,73843.3421119719,46418.5941724203,2259.4833090110,567.9882926219,2337.7515991671,48756.3457715874,0.0000000000
2025-03-12,Optimal,3.5358974000,7049.8801807643,6992.7487602846,6992.7487602846,45474.0336225387,73366.9433336884,45474.0336225387,2363.0835202818,455.2017585750,1726.1976656397,47200.2312881785,0.0000000000
2025-03-13,Optimal,4.5911228000,6992.7487602846,7083.2123764846,7083.2123764846,45972.1390120727,72566.5473806169,45972.1390120727,2186.2091808820,2736.7730774050,11971.1418372348,57943.2808493075,0.0000000000
2025-03-14,Optimal,3.2832187000,7083.2123764846,6999.3999082933,6999.3999082933,13020.3737416441,32696.2521527301,13020.3737416440,833.7230141901,311.9523770509,1131.2478539031,14151.6215955472,0.0000000000
2025-03-15,Optimal,3.0596408000,6999.3999082933,7086.2219144711,7086.2219144711,13608.4301067999,32766.5157366742,13608.4301067999,843.9896159049,408.0436360133,1459.2507437632,15067.6808505632,0.0000000000
2025-03-16,Optimal,3.8645516000,7086.2219144711,7008.4854282298,7012.6400570637,44780.7724296075,72032.1380859744,44780.7724296075,2321.1571523034,600.7083882506,2585.9193184596,47366.6917480670,0.0000000000
2025-03-17,Optimal,4.0102015000,7012.6400570637,7044.4665728783,7046.7945449558,43883.6518473251,72505.1351777829,43883.6518473251,2583.9297463599,237.4646494184,1062.2422503290,44945.8940976541,0.0000000000
2025-03-18,Optimal,4.2202993000,7046.7945449558,7086.2220611150,7086.2220611150,43201.7593846824,70555.4282682597,43201.7593846824,2118.1852388627,984.2603730846,4840.6051986421,48042.3645833244,0.0000000000
2025-03-19,Optimal,3.7151321000,7086.2220611150,6969.8454879464,6969.8454879464,42733.0038543980,70519.5671358818,42733.0038543980,2311.4274320643,371.6042982877,1840.8508426826,44573.8546970806,0.0000000000
2025-03-20,Optimal,6.2943747000,6969.8454879464,6992.7485671353,6992.7485671353,43168.9917458575,70075.3938616723,43168.9917458575,2485.1490523511,897.0676366718,3447.6326639890,46616.6244098465,0.0000000000
2025-03-21,Optimal,3.0967828000,6992.7485671353,7041.7325365404,7041.7325365404,12758.8294740919,31819.5966885218,12758.8294740919,844.7858549473,408.6279580384,994.9362023863,13753.7656764783,0.0000000000
2025-03-22,Optimal,6.1600219000,7041.7325365404,7055.4031619132,7076.3935678739,13214.2320456750,32542.4362440524,13214.2320456750,892.9916231862,197.5383473608,502.7105019560,13716.9425476310,0.0000000000
2025-03-23,Optimal,2.6481776000,7076.3935678739,6986.4592739215,6986.4592739215,40786.1496630436,67675.0572785226,40786.1496630437,2023.3854831783,953.1871715162,3848.6572600250,44634.8069230687,0.0000000000
2025-03-24,Optimal,4.5901820000,6986.4592739215,7044.4665278471,7044.4665278471,40759.2759744521,67270.4353245246,40759.2759744521,2760.4609642094,698.5911690719,2289.8701003788,43049.1460748309,0.0000000000
2025-03-25,Optimal,3.5690926000,7044.4665278471,6999.2066729158,6999.2066729158,40825.9256612669,67406.3813089708,40825.9256612669,2299.6947130756,1748.3168269132,6649.2303016071,47475.1559628740,0.0000000000
2025-03-26,Optimal,5.0621438000,6999.2066729158,7086.2219876970,7086.2219876970,40137.2601424067,67143.7388643022,40137.2601424067,2181.8215147300,383.0024695095,1243.8231919412,41381.0833343479,0.0000000000
2025-03-27,Optimal,3.8843470000,7086.2219876970,7112.3244105221,7114.7489351170,40096.7123129380,66799.2628809602,40096.7123129380,2069.2994659446,670.0886668643,2325.4802620895,42422.1925750275,0.0000000000
2025-03-28,Optimal,2.9528390000,7114.7489351170,7180.2814410574,7192.8243785574,12564.5049760273,31338.2426867173,12564.5049760273,824.4808993293,347.1249181590,1076.1200867430,13640.6250627704,0.0000000000
2025-03-29,Optimal,2.8592182000,7192.8243785574,6999.3998915580,7013.4440807941,12339.8328134581,30793.0303333486,12339.8328134581,796.2970531756,317.1649589844,1032.0772214894,13371.9100349475,0.0000000000
2025-03-30,Optimal,2.4819226000,7013.4440807941,7011.2196119317,7011.2196119317,38621.0255046006,65518.9047023124,38621.0255046006,2508.4980804839,537.9413183159,2029.3321199422,40650.3576245428,0.0000000000
2025-03-31,Optimal,3.2057644000,7011.2196119317,6992.5551777426,6993.0134387379,38215.6046947752,63823.0144701924,38215.6046947752,1974.8865907562,1128.4511579520,4266.3089065013,42481.9136012765,0.0000000000
2025-04-01,Optimal,3.6100115000,6993.0134387379,7041.7325431913,7041.7325431913,39808.0371169570,64967.0694605113,39808.0371169570,2504.1092108248,2662.7792756795,8327.3335109872,48135.3706279442,0.0000000000
2025-04-02,Optimal,4.9408964000,7041.7325431913,7011.2196354028,7011.2196354028,38290.5536075152,63808.6566509413,38290.5536075152,2261.9692908287,3927.7319092519,16384.7719425784,54675.3255500936,0.0000000000
2025-04-03,Optimal,3.1731591000,7011.2196354028,7053.9505659212,7053.9505659212,39154.1076385707,65582.1351211316,39154.1076385706,2238.5840665266,565.4621553450,2138.0136232179,41292.1212617886,0.0000000000
2025-04-04,Optimal,1.0236420000,7053.9505659212,7153.1582564285,7202.4901126207,12005.4362794898,30108.4826539555,12005.4362794898,813.0519094410,354.9742895730,1096.4926703646,13101.9289498544,0.0000000000
2025-04-05,Optimal,1.1311993000,7202.4901126207,6992.3631020317,6992.3631020317,12150.5357441934,29872.1245218388,12150.5357441934,792.2391484645,325.5084390587,902.0593656653,13052.5951098587,0.0000000000
2025-04-06,Optimal,3.3281253000,6992.3631020317,7597.5494518514,7598.5206059313,39099.0864833732,66002.3059731711,39099.0864833732,2619.8041682871,439.9793205078,1797.6903969676,40896.7768803408,0.0000000000
2025-04-07,Optimal,3.7285903000,7598.5206059313,7010.4457992120,7010.4457992120,37511.1295859292,63263.9349406633,37511.1295859292,2023.6289461472,408.3550751969,1029.0709216369,38540.2005075661,0.0000000000
2025-04-08,Optimal,4.4150047000,7010.4457992120,7041.7328627839,7041.7328627839,37883.4692670369,64542.8850674124,37883.4692670369,1945.6459709602,783.1844623591,3563.4001728825,41446.8694399194,0.0000000000
2025-04-09,Optimal,2.8624174000,7041.7328627839,6954.0395395918,6986.0233575895,37414.4361228480,62857.4385324658,37414.4361228480,2288.2029789974,2922.0600719913,10307.0645491383,47721.5006719863,0.0000000000
2025-04-10,Optimal,2.9022099000,6986.0233575895,7098.2577693759,7098.2577693759,37566.9510109847,64027.2326070700,37566.9510109847,2029.0823188499,751.9454375719,3404.6834053033,40971.6344162880,0.0000000000
2025-04-11,Optimal,2.6349209000,7098.2577693759,7009.5182229069,7064.8847645012,11551.6367078311,29715.0468597734,11551.6367078311,781.8723745017,427.8062046497,1376.0983307203,12927.7350385514,0.0000000000
2025-04-12,Optimal,1.0829520000,7064.8847645012,7133.9603566370,7154.3335152199,11883.2782541792,30598.8060079629,11883.2782541792,722.7119862933,156.8780107477,411.3530538053,12294.6313079845,0.0000000000
2025-04-13,Optimal,3.4653977000,7154.3335152199,7007.2358521747,7029.0323549958,36922.7010352478,62224.5680153104,36922.7010352478,2511.1988511387,772.9736175106,3113.6935537360,40036.3945889838,0.0000000000
2025-04-14,Optimal,3.3491188000,7029.0323549958,7102.8169899673,7126.0684873631,36153.7757614681,62007.4739562459,36153.7757614681,2131.6277579535,583.9507767992,2253.0887588088,38406.8645202769,0.0000000000
2025-04-15,Optimal,3.7646620000,7126.0684873631,7088.5396609413,7125.3608061959,35989.7969225010,62290.3500645083,35989.7969225009,1764.2943007257,322.1655398526,1342.4103902035,37332.2073127044,0.0000000000
2025-04-16,Optimal,3.7924309000,7125.3608061959,7054.0157092040,7072.1866653672,36551.9238579447,61330.4166448654,36551.9238579447,2143.1206128493,1679.5542829033,6143.2241686492,42695.1480265939,0.0000000000
2025-04-17,Optimal,3.6734858000,7072.1866653672,6998.7321174282,6998.7321174282,35528.4167315739,60864.9901868475,35528.4167315739,1944.5973020032,412.0612564707,1619.7195805261,37148.1363121000,0.0000000000
2025-04-18,Optimal,1.0262873000,6998.7321174282,7148.1624624020,7313.6576426501,11535.1700949676,29593.7768873047,11535.1700949676,706.2824978635,275.4975681152,763.4307728408,12298.6008678084,0.0000000000
2025-04-19,Optimal,2.9582289000,7313.6576426501,7418.4732608028,7624.4979365207,11168.4988993816,28619.3581846259,11168.4988993816,774.8881823186,415.5466961202,1271.7699608530,12440.2688602345,0.0000000000
2025-04-20,Optimal,4.1888856000,7624.4979365207,7042.7194328753,7063.6740462289,35474.8610975577,60116.7194753244,35474.8610975577,2015.3596169518,734.2742485497,2735.9641869757,38210.8252845333,0.0000000000
2025-04-21,Optimal,2.5239559000,7063.6740462289,7053.5622923746,7056.6379705430,35173.9283376277,61020.0799850133,35173.9283376277,2138.0119484222,395.5252669294,1231.9446983603,36405.8730359880,0.0000000000
2025-04-22,Optimal,3.1471699000,7056.6379705430,7120.8321867307,7120.8321867307,35193.9465630837,59462.1869248963,35193.9465630837,1925.2755712643,1235.8118580035,3662.4977353450,38856.4442984287,0.0000000000
2025-04-23,Optimal,3.5750614000,7120.8321867307,7112.0428931155,7112.0428931155,35528.6135982201,60563.3920281969,35528.6135982201,2125.6518550091,607.9231823623,2025.2613907128,37553.8749889329,0.0000000000
2025-04-24,Optimal,2.9837366000,7112.0428931155,7054.0084607229,7092.4517409783,34623.8812052020,59284.2227216880,34623.8812052020,2165.9906900816,194.0878388289,793.0829109226,35416.9641161247,0.0000000000
2025-04-25,Optimal,1.0193445000,7092.4517409783,7427.8421330666,7587.5145900979,10563.5495374878,28527.1967282943,10563.5495374878,706.3668839213,167.7189493556,448.3365609682,11011.8860984560,0.0000000000
2025-04-26,Optimal,3.0833219000,7587.5145900979,7256.7784734011,7402.1483427045,10631.3223952296,27885.8979021246,10631.3223952296,696.2157269188,540.2382442397,1535.6079875044,12166.9303827340,0.0000000000
2025-04-27,Optimal,4.3777670000,7402.1483427045,7086.2220674916,7086.2220674916,32398.7379224655,56779.1308691173,32398.7379224655,1698.9048445678,1341.5538120185,5814.5116136622,38213.2495361276,0.0000000000
2025-04-28,Optimal,3.7666932000,7086.2220674916,7055.4030467374,7134.0764260053,33599.1951728581,56706.5998416241,33599.1951728581,2009.3798587053,5739.8337565930,22026.9474397638,55626.1426126219,0.0000000000
2025-04-29,Optimal,6.2781014000,7134.0764260053,7332.3965808540,7332.3965808540,33764.5219024287,59380.4938199858,33764.5219024287,2121.1964183918,876.6213676779,3663.7378879772,37428.2597904059,0.0000000000
2025-04-30,Optimal,4.6556980000,7332.3965808540,7048.2163232207,7048.2163232207,33067.3882898157,57213.2027472643,33067.3882898157,1977.0386883873,1533.5455219486,5025.2231584748,38092.6114482905,0.0000000000
2025-05-01,Optimal,3.9871919000,7048.2163232207,7419.2963372948,7419.2963372948,34507.6885962053,58430.7614901982,34507.6885962053,2188.2797261331,2826.5130572973,13252.9963198264,47760.6849160316,0.0000000000
2025-05-02,Optimal,3.5563120000,7419.2963372948,7453.2930391848,7453.2930391848,11339.1065302356,27948.2382950179,11339.1065302356,891.4084253227,2719.3374200578,9876.9632630335,21216.0697932692,0.0000000000
2025-05-03,Optimal,1.2823332000,7453.2930391848,7162.8557612660,7193.8635832061,11186.7010536751,27785.9088584459,11186.7010536751,737.4364986893,1842.6082647980,7806.6742078568,18993.3752615319,0.0000000000
2025-05-04,Optimal,3.3707977000,7193.8635832061,7418.6378587329,7418.6378587329,35637.8000906628,59305.5867908324,35637.8000906628,2381.9323275034,2274.4291999530,10240.5195815088,45878.3196721717,0.0000000000
2025-05-05,Optimal,4.5353720000,7418.6378587329,7309.7243069608,7309.7243069608,35354.2251880580,59715.9205045833,35354.2251880580,2304.7139733846,3398.1947646828,15891.0591767476,51245.2843648056,0.0000000000
2025-05-06,Optimal,4.3166627000,7309.7243069608,7469.6759035779,7469.6759035779,35678.8998211892,59802.6469492236,35678.8998211892,2549.8078157944,2947.0423713397,13333.7316985836,49012.6315197728,0.0000000000
2025-05-07,Optimal,4.9083135000,7469.6759035779,7728.6155535573,7728.6155535573,35829.1316964340,60124.9525548254,35829.1316964340,2460.3700873164,3016.6343033273,14138.4487701370,49967.5804665710,0.0000000000
2025-05-08,Optimal,3.9502966000,7728.6155535573,7736.4772737972,7866.6294278952,39158.2888074670,63674.9972781809,39158.2888074670,2701.9505465512,1306.3877085182,5313.2986943633,44471.5875018304,0.0000000000
2025-05-09,Optimal,2.8724867000,7866.6294278952,6997.1852406699,7162.6521642448,12388.2854866589,29564.1139246453,12388.2854866589,726.1160356783,509.7559912434,1560.3850461249,13948.6705327838,0.0000000000
2025-05-10,Optimal,1.2245117000,7162.6521642448,7128.5842823874,7220.3949132468,13116.5790949081,30680.1912706351,13116.5790949081,884.2799619235,777.2059611398,2598.2933930310,15714.8724879391,0.0000000000
2025-05-11,Optimal,5.1659664000,7220.3949132468,7112.5349735601,7112.5349735601,38434.1980742447,62684.5192838075,38434.1980742447,2618.3302204667,1254.2500046597,4687.0440667134,43121.2421409580,0.0000000000
2025-05-12,Optimal,5.6887013000,7112.5349735601,7123.2931465903,7123.2931465903,38319.3466037145,62622.5138934796,38319.3466037145,2545.6754419815,813.6437564450,3051.3728805405,41370.7194842549,0.0000000000
2025-05-13,Optimal,3.6052757000,7123.2931465903,7423.7439370665,7441.1473307297,38390.0588012284,64006.9530910956,38390.0588012284,2704.7531510581,379.8539902466,1623.6296292916,40013.6884305199,0.0000000000
2025-05-14,Optimal,3.6716945000,7441.1473307297,7191.8164858604,7226.0045805056,38509.6600762214,64123.8054350243,38509.6600762214,2767.5577766790,272.3485718354,886.6569950137,39396.3170712351,0.0000000000
2025-05-15,Optimal,6.4141837000,7226.0045805056,7539.6639935085,7635.0694305744,38763.7975248079,64023.0647178251,38763.7975248078,2525.2973916369,1121.8404052027,4498.0366508069,43261.8341756148,0.0000000000
2025-05-16,Optimal,4.0017661000,7635.0694305744,7252.1373090314,7450.7031590205,12294.6084125444,29205.8201444687,12294.6084125444,914.9778008156,456.8745597801,1105.0320719105,13399.6404844549,0.0000000000
2025-05-17,Optimal,3.4517652000,7450.7031590205,7476.7663942285,7583.9830647110,12785.0541484707,30165.9879195929,12785.0541484707,984.8186717560,675.2337060442,2018.8881819577,14803.9423304284,0.0000000000
2025-05-18,Optimal,4.2713456000,7583.9830647110,7500.2772617307,7554.1008149714,37469.1397614112,61584.0530561517,37469.1397614111,2424.4919621741,1694.9782010405,6178.3898504820,43647.5296118932,0.0000000000
2025-05-19,Optimal,4.9169405000,7554.1008149714,8191.4413744240,8191.4413744240,37548.7541379789,63307.7076562536,37548.7541379789,2722.3191217823,387.4600356671,2028.8771443313,39577.6312823102,0.0000000000
2025-05-20,Optimal,3.8066592000,8191.4413744240,6997.1858004135,6997.1858004135,35069.0907429783,58286.2341621372,35069.0907429783,2459.0433901852,1845.1600697898,6342.6390569503,41411.7297999285,0.0000000000
2025-05-21,Optimal,5.2306905000,6997.1858004135,7083.3763799290,7145.2224596092,36779.3233373645,60788.0937168120,36779.3233373645,2170.6091042567,1213.4209182267,4793.2485220788,41572.5718594433,0.0000000000
2025-05-22,Optimal,4.4518790000,7145.2224596092,7489.9215911527,7489.9215911527,36203.4975167769,60217.9767341343,36203.4975167769,2511.9949827062,573.6737244752,2820.2296036544,39023.7271204313,0.0000000000
2025-05-23,Optimal,3.3615325000,7489.9215911527,7566.0532119340,7695.3127512135,12064.8282438809,29742.3114477578,12064.8282438809,944.3642520436,429.5499810323,1421.4870904725,13486.3153343534,0.0000000000
2025-05-24,Optimal,3.1714221000,7695.3127512135,7476.7661816079,7707.2400493199,12624.3395667914,29764.1567917107,12624.3395667914,1060.6670102631,203.4444210409,710.2237138554,13334.5632806469,0.0000000000
2025-05-25,Optimal,4.6640187000,7707.2400493199,7091.1522572320,7091.1522572320,35701.0174055773,59730.5229969119,35701.0174055773,2393.4982850158,440.1319509346,2191.8173792817,37892.8347848590,0.0000000000
2025-05-26,Optimal,5.1253223000,7091.1522572320,7091.2291381059,7092.2867438640,35371.5778430642,58906.7284895481,35371.5778430642,2503.1895005826,3343.8872428996,12907.3307674540,48278.9086105181,0.0000000000
2025-05-27,Optimal,3.6064589000,7092.2867438640,7712.7689330621,7712.7689330621,37100.7044151048,62460.5029410244,37100.7044151048,2706.0164356084,384.8180880281,1267.2880311485,38367.9924462533,0.0000000000
2025-05-28,Optimal,4.4967387000,7712.7689330621,8304.4675019425,8304.4675019425,37364.7331971909,61666.5666838009,37364.7331971909,3054.8053558600,1928.0147152623,5924.5803035107,43289.3135007016,0.0000000000
2025-05-29,Optimal,6.2055533000,8304.4675019425,7149.0620651374,7200.0140965502,35154.6447165852,58195.6752724718,35154.6447165852,2862.0008506953,1693.7612993868,6953.5962584302,42108.2409750154,0.0000000000
2025-05-30,Optimal,1.0369856000,7200.0140965502,7447.4305405486,7617.1892816872,12342.4078744603,29305.9300914902,12342.4078744603,924.0671744590,799.6619219122,2452.0680849427,14794.4759594030,0.0000000000
2025-05-31,Optimal,2.8900440000,7617.1892816872,7588.5987679972,7692.6406143333,11727.5207947741,29885.4676587296,11727.5207947741,1007.2569793747,601.2353965729,1885.6527099158,13613.1735046899,0.0000000000
2025-06-01,Optimal,5.4116413000,7692.6406143333,7500.2770490642,7500.2770490642,39813.8590394314,60209.2514500774,39813.8590394314,2678.2505370248,14376.1809570623,62036.3071027833,101850.1661422147,0.0000000000
2025-06-02,Optimal,3.6285779000,7500.2770490642,7381.2624645772,7381.2624645772,40413.5073219654,62513.7303845558,40413.5073219654,3449.5856650788,11635.3175789167,52536.0142097629,92949.5215317283,0.0000000000
2025-06-03,Optimal,3.4154700000,7381.2624645772,7376.6439627575,7376.6439627575,41181.6030272181,63328.0060707870,41181.6030272181,3044.0840275434,9098.7273623511,40046.2136845136,81227.8167117317,0.0000000000
2025-06-04,Optimal,4.5620055000,7376.6439627575,7588.5988752887,7588.5988752887,42628.7040976675,65264.7688558144,42628.7040976675,3056.2016144634,8708.7079764795,35717.6627664425,78346.3668641100,0.0000000000
2025-06-05,Optimal,4.6483926000,7588.5988752887,8165.7418867773,8165.7418867773,45210.5790321188,68687.2143594081,45210.5790321188,5172.8953031371,8026.8578709355,33681.8138815364,78892.3929136552,0.0000000000
2025-06-06,Optimal,3.6129981000,8165.7418867773,7274.9472404469,7274.9472404469,13461.5834659203,28979.3743436091,13461.5834659203,1449.3510581958,8199.1839246123,30243.9003715087,43705.4838374290,0.0000000000
2025-06-07,Optimal,3.0481129000,7274.9472404469,7469.6757914702,7469.6757914702,14513.9132676433,31227.6547863808,14513.9132676433,2525.1388078070,6038.8707591674,21610.4501737374,36124.3634413808,0.0000000000
2025-06-08,Optimal,1.0641262000,7469.6757914702,8367.1887502659,8367.1887502659,55412.6415513386,82278.9505920205,55412.6415513386,4397.1496905443,155.4428000178,622.9084105167,56035.5499618553,0.0000000000
2025-06-09,Optimal,2.8791770000,8367.1887502659,7499.1372754252,7499.1372754252,53769.1669160298,78713.7109527580,53769.1669160298,4618.2240808334,1422.7439072092,5751.1397847477,59520.3067007775,0.0000000000
2025-06-10,Optimal,1.0519635000,7499.1372754252,7707.4394602766,7707.4394602766,54313.8935322065,80269.5492141380,54313.8935322065,3958.3614799072,928.1105396345,3684.7323640159,57998.6258962224,0.0000000000
