date,schedule,settlement_mode,solver_status,solver_success,solver_runtime_seconds,release_count,maximum_scenario_power_balance_residual_kw,initial_energy_kwh,final_energy_kwh,initial_planned_purchase_energy_kwh,initial_planned_purchase_cost_yuan,initial_expected_operating_cost_yuan,adjustment_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjusted_interval_count,emergency_energy_kwh,emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,wall_runtime_seconds
2025-02-11,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.8473607000,1,0.0000000000,6903.8255246751,6962.2637364186,85237.7520760521,58012.0809565064,60264.8130842273,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,249.3364088344,1254.7946009952,59266.8755575016,22,39912.6730436164,7372.0924882095,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-12,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.6335419000,1,0.0000000000,6962.2637364186,7010.4457483153,85494.2620009746,57745.2936933208,60080.0082255560,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,323.4848716536,1448.7060607436,59193.9997540644,21,40598.9537611301,7578.0669771951,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-13,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.9751099000,1,0.0000000000,7010.4457483153,7112.2394467567,84865.0143511888,56720.7655087808,58859.5329409019,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,327.6922403072,1429.8765357392,58150.6420445199,24,37325.1613345872,7796.1527512419,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-14,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.0360794000,1,0.0000000000,7112.2394467567,7112.2394634077,38856.9047771236,16336.9659512685,17563.9340120802,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,638.6371477257,1969.7099549600,18306.6759062285,37,37124.9744052375,6991.3632822621,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-15,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.0816604000,1,0.0000000000,7112.2394634077,7011.2195906992,37745.8741264573,16344.7296127641,17601.0514209993,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,761.3306743747,2501.5902664840,18846.3198792481,36,36446.2440857354,6981.8772339240,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-16,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.5247317000,1,0.0000000000,7011.2195906992,7041.7325452043,83262.6606404727,56156.0901393771,58608.6298767933,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,669.0698792006,2933.3403664598,59089.4305058369,42,41282.2953507874,7391.1379427773,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-17,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.1690300000,1,0.0000000000,7041.7325452043,6992.5553715608,82444.2335053389,54913.1695502039,57287.5942723423,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,313.9527437609,1337.9476441802,56251.1171943841,23,39917.5166013625,7755.8604712764,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-18,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.4288803000,1,0.0000000000,6992.5553715608,6967.9894302331,80935.3325920092,53348.4303978121,55618.7588022590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,343.6295949054,1467.7926454398,54816.2230432518,23,41007.5304688655,7544.5090160591,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-19,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.7328701000,1,0.0000000000,6967.9894302331,6999.3998859572,80785.2020977976,52968.7936068654,55239.9026398559,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,808.9616759035,3039.4259170967,56008.2195239621,40,44249.7510586139,7398.9039040014,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-20,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.3138470000,1,0.0000000000,6999.3998859572,7044.4668020884,80931.8746143340,53574.0625045115,55861.3830009581,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,452.7857824855,2241.7458910185,55815.8083955300,28,40743.2532702932,7432.3157811808,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-21,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.6939859000,1,0.0000000000,7044.4668020884,6833.8842570661,36883.3247365631,15833.6212215595,16734.8041087359,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,275.9435909311,795.9311840674,16629.5524056269,24,35832.1870995895,6563.9091572404,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-22,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.5280972000,1,0.0000000000,6833.8842570661,7007.7117234452,36924.6354319617,16023.8139182333,17046.7707301080,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,313.8164160852,957.6308676651,16981.4447858984,23,34591.2692229981,6255.1487607287,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-23,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.8517698000,1,0.0000000000,7007.7117234452,6967.9894242924,79463.4141718896,52369.4610739288,54332.9163718579,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,688.7037740833,2708.1796947083,55077.6407686370,33,40012.2224894086,7293.3667585754,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-24,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.9893327000,1,0.0000000000,6967.9894242924,6916.9057595930,78143.8365580243,51113.1376385645,53466.3724907187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,361.7088353933,1612.8411804070,52725.9788189715,24,38753.3793227698,7129.2141144937,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-25,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,14.8889029000,1,0.0000000000,6916.9057595930,6999.3999951498,78617.3292838554,50785.1805612686,53013.4909427344,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,343.4492764936,1258.2175084623,52043.3980697309,25,37476.4732166295,7622.4326294729,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-26,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.0184631000,1,0.0000000000,6999.3999951498,7011.2193140460,77775.8877701707,50644.5555119365,52769.5261718857,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,571.1440926861,2451.7512063071,53096.3067182436,30,39173.4688131948,7419.1350479263,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-27,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.1498399000,1,0.0000000000,7011.2193140460,6999.4000621947,77077.9580814405,48780.7761130887,50840.4889361190,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,451.0988694666,2403.5600511221,51184.3361642108,19,42271.1368387559,7180.1186823462,1200.0000000000,10800.0000000000,2832.6880042000
2025-02-28,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.6459525000,1,0.0000000000,6999.4000621947,6999.2064518099,35698.8561441673,14708.2694419571,15596.5094426145,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,391.5522064775,1243.9216777030,15952.1911196601,27,34542.8507444489,6346.5642336034,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.3168054000,1,0.0000000000,6999.2064518099,6982.2997186477,36200.3791637746,15067.8134815266,15936.6414514850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,471.9732459350,1790.2230538234,16858.0365353500,20,36655.0953107921,6489.2061159688,1214.3103363715,10800.0000000000,2832.6880042000
2025-03-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.1803787000,1,0.0000000000,6982.2997186477,6999.2063005851,77169.0071528873,49636.7318087217,51982.6369822171,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,3573.5791200556,16147.6416296678,65784.3734383895,44,42679.7786871187,7308.5721171230,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,14.0402709000,1,0.0000000000,6999.2063005851,7000.1735999980,77596.4650896597,50228.7340142954,52726.7933141111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2112.6896604803,9915.9028086560,60144.6368229514,53,41680.3341781465,7446.8635766503,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.0503873000,1,0.0000000000,7000.1735999980,6969.6416076787,78153.6460153748,50611.6334388594,53310.4031474918,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,637.1161557510,2133.2865872094,52744.9200260688,29,41575.3755464265,7360.6143578865,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.9570092000,1,0.0000000000,6969.6416076787,7055.4023665324,79196.3614086566,50357.3015117598,52543.6879366398,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,143.7886266957,622.2983864606,50979.5998982205,12,37459.1500962848,7767.7790005140,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.2787906000,1,0.0000000000,7055.4023665324,7044.4665719805,77951.8546167524,49875.0174268641,52322.3892059625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,313.9985775594,939.2224541036,50814.2398809677,21,37651.8926469312,7704.8956757181,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.2222989000,1,0.0000000000,7044.4665719805,7082.9195818753,35126.8224057243,14511.6630209242,15494.2800683265,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,208.5087599365,568.9392393267,15080.6022602509,14,31952.7856199425,6370.7029499449,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.2510165000,1,0.0000000000,7082.9195818753,6992.5552242051,33428.7194226630,13812.9304684427,14700.0001385213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,359.0217249629,906.3574845887,14719.2879530314,23,36391.7486058290,6279.5442017787,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,16.6766266000,1,0.0000000000,6992.5552242051,6919.1517156533,75228.9288807737,46932.3425563722,49330.6667697367,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,275.4943155747,1149.5907705232,48081.9333268954,21,39466.0031229655,7284.3060321176,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,15.8748661000,1,0.0000000000,6919.1517156533,6916.6019438710,73788.0241627549,47599.8129283315,49833.5362685295,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1990.2341473684,7346.4925287149,54946.3054570464,52,39902.7115749355,7292.0760448305,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-11,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.6476806000,1,0.0000000000,6916.6019438710,7049.8801421800,72503.0455995574,45371.5612570918,47598.7205191684,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,792.5254056202,3245.2885758435,48616.8498329352,40,38767.1659240861,6879.0268798354,1208.1475434028,10800.0000000000,2832.6880042000
2025-03-12,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.8863065000,1,0.0000000000,7049.8801421800,6992.7487728297,73286.6717676692,45408.7284977376,47766.4886958312,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,447.1354615442,1688.8828708819,47097.6113686195,30,38616.9336678466,7176.1968433719,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-13,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,17.5937016000,1,0.0000000000,6992.7487728297,7083.2120831748,73246.5679174651,46466.8927892460,48689.0624986484,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1959.8016420529,8637.7468797113,55104.6396689573,42,37710.1330712577,7299.9601532539,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-14,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.5897655000,1,0.0000000000,7083.2120831748,6999.3998938712,32688.1216431067,13010.9755630488,13845.6236356375,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,316.5464831505,1148.5699596442,14159.5455226930,23,37724.2290476825,6096.3312191311,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-15,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.6474682000,1,0.0000000001,6999.3998938712,7086.2219387638,32780.2640995254,13604.1268831264,14446.2266825005,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,368.2693300699,1326.5045378308,14930.6314209571,24,34324.6480753291,6228.4171312942,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-16,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.3141482000,1,0.0000000000,7086.2219387638,7012.6400542558,71523.1187692571,44471.5509657673,46775.2611123039,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,618.3923046806,2537.7446360647,47009.2956018320,37,38186.2238298708,7001.8120322531,1204.1546288339,10800.0000000000,2832.6880042000
2025-03-17,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.1252044000,1,0.0000000000,7012.6400542558,7046.7945105719,71872.8370824644,43392.1056890982,45934.8681301831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,259.1822040769,1160.8144462380,44552.9201353363,18,36578.0303161991,7205.9144262195,1202.3279720775,10800.0000000000,2832.6880042000
2025-03-18,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.2586394000,1,0.0000000000,7046.7945105719,7086.2220741985,71552.5179311740,43934.0987470875,46111.2756346766,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,615.7365874821,2838.7729875780,46772.8717346655,25,38581.7896184510,7127.6657619280,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-19,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.6479030000,1,0.0000000000,7086.2220741985,6969.8454601308,69695.3254898159,42232.2213930019,44505.8434747119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,335.9136247686,1612.0279822502,43844.2493752522,22,41020.1134465293,7172.2388462598,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-20,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.2381635000,1,0.0000000000,6969.8454601308,6992.7485788186,69508.1566732813,42800.6602941157,45242.4360134423,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1010.3357029304,3953.3285382250,46753.9888323407,44,37810.2673924968,6828.3009996286,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-21,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.1283522000,1,0.0000000000,6992.7485788186,7041.7325352283,31724.5969096066,12723.1124246544,13564.4342424785,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,418.7489896823,1025.2758443731,13748.3882690274,23,33628.0929700521,5996.5326022225,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-22,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.0629384000,1,0.0000000000,7041.7325352283,7076.3935783739,32569.1188930049,13228.0374315202,14122.5317066223,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,194.2504810098,489.8472127827,13717.8846443029,14,35016.5915348444,6130.9445212660,1220.9904059606,10800.0000000000,2832.6880042000
2025-03-23,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.1708898000,1,0.0000000000,7076.3935783739,6986.4592958263,68305.2574156404,41210.2092563930,43248.1933485722,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,665.4010267835,2647.5144523670,43857.7237087600,32,38204.5880667533,7011.2748447356,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-24,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.9942730000,1,0.0000000000,6986.4592958263,7044.4665298629,67514.1408074330,40895.5022480279,43654.2722617466,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,677.6665246401,2184.1348272423,43079.6370752703,38,37928.4357017457,7243.1353781131,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-25,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.1539706000,1,0.0000000000,7044.4665298629,6999.2066221086,68397.0823682363,41441.6813274833,43778.0881545875,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1117.1272519561,4119.6967590517,45561.3780865350,44,39708.0040455574,6975.4586291584,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-26,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,17.8683359000,1,0.0000000000,6999.2066221086,7086.2220083964,66291.2004192021,39647.6913714702,41815.5340882585,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,441.1733218905,1526.8245898324,41174.5159613026,25,37316.0133612151,7140.9230963943,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-27,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.5956503000,1,0.0000000000,7086.2220083964,7114.7489544391,67058.4416881411,40297.4030811321,42374.7715300171,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,621.8889229874,2140.5789609121,42437.9820420442,32,36925.7680422538,7224.7337011142,1202.4245245949,10800.0000000000,2832.6880042000
2025-03-28,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.4721664000,1,0.0000000000,7114.7489544391,7192.8243610004,31410.9995608806,12589.5069092300,13422.4954344798,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,258.5215643664,724.8273775754,13314.3342868054,16,33575.5028318032,5847.5797932166,1212.5429375000,10800.0000000000,2832.6880042000
2025-03-29,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.7201566000,1,0.0000000000,7192.8243610004,7013.4440819645,30746.0334367500,12315.6869709433,13111.2423170477,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,326.1202101850,1061.0109182696,13376.6978892129,19,33002.4044562797,5856.2450600510,1214.0441892361,10800.0000000000,2832.6880042000
2025-03-30,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.7295352000,1,0.0000000000,7013.4440819645,7011.2195265587,66082.9139585026,38898.3051259872,41406.8146774339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,487.0189849383,1818.4161101822,40716.7212361695,26,37488.9602442803,7337.9061289695,1200.0000000000,10800.0000000000,2832.6880042000
2025-03-31,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,13.3963037000,1,0.0000000000,7011.2195265587,6993.0134342061,62939.6367362921,37675.7148824532,39626.1304579278,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1250.3571330860,4639.8388920524,42315.5537745056,44,35613.7708629004,7420.8446056963,1200.4582609954,10800.0000000000,2832.6880042000
2025-04-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.5308810000,1,0.0000000000,6993.0134342061,7041.7325573030,66231.7018900501,40543.3628570805,43070.4417707926,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1799.0000621253,5638.1690605099,46181.5319175903,49,35427.6488791907,7533.5578111697,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.4719366000,1,0.0000000000,7041.7325573030,7011.2196431874,65054.0723626351,39075.4289845474,41426.6831522246,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2633.8809010573,10539.4351264474,49614.8641109949,59,37909.8070648425,7088.2951366513,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.8528889000,1,0.0000000000,7011.2196431874,7053.9505189389,66153.7426247095,39572.8220808064,41824.9817093498,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,410.5261868991,1369.8438539509,40942.6659347573,28,41286.7203591670,7298.4557751677,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.3727215000,1,0.0000000000,7053.9505189389,7202.3820749953,30060.1301107995,11977.6592544069,12790.1583851510,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,356.3291507899,1100.8483022567,13078.5075566636,22,30312.5414966914,5953.5784463541,1249.2237440988,10800.0000000000,2832.6880042000
2025-04-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.0647205000,1,0.0000000000,7202.3820749953,6992.3630758611,29729.4796287434,12086.1148076396,12876.9378992041,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,383.9616381861,1073.1351443488,13159.2499519884,30,30612.2337001949,5722.1483614421,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.5315772000,1,0.0000000000,6992.3630758611,7598.5205449222,66259.2556412417,39222.0855382878,41863.4268381382,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,410.6642206736,1668.1617024159,40890.2472407037,26,37136.3269357030,7201.3546378795,1200.9711540799,10800.0000000000,2832.6880042000
2025-04-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.7182363000,1,0.0000000000,7598.5205449222,7010.4457875116,62688.9370314429,37186.7922150240,39204.7400701434,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,441.2094137067,1126.2062032816,38312.9984183056,26,35416.6300561997,7497.1959275882,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,12.4592106000,1,0.0000000000,7010.4457875116,7041.7328799921,64661.5132277200,37986.1378317140,40035.0929759396,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,712.1852475869,3218.3482897678,41204.4861214818,34,37697.1431173148,7132.5898223513,1200.0000000000,10800.0000000000,2832.6880042000
2025-04-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,11.8176753000,1,0.0000000000,7041.7328799921,6986.0233447745,62839.5284518637,37407.0990529283,39693.7284433199,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2879.3638035793,10210.9766397192,47618.0756926476,57,38637.4378911129,6954.4037375105,1231.9838179977,10800.0000000000,2832.6880042000
2025-04-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.4657978000,1,0.0000000000,6986.0233447745,7098.2577749510,64099.6864524308,37630.6422175119,39663.6354904869,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,571.0027369767,2528.9281098520,40159.5703273639,32,39686.6524642979,7067.0991505455,1200.0000000000,10800.0000000000,2832.6880042000
