forecast_id,date,issue_time,target_time,lead_minutes,lead_hours,lead_bin,release_hour,forecast_pv_kw,actual_pv_kw,alignment_status,daylight_flag,yesterday_pv_kw,last_week_pv_kw,same_slot_7d_mean_kw
43,2025-01-01,2025-01-01 06:00:00,2025-01-02 01:00:00,1140,19,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
44,2025-01-01,2025-01-01 06:00:00,2025-01-02 02:00:00,1200,20,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
45,2025-01-01,2025-01-01 06:00:00,2025-01-02 03:00:00,1260,21,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
46,2025-01-01,2025-01-01 06:00:00,2025-01-02 04:00:00,1320,22,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
47,2025-01-01,2025-01-01 06:00:00,2025-01-02 05:00:00,1380,23,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
48,2025-01-01,2025-01-01 06:00:00,2025-01-02 06:00:00,1440,24,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
49,2025-01-01,2025-01-01 12:00:00,2025-01-01 13:00:00,60,1,1-3h,12,5330.4298000000,5261.8125000000,matched,True,,,
50,2025-01-01,2025-01-01 12:00:00,2025-01-01 14:00:00,120,2,1-3h,12,4549.2579000000,4478.6250000000,matched,True,,,
51,2025-01-01,2025-01-01 12:00:00,2025-01-01 15:00:00,180,3,1-3h,12,3365.5312000000,3327.3375000000,matched,True,,,
52,2025-01-01,2025-01-01 12:00:00,2025-01-01 16:00:00,240,4,4-6h,12,1504.2156000000,1525.8000000000,matched,True,,,
53,2025-01-01,2025-01-01 12:00:00,2025-01-01 17:00:00,300,5,4-6h,12,2.8622000000,2.9625000000,matched,True,,,
54,2025-01-01,2025-01-01 12:00:00,2025-01-01 18:00:00,360,6,4-6h,12,0.0000000000,0.0000000000,matched,False,,,
55,2025-01-01,2025-01-01 12:00:00,2025-01-01 19:00:00,420,7,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
56,2025-01-01,2025-01-01 12:00:00,2025-01-01 20:00:00,480,8,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
57,2025-01-01,2025-01-01 12:00:00,2025-01-01 21:00:00,540,9,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
58,2025-01-01,2025-01-01 12:00:00,2025-01-01 22:00:00,600,10,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
59,2025-01-01,2025-01-01 12:00:00,2025-01-01 23:00:00,660,11,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
60,2025-01-01,2025-01-01 12:00:00,2025-01-02 00:00:00,720,12,7-12h,12,0.0000000000,0.0000000000,matched,False,,,
61,2025-01-01,2025-01-01 12:00:00,2025-01-02 01:00:00,780,13,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
62,2025-01-01,2025-01-01 12:00:00,2025-01-02 02:00:00,840,14,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
63,2025-01-01,2025-01-01 12:00:00,2025-01-02 03:00:00,900,15,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
64,2025-01-01,2025-01-01 12:00:00,2025-01-02 04:00:00,960,16,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
65,2025-01-01,2025-01-01 12:00:00,2025-01-02 05:00:00,1020,17,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
66,2025-01-01,2025-01-01 12:00:00,2025-01-02 06:00:00,1080,18,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
67,2025-01-01,2025-01-01 12:00:00,2025-01-02 07:00:00,1140,19,19-24h,12,6.8708000000,6.6375000000,matched,True,3.0750000000,,
68,2025-01-01,2025-01-01 12:00:00,2025-01-02 08:00:00,1200,20,19-24h,12,1827.9739000000,1536.3375000000,matched,True,1592.2875000000,,
69,2025-01-01,2025-01-01 12:00:00,2025-01-02 09:00:00,1260,21,19-24h,12,3207.1033000000,3267.2625000000,matched,True,3350.9625000000,,
70,2025-01-01,2025-01-01 12:00:00,2025-01-02 10:00:00,1320,22,19-24h,12,4565.1144000000,4356.1125000000,matched,True,4836.6375000000,,
71,2025-01-01,2025-01-01 12:00:00,2025-01-02 11:00:00,1380,23,19-24h,12,6040.8000000000,5277.5625000000,matched,True,5372.1000000000,,
72,2025-01-01,2025-01-01 12:00:00,2025-01-02 12:00:00,1440,24,19-24h,12,6339.1125000000,5328.3000000000,matched,True,5331.7125000000,,
73,2025-01-01,2025-01-01 18:00:00,2025-01-01 19:00:00,60,1,1-3h,18,0.0000000000,0.0000000000,matched,False,,,
74,2025-01-01,2025-01-01 18:00:00,2025-01-01 20:00:00,120,2,1-3h,18,0.0000000000,0.0000000000,matched,False,,,
75,2025-01-01,2025-01-01 18:00:00,2025-01-01 21:00:00,180,3,1-3h,18,0.0000000000,0.0000000000,matched,False,,,
76,2025-01-01,2025-01-01 18:00:00,2025-01-01 22:00:00,240,4,4-6h,18,0.0000000000,0.0000000000,matched,False,,,
77,2025-01-01,2025-01-01 18:00:00,2025-01-01 23:00:00,300,5,4-6h,18,0.0000000000,0.0000000000,matched,False,,,
78,2025-01-01,2025-01-01 18:00:00,2025-01-02 00:00:00,360,6,4-6h,18,0.0000000000,0.0000000000,matched,False,,,
79,2025-01-01,2025-01-01 18:00:00,2025-01-02 01:00:00,420,7,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
80,2025-01-01,2025-01-01 18:00:00,2025-01-02 02:00:00,480,8,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
81,2025-01-01,2025-01-01 18:00:00,2025-01-02 03:00:00,540,9,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
82,2025-01-01,2025-01-01 18:00:00,2025-01-02 04:00:00,600,10,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
83,2025-01-01,2025-01-01 18:00:00,2025-01-02 05:00:00,660,11,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
84,2025-01-01,2025-01-01 18:00:00,2025-01-02 06:00:00,720,12,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
85,2025-01-01,2025-01-01 18:00:00,2025-01-02 07:00:00,780,13,13-18h,18,5.5153000000,6.6375000000,matched,True,3.0750000000,,
86,2025-01-01,2025-01-01 18:00:00,2025-01-02 08:00:00,840,14,13-18h,18,1227.5446000000,1536.3375000000,matched,True,1592.2875000000,,
87,2025-01-01,2025-01-01 18:00:00,2025-01-02 09:00:00,900,15,13-18h,18,2350.4812000000,3267.2625000000,matched,True,3350.9625000000,,
88,2025-01-01,2025-01-01 18:00:00,2025-01-02 10:00:00,960,16,13-18h,18,3845.2786000000,4356.1125000000,matched,True,4836.6375000000,,
89,2025-01-01,2025-01-01 18:00:00,2025-01-02 11:00:00,1020,17,13-18h,18,4815.3247000000,5277.5625000000,matched,True,5372.1000000000,,
90,2025-01-01,2025-01-01 18:00:00,2025-01-02 12:00:00,1080,18,13-18h,18,4086.8116000000,5328.3000000000,matched,True,5331.7125000000,,
91,2025-01-01,2025-01-01 18:00:00,2025-01-02 13:00:00,1140,19,19-24h,18,4228.7374000000,5393.2875000000,matched,True,5261.8125000000,,
92,2025-01-01,2025-01-01 18:00:00,2025-01-02 14:00:00,1200,20,19-24h,18,3799.2978000000,4791.4500000000,matched,True,4478.6250000000,,
93,2025-01-01,2025-01-01 18:00:00,2025-01-02 15:00:00,1260,21,19-24h,18,2472.4285000000,3140.1750000000,matched,True,3327.3375000000,,
94,2025-01-01,2025-01-01 18:00:00,2025-01-02 16:00:00,1320,22,19-24h,18,1182.0118000000,1662.6000000000,matched,True,1525.8000000000,,
95,2025-01-01,2025-01-01 18:00:00,2025-01-02 17:00:00,1380,23,19-24h,18,5.0910000000,6.6750000000,matched,True,2.9625000000,,
96,2025-01-01,2025-01-01 18:00:00,2025-01-02 18:00:00,1440,24,19-24h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
97,2025-01-02,2025-01-02 00:00:00,2025-01-02 01:00:00,60,1,1-3h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
98,2025-01-02,2025-01-02 00:00:00,2025-01-02 02:00:00,120,2,1-3h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
99,2025-01-02,2025-01-02 00:00:00,2025-01-02 03:00:00,180,3,1-3h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
100,2025-01-02,2025-01-02 00:00:00,2025-01-02 04:00:00,240,4,4-6h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
101,2025-01-02,2025-01-02 00:00:00,2025-01-02 05:00:00,300,5,4-6h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
102,2025-01-02,2025-01-02 00:00:00,2025-01-02 06:00:00,360,6,4-6h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
103,2025-01-02,2025-01-02 00:00:00,2025-01-02 07:00:00,420,7,7-12h,0,6.3604000000,6.6375000000,matched,True,3.0750000000,,
104,2025-01-02,2025-01-02 00:00:00,2025-01-02 08:00:00,480,8,7-12h,0,1424.7328000000,1536.3375000000,matched,True,1592.2875000000,,
105,2025-01-02,2025-01-02 00:00:00,2025-01-02 09:00:00,540,9,7-12h,0,2844.2052000000,3267.2625000000,matched,True,3350.9625000000,,
106,2025-01-02,2025-01-02 00:00:00,2025-01-02 10:00:00,600,10,7-12h,0,3600.2106000000,4356.1125000000,matched,True,4836.6375000000,,
107,2025-01-02,2025-01-02 00:00:00,2025-01-02 11:00:00,660,11,7-12h,0,4746.2786000000,5277.5625000000,matched,True,5372.1000000000,,
108,2025-01-02,2025-01-02 00:00:00,2025-01-02 12:00:00,720,12,7-12h,0,4915.5050000000,5328.3000000000,matched,True,5331.7125000000,,
109,2025-01-02,2025-01-02 00:00:00,2025-01-02 13:00:00,780,13,13-18h,0,5251.6498000000,5393.2875000000,matched,True,5261.8125000000,,
110,2025-01-02,2025-01-02 00:00:00,2025-01-02 14:00:00,840,14,13-18h,0,4965.3525000000,4791.4500000000,matched,True,4478.6250000000,,
111,2025-01-02,2025-01-02 00:00:00,2025-01-02 15:00:00,900,15,13-18h,0,3588.0375000000,3140.1750000000,matched,True,3327.3375000000,,
112,2025-01-02,2025-01-02 00:00:00,2025-01-02 16:00:00,960,16,13-18h,0,1839.6000000000,1662.6000000000,matched,True,1525.8000000000,,
113,2025-01-02,2025-01-02 00:00:00,2025-01-02 17:00:00,1020,17,13-18h,0,8.0706000000,6.6750000000,matched,True,2.9625000000,,
114,2025-01-02,2025-01-02 00:00:00,2025-01-02 18:00:00,1080,18,13-18h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
115,2025-01-02,2025-01-02 00:00:00,2025-01-02 19:00:00,1140,19,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
116,2025-01-02,2025-01-02 00:00:00,2025-01-02 20:00:00,1200,20,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
117,2025-01-02,2025-01-02 00:00:00,2025-01-02 21:00:00,1260,21,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
118,2025-01-02,2025-01-02 00:00:00,2025-01-02 22:00:00,1320,22,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
119,2025-01-02,2025-01-02 00:00:00,2025-01-02 23:00:00,1380,23,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
120,2025-01-02,2025-01-02 00:00:00,2025-01-03 00:00:00,1440,24,19-24h,0,0.0000000000,0.0000000000,matched,False,0.0000000000,,
121,2025-01-02,2025-01-02 06:00:00,2025-01-02 07:00:00,60,1,1-3h,6,6.5122000000,6.6375000000,matched,True,3.0750000000,,
122,2025-01-02,2025-01-02 06:00:00,2025-01-02 08:00:00,120,2,1-3h,6,1453.1843000000,1536.3375000000,matched,True,1592.2875000000,,
123,2025-01-02,2025-01-02 06:00:00,2025-01-02 09:00:00,180,3,1-3h,6,3099.4257000000,3267.2625000000,matched,True,3350.9625000000,,
124,2025-01-02,2025-01-02 06:00:00,2025-01-02 10:00:00,240,4,4-6h,6,4269.3966000000,4356.1125000000,matched,True,4836.6375000000,,
125,2025-01-02,2025-01-02 06:00:00,2025-01-02 11:00:00,300,5,4-6h,6,5146.0167000000,5277.5625000000,matched,True,5372.1000000000,,
126,2025-01-02,2025-01-02 06:00:00,2025-01-02 12:00:00,360,6,4-6h,6,5556.8490000000,5328.3000000000,matched,True,5331.7125000000,,
127,2025-01-02,2025-01-02 06:00:00,2025-01-02 13:00:00,420,7,7-12h,6,5946.4073000000,5393.2875000000,matched,True,5261.8125000000,,
128,2025-01-02,2025-01-02 06:00:00,2025-01-02 14:00:00,480,8,7-12h,6,5359.9875000000,4791.4500000000,matched,True,4478.6250000000,,
129,2025-01-02,2025-01-02 06:00:00,2025-01-02 15:00:00,540,9,7-12h,6,3342.8554000000,3140.1750000000,matched,True,3327.3375000000,,
130,2025-01-02,2025-01-02 06:00:00,2025-01-02 16:00:00,600,10,7-12h,6,1758.3200000000,1662.6000000000,matched,True,1525.8000000000,,
131,2025-01-02,2025-01-02 06:00:00,2025-01-02 17:00:00,660,11,7-12h,6,6.5192000000,6.6750000000,matched,True,2.9625000000,,
132,2025-01-02,2025-01-02 06:00:00,2025-01-02 18:00:00,720,12,7-12h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
133,2025-01-02,2025-01-02 06:00:00,2025-01-02 19:00:00,780,13,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
134,2025-01-02,2025-01-02 06:00:00,2025-01-02 20:00:00,840,14,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
135,2025-01-02,2025-01-02 06:00:00,2025-01-02 21:00:00,900,15,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
136,2025-01-02,2025-01-02 06:00:00,2025-01-02 22:00:00,960,16,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
137,2025-01-02,2025-01-02 06:00:00,2025-01-02 23:00:00,1020,17,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
138,2025-01-02,2025-01-02 06:00:00,2025-01-03 00:00:00,1080,18,13-18h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
139,2025-01-02,2025-01-02 06:00:00,2025-01-03 01:00:00,1140,19,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
140,2025-01-02,2025-01-02 06:00:00,2025-01-03 02:00:00,1200,20,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
141,2025-01-02,2025-01-02 06:00:00,2025-01-03 03:00:00,1260,21,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
142,2025-01-02,2025-01-02 06:00:00,2025-01-03 04:00:00,1320,22,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
143,2025-01-02,2025-01-02 06:00:00,2025-01-03 05:00:00,1380,23,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
144,2025-01-02,2025-01-02 06:00:00,2025-01-03 06:00:00,1440,24,19-24h,6,0.0000000000,0.0000000000,matched,False,0.0000000000,,
145,2025-01-02,2025-01-02 12:00:00,2025-01-02 13:00:00,60,1,1-3h,12,5392.7373000000,5393.2875000000,matched,True,5261.8125000000,,
146,2025-01-02,2025-01-02 12:00:00,2025-01-02 14:00:00,120,2,1-3h,12,4793.4170000000,4791.4500000000,matched,True,4478.6250000000,,
147,2025-01-02,2025-01-02 12:00:00,2025-01-02 15:00:00,180,3,1-3h,12,3115.7896000000,3140.1750000000,matched,True,3327.3375000000,,
148,2025-01-02,2025-01-02 12:00:00,2025-01-02 16:00:00,240,4,4-6h,12,1653.8059000000,1662.6000000000,matched,True,1525.8000000000,,
149,2025-01-02,2025-01-02 12:00:00,2025-01-02 17:00:00,300,5,4-6h,12,6.4763000000,6.6750000000,matched,True,2.9625000000,,
150,2025-01-02,2025-01-02 12:00:00,2025-01-02 18:00:00,360,6,4-6h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
151,2025-01-02,2025-01-02 12:00:00,2025-01-02 19:00:00,420,7,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
152,2025-01-02,2025-01-02 12:00:00,2025-01-02 20:00:00,480,8,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
153,2025-01-02,2025-01-02 12:00:00,2025-01-02 21:00:00,540,9,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
154,2025-01-02,2025-01-02 12:00:00,2025-01-02 22:00:00,600,10,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
155,2025-01-02,2025-01-02 12:00:00,2025-01-02 23:00:00,660,11,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
156,2025-01-02,2025-01-02 12:00:00,2025-01-03 00:00:00,720,12,7-12h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
157,2025-01-02,2025-01-02 12:00:00,2025-01-03 01:00:00,780,13,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
158,2025-01-02,2025-01-02 12:00:00,2025-01-03 02:00:00,840,14,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
159,2025-01-02,2025-01-02 12:00:00,2025-01-03 03:00:00,900,15,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
160,2025-01-02,2025-01-02 12:00:00,2025-01-03 04:00:00,960,16,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
161,2025-01-02,2025-01-02 12:00:00,2025-01-03 05:00:00,1020,17,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
162,2025-01-02,2025-01-02 12:00:00,2025-01-03 06:00:00,1080,18,13-18h,12,0.0000000000,0.0000000000,matched,False,0.0000000000,,
163,2025-01-02,2025-01-02 12:00:00,2025-01-03 07:00:00,1140,19,19-24h,12,11.4514000000,10.1625000000,matched,True,6.6375000000,,
164,2025-01-02,2025-01-02 12:00:00,2025-01-03 08:00:00,1200,20,19-24h,12,1377.1773000000,1529.2875000000,matched,True,1536.3375000000,,
165,2025-01-02,2025-01-02 12:00:00,2025-01-03 09:00:00,1260,21,19-24h,12,3653.7750000000,3263.2500000000,matched,True,3267.2625000000,,
166,2025-01-02,2025-01-02 12:00:00,2025-01-03 10:00:00,1320,22,19-24h,12,4903.3500000000,4799.2500000000,matched,True,4356.1125000000,,
167,2025-01-02,2025-01-02 12:00:00,2025-01-03 11:00:00,1380,23,19-24h,12,5017.1291000000,5189.7375000000,matched,True,5277.5625000000,,
168,2025-01-02,2025-01-02 12:00:00,2025-01-03 12:00:00,1440,24,19-24h,12,6339.1125000000,6232.0875000000,matched,True,5328.3000000000,,
169,2025-01-02,2025-01-02 18:00:00,2025-01-02 19:00:00,60,1,1-3h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
170,2025-01-02,2025-01-02 18:00:00,2025-01-02 20:00:00,120,2,1-3h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
171,2025-01-02,2025-01-02 18:00:00,2025-01-02 21:00:00,180,3,1-3h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
172,2025-01-02,2025-01-02 18:00:00,2025-01-02 22:00:00,240,4,4-6h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
173,2025-01-02,2025-01-02 18:00:00,2025-01-02 23:00:00,300,5,4-6h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
174,2025-01-02,2025-01-02 18:00:00,2025-01-03 00:00:00,360,6,4-6h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
175,2025-01-02,2025-01-02 18:00:00,2025-01-03 01:00:00,420,7,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
176,2025-01-02,2025-01-02 18:00:00,2025-01-03 02:00:00,480,8,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
177,2025-01-02,2025-01-02 18:00:00,2025-01-03 03:00:00,540,9,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
178,2025-01-02,2025-01-02 18:00:00,2025-01-03 04:00:00,600,10,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
179,2025-01-02,2025-01-02 18:00:00,2025-01-03 05:00:00,660,11,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
180,2025-01-02,2025-01-02 18:00:00,2025-01-03 06:00:00,720,12,7-12h,18,0.0000000000,0.0000000000,matched,False,0.0000000000,,
181,2025-01-02,2025-01-02 18:00:00,2025-01-03 07:00:00,780,13,13-18h,18,9.5321000000,10.1625000000,matched,True,6.6375000000,,
182,2025-01-02,2025-01-02 18:00:00,2025-01-03 08:00:00,840,14,13-18h,18,1513.0067000000,1529.2875000000,matched,True,1536.3375000000,,
183,2025-01-02,2025-01-02 18:00:00,2025-01-03 09:00:00,900,15,13-18h,18,2860.0466000000,3263.2500000000,matched,True,3267.2625000000,,
184,2025-01-02,2025-01-02 18:00:00,2025-01-03 10:00:00,960,16,13-18h,18,3793.6223000000,4799.2500000000,matched,True,4356.1125000000,,
185,2025-01-02,2025-01-02 18:00:00,2025-01-03 11:00:00,1020,17,13-18h,18,4445.8828000000,5189.7375000000,matched,True,5277.5625000000,,
186,2025-01-02,2025-01-02 18:00:00,2025-01-03 12:00:00,1080,18,13-18h,18,4246.4353000000,6232.0875000000,matched,True,5328.3000000000,,
187,2025-01-02,2025-01-02 18:00:00,2025-01-03 13:00:00,1140,19,19-24h,18,4365.3181000000,5384.3625000000,matched,True,5393.2875000000,,
