operating_date,slot,interval_start,interval_end,price_yuan_per_kwh,load_kw,pv_actual_kw,net_load_kw,month,weekday,hour,minute
2025-01-01,28,2025-01-01 04:30:00,2025-01-01 04:40:00,0.5042000000,4217.2222000000,0.0000000000,4217.2222000000,1,2,4,30
2025-01-01,29,2025-01-01 04:40:00,2025-01-01 04:50:00,0.5178000000,4261.8570000000,0.0000000000,4261.8570000000,1,2,4,40
2025-01-01,30,2025-01-01 04:50:00,2025-01-01 05:00:00,0.5042000000,4341.9000000000,0.0000000000,4341.9000000000,1,2,4,50
2025-01-01,31,2025-01-01 05:00:00,2025-01-01 05:10:00,0.4639000000,4208.2208000000,0.0021000000,4208.2187000000,1,2,5,0
2025-01-01,32,2025-01-01 05:10:00,2025-01-01 05:20:00,0.4899000000,4302.1233000000,0.0000000000,4302.1233000000,1,2,5,10
2025-01-01,33,2025-01-01 05:20:00,2025-01-01 05:30:00,0.5194000000,4456.5900000000,0.0000000000,4456.5900000000,1,2,5,20
2025-01-01,34,2025-01-01 05:30:00,2025-01-01 05:40:00,0.4459000000,4148.6370000000,0.0299000000,4148.6071000000,1,2,5,30
2025-01-01,35,2025-01-01 05:40:00,2025-01-01 05:50:00,0.6726000000,4498.1333000000,0.0000000000,4498.1333000000,1,2,5,40
2025-01-01,36,2025-01-01 05:50:00,2025-01-01 06:00:00,1.0693000000,5369.3800000000,0.0000000000,5369.3800000000,1,2,5,50
2025-01-01,37,2025-01-01 06:00:00,2025-01-01 06:10:00,1.0696000000,5440.8991000000,0.4169000000,5440.4822000000,1,2,6,0
2025-01-01,38,2025-01-01 06:10:00,2025-01-01 06:20:00,0.9974000000,5316.8930000000,0.0000000000,5316.8930000000,1,2,6,10
2025-01-01,39,2025-01-01 06:20:00,2025-01-01 06:30:00,1.0451000000,5399.8200000000,0.0000000000,5399.8200000000,1,2,6,20
2025-01-01,40,2025-01-01 06:30:00,2025-01-01 06:40:00,1.0684000000,5447.4007000000,5.8062000000,5441.5945000000,1,2,6,30
2025-01-01,41,2025-01-01 06:40:00,2025-01-01 06:50:00,1.0267000000,5444.4010000000,0.0000000000,5444.4010000000,1,2,6,40
2025-01-01,42,2025-01-01 06:50:00,2025-01-01 07:00:00,0.9814000000,5433.6300000000,3.0750000000,5430.5550000000,1,2,6,50
2025-01-01,43,2025-01-01 07:00:00,2025-01-01 07:10:00,1.0187000000,5449.2818000000,175.7953000000,5273.4865000000,1,2,7,0
2025-01-01,44,2025-01-01 07:10:00,2025-01-01 07:20:00,1.0362000000,5510.0042000000,421.4960000000,5088.5082000000,1,2,7,10
2025-01-01,45,2025-01-01 07:20:00,2025-01-01 07:30:00,0.9670000000,5476.0000000000,677.1000000000,4798.9000000000,1,2,7,20
2025-01-01,46,2025-01-01 07:30:00,2025-01-01 07:40:00,0.8930000000,5329.4215000000,950.8112000000,4378.6103000000,1,2,7,30
2025-01-01,47,2025-01-01 07:40:00,2025-01-01 07:50:00,1.1360000000,6084.1163000000,1255.5705000000,4828.5458000000,1,2,7,40
2025-01-01,48,2025-01-01 07:50:00,2025-01-01 08:00:00,1.5209000000,7316.0000000000,1592.2875000000,5723.7125000000,1,2,7,50
2025-01-01,49,2025-01-01 08:00:00,2025-01-01 08:10:00,1.5206000000,7469.4947000000,1937.5212000000,5531.9735000000,1,2,8,0
2025-01-01,50,2025-01-01 08:10:00,2025-01-01 08:20:00,1.4132000000,7225.6910000000,2225.1261000000,5000.5649000000,1,2,8,10
2025-01-01,51,2025-01-01 08:20:00,2025-01-01 08:30:00,1.3895000000,7216.1300000000,2490.1125000000,4726.0175000000,1,2,8,20
2025-01-01,52,2025-01-01 08:30:00,2025-01-01 08:40:00,1.3610000000,7361.7004000000,2826.3146000000,4535.3858000000,1,2,8,30
2025-01-01,53,2025-01-01 08:40:00,2025-01-01 08:50:00,1.3028000000,7275.5130000000,3122.1315000000,4153.3815000000,1,2,8,40
2025-01-01,54,2025-01-01 08:50:00,2025-01-01 09:00:00,1.2562000000,7077.2900000000,3350.9625000000,3726.3275000000,1,2,8,50
2025-01-01,55,2025-01-01 09:00:00,2025-01-01 09:10:00,1.2749000000,7221.8762000000,3601.7977000000,3620.0785000000,1,2,9,0
2025-01-01,56,2025-01-01 09:10:00,2025-01-01 09:20:00,1.2735000000,7229.5513000000,3875.6352000000,3353.9161000000,1,2,9,10
2025-01-01,57,2025-01-01 09:20:00,2025-01-01 09:30:00,1.2135000000,7099.3300000000,4149.8250000000,2949.5050000000,1,2,9,20
2025-01-01,58,2025-01-01 09:30:00,2025-01-01 09:40:00,1.1586000000,7297.1521000000,4403.4802000000,2893.6719000000,1,2,9,30
2025-01-01,59,2025-01-01 09:40:00,2025-01-01 09:50:00,1.2464000000,7313.1756000000,4624.7505000000,2688.4251000000,1,2,9,40
2025-01-01,60,2025-01-01 09:50:00,2025-01-01 10:00:00,1.3947000000,7099.4600000000,4836.6375000000,2262.8225000000,1,2,9,50
2025-01-01,61,2025-01-01 10:00:00,2025-01-01 10:10:00,1.3761000000,7125.5214000000,5080.7024000000,2044.8190000000,1,2,10,0
2025-01-01,62,2025-01-01 10:10:00,2025-01-01 10:20:00,1.3294000000,7096.3104000000,5338.7528000000,1757.5576000000,1,2,10,10
2025-01-01,63,2025-01-01 10:20:00,2025-01-01 10:30:00,1.3646000000,6986.1700000000,5494.7250000000,1491.4450000000,1,2,10,20
2025-01-01,64,2025-01-01 10:30:00,2025-01-01 10:40:00,1.4099000000,7098.9702000000,5437.9778000000,1660.9924000000,1,2,10,30
2025-01-01,65,2025-01-01 10:40:00,2025-01-01 10:50:00,1.1773000000,7193.9930000000,5396.2126000000,1797.7804000000,1,2,10,40
2025-01-01,66,2025-01-01 10:50:00,2025-01-01 11:00:00,0.8060000000,7135.1800000000,5372.1000000000,1763.0800000000,1,2,10,50
2025-01-01,67,2025-01-01 11:00:00,2025-01-01 11:10:00,0.7483000000,7042.9470000000,5182.9722000000,1859.9748000000,1,2,11,0
2025-01-01,68,2025-01-01 11:10:00,2025-01-01 11:20:00,0.7981000000,7069.1675000000,5131.5011000000,1937.6664000000,1,2,11,10
2025-01-01,69,2025-01-01 11:20:00,2025-01-01 11:30:00,0.7929000000,7129.1700000000,5294.7750000000,1834.3950000000,1,2,11,20
2025-01-01,70,2025-01-01 11:30:00,2025-01-01 11:40:00,0.7713000000,6971.0393000000,5434.7444000000,1536.2949000000,1,2,11,30
2025-01-01,71,2025-01-01 11:40:00,2025-01-01 11:50:00,0.7260000000,6648.4937000000,5455.5011000000,1192.9926000000,1,2,11,40
2025-01-01,72,2025-01-01 11:50:00,2025-01-01 12:00:00,0.7133000000,6471.2900000000,5331.7125000000,1139.5775000000,1,2,11,50
2025-01-01,73,2025-01-01 12:00:00,2025-01-01 12:10:00,0.8026000000,6681.1855000000,5126.6533000000,1554.5322000000,1,2,12,0
2025-01-01,74,2025-01-01 12:10:00,2025-01-01 12:20:00,0.8183000000,6585.2714000000,5118.4895000000,1466.7819000000,1,2,12,10
2025-01-01,75,2025-01-01 12:20:00,2025-01-01 12:30:00,0.7305000000,6283.9700000000,5302.5750000000,981.3950000000,1,2,12,20
2025-01-01,76,2025-01-01 12:30:00,2025-01-01 12:40:00,0.7120000000,6547.9322000000,5399.7996000000,1148.1326000000,1,2,12,30
2025-01-01,77,2025-01-01 12:40:00,2025-01-01 12:50:00,0.9030000000,6747.6789000000,5377.6488000000,1370.0301000000,1,2,12,40
2025-01-01,78,2025-01-01 12:50:00,2025-01-01 13:00:00,1.1525000000,6682.3600000000,5261.8125000000,1420.5475000000,1,2,12,50
2025-01-01,79,2025-01-01 13:00:00,2025-01-01 13:10:00,1.1607000000,6790.9628000000,5097.6164000000,1693.3464000000,1,2,13,0
2025-01-01,80,2025-01-01 13:10:00,2025-01-01 13:20:00,1.1437000000,6916.0165000000,5029.4534000000,1886.5631000000,1,2,13,10
2025-01-01,81,2025-01-01 13:20:00,2025-01-01 13:30:00,1.1537000000,6834.7800000000,5043.8625000000,1790.9175000000,1,2,13,20
2025-01-01,82,2025-01-01 13:30:00,2025-01-01 13:40:00,1.0571000000,6546.5252000000,4973.5844000000,1572.9408000000,1,2,13,30
2025-01-01,83,2025-01-01 13:40:00,2025-01-01 13:50:00,1.1423000000,6539.8730000000,4769.7524000000,1770.1206000000,1,2,13,40
2025-01-01,84,2025-01-01 13:50:00,2025-01-01 14:00:00,1.3627000000,6773.9700000000,4478.6250000000,2295.3450000000,1,2,13,50
2025-01-01,85,2025-01-01 14:00:00,2025-01-01 14:10:00,1.3630000000,6736.8117000000,4209.3909000000,2527.4208000000,1,2,14,0
2025-01-01,86,2025-01-01 14:10:00,2025-01-01 14:20:00,1.3215000000,6623.3813000000,4060.4316000000,2562.9497000000,1,2,14,10
2025-01-01,87,2025-01-01 14:20:00,2025-01-01 14:30:00,1.3884000000,6548.9800000000,3934.4250000000,2614.5550000000,1,2,14,20
2025-01-01,88,2025-01-01 14:30:00,2025-01-01 14:40:00,1.4736000000,6398.5627000000,3648.1229000000,2750.4398000000,1,2,14,30
2025-01-01,89,2025-01-01 14:40:00,2025-01-01 14:50:00,1.2203000000,6196.5854000000,3431.0164000000,2765.5690000000,1,2,14,40
2025-01-01,90,2025-01-01 14:50:00,2025-01-01 15:00:00,0.8295000000,6154.6900000000,3327.3375000000,2827.3525000000,1,2,14,50
2025-01-01,91,2025-01-01 15:00:00,2025-01-01 15:10:00,0.8782000000,6459.5818000000,3139.1175000000,3320.4643000000,1,2,15,0
2025-01-01,92,2025-01-01 15:10:00,2025-01-01 15:20:00,0.9740000000,6622.8857000000,2860.4253000000,3762.4604000000,1,2,15,10
2025-01-01,93,2025-01-01 15:20:00,2025-01-01 15:30:00,0.9257000000,6493.6100000000,2505.0000000000,3988.6100000000,1,2,15,20
2025-01-01,94,2025-01-01 15:30:00,2025-01-01 15:40:00,0.9368000000,6375.0516000000,2089.6950000000,4285.3566000000,1,2,15,30
2025-01-01,95,2025-01-01 15:40:00,2025-01-01 15:50:00,0.9885000000,6354.1130000000,1762.1562000000,4591.9568000000,1,2,15,40
2025-01-01,96,2025-01-01 15:50:00,2025-01-01 16:00:00,1.0236000000,6404.2500000000,1525.8000000000,4878.4500000000,1,2,15,50
2025-01-01,97,2025-01-01 16:00:00,2025-01-01 16:10:00,1.0256000000,6444.9720000000,1249.2025000000,5195.7695000000,1,2,16,0
2025-01-01,98,2025-01-01 16:10:00,2025-01-01 16:20:00,1.0518000000,6399.4586000000,968.2219000000,5431.2367000000,1,2,16,10
2025-01-01,99,2025-01-01 16:20:00,2025-01-01 16:30:00,1.0918000000,6292.1500000000,706.6125000000,5585.5375000000,1,2,16,20
2025-01-01,100,2025-01-01 16:30:00,2025-01-01 16:40:00,1.0866000000,6236.9153000000,440.4383000000,5796.4770000000,1,2,16,30
2025-01-01,101,2025-01-01 16:40:00,2025-01-01 16:50:00,1.1196000000,6299.9437000000,180.8850000000,6119.0587000000,1,2,16,40
2025-01-01,102,2025-01-01 16:50:00,2025-01-01 17:00:00,1.1821000000,6389.0600000000,2.9625000000,6386.0975000000,1,2,16,50
2025-01-01,103,2025-01-01 17:00:00,2025-01-01 17:10:00,1.1719000000,6325.1833000000,0.0000000000,6325.1833000000,1,2,17,0
2025-01-01,104,2025-01-01 17:10:00,2025-01-01 17:20:00,1.1271000000,6169.4734000000,5.9578000000,6163.5156000000,1,2,17,10
2025-01-01,105,2025-01-01 17:20:00,2025-01-01 17:30:00,1.1001000000,6191.9900000000,0.0000000000,6191.9900000000,1,2,17,20
2025-01-01,106,2025-01-01 17:30:00,2025-01-01 17:40:00,1.1206000000,6464.5067000000,0.0000000000,6464.5067000000,1,2,17,30
2025-01-01,107,2025-01-01 17:40:00,2025-01-01 17:50:00,1.2125000000,5764.0309000000,0.4277000000,5763.6032000000,1,2,17,40
2025-01-01,108,2025-01-01 17:50:00,2025-01-01 18:00:00,1.3246000000,4529.4500000000,0.0000000000,4529.4500000000,1,2,17,50
2025-01-01,109,2025-01-01 18:00:00,2025-01-01 18:10:00,1.3543000000,4490.5328000000,0.0000000000,4490.5328000000,1,2,18,0
2025-01-01,110,2025-01-01 18:10:00,2025-01-01 18:20:00,1.2951000000,4644.0206000000,0.0307000000,4643.9899000000,1,2,18,10
2025-01-01,111,2025-01-01 18:20:00,2025-01-01 18:30:00,1.2214000000,4469.2100000000,0.0000000000,4469.2100000000,1,2,18,20
2025-01-01,112,2025-01-01 18:30:00,2025-01-01 18:40:00,1.2363000000,4470.4650000000,0.0000000000,4470.4650000000,1,2,18,30
2025-01-01,113,2025-01-01 18:40:00,2025-01-01 18:50:00,1.3339000000,4510.8756000000,0.0022000000,4510.8734000000,1,2,18,40
2025-01-01,114,2025-01-01 18:50:00,2025-01-01 19:00:00,1.4613000000,4486.1700000000,0.0000000000,4486.1700000000,1,2,18,50
2025-01-01,115,2025-01-01 19:00:00,2025-01-01 19:10:00,1.5521000000,4471.7293000000,0.0000000000,4471.7293000000,1,2,19,0
2025-01-01,116,2025-01-01 19:10:00,2025-01-01 19:20:00,1.5622000000,4439.8235000000,0.0000000000,4439.8235000000,1,2,19,10
2025-01-01,117,2025-01-01 19:20:00,2025-01-01 19:30:00,1.5218000000,4387.1900000000,0.0000000000,4387.1900000000,1,2,19,20
2025-01-01,118,2025-01-01 19:30:00,2025-01-01 19:40:00,1.5047000000,4347.9765000000,0.0000000000,4347.9765000000,1,2,19,30
2025-01-01,119,2025-01-01 19:40:00,2025-01-01 19:50:00,1.4843000000,4300.6345000000,0.0000000000,4300.6345000000,1,2,19,40
2025-01-01,120,2025-01-01 19:50:00,2025-01-01 20:00:00,1.4695000000,4315.9900000000,0.0000000000,4315.9900000000,1,2,19,50
2025-01-01,121,2025-01-01 20:00:00,2025-01-01 20:10:00,1.4993000000,4483.2744000000,0.0000000000,4483.2744000000,1,2,20,0
2025-01-01,122,2025-01-01 20:10:00,2025-01-01 20:20:00,1.4946000000,4551.7060000000,0.0000000000,4551.7060000000,1,2,20,10
2025-01-01,123,2025-01-01 20:20:00,2025-01-01 20:30:00,1.5029000000,4499.8000000000,0.0000000000,4499.8000000000,1,2,20,20
2025-01-01,124,2025-01-01 20:30:00,2025-01-01 20:40:00,1.5993000000,4535.0935000000,0.0000000000,4535.0935000000,1,2,20,30
2025-01-01,125,2025-01-01 20:40:00,2025-01-01 20:50:00,1.3716000000,4528.9160000000,0.0000000000,4528.9160000000,1,2,20,40
2025-01-01,126,2025-01-01 20:50:00,2025-01-01 21:00:00,0.9601000000,4483.5100000000,0.0000000000,4483.5100000000,1,2,20,50
2025-01-01,127,2025-01-01 21:00:00,2025-01-01 21:10:00,0.9485000000,4548.2302000000,0.0000000000,4548.2302000000,1,2,21,0
2025-01-01,128,2025-01-01 21:10:00,2025-01-01 21:20:00,1.0064000000,4595.6841000000,0.0000000000,4595.6841000000,1,2,21,10
2025-01-01,129,2025-01-01 21:20:00,2025-01-01 21:30:00,0.9622000000,4620.9000000000,0.0000000000,4620.9000000000,1,2,21,20
2025-01-01,130,2025-01-01 21:30:00,2025-01-01 21:40:00,0.9470000000,4653.7148000000,0.0000000000,4653.7148000000,1,2,21,30
2025-01-01,131,2025-01-01 21:40:00,2025-01-01 21:50:00,0.7428000000,4131.9845000000,0.0000000000,4131.9845000000,1,2,21,40
2025-01-01,132,2025-01-01 21:50:00,2025-01-01 22:00:00,0.4482000000,3363.0000000000,0.0000000000,3363.0000000000,1,2,21,50
2025-01-01,133,2025-01-01 22:00:00,2025-01-01 22:10:00,0.4243000000,3305.7588000000,0.0000000000,3305.7588000000,1,2,22,0
2025-01-01,134,2025-01-01 22:10:00,2025-01-01 22:20:00,0.4595000000,3470.9320000000,0.0000000000,3470.9320000000,1,2,22,10
2025-01-01,135,2025-01-01 22:20:00,2025-01-01 22:30:00,0.4384000000,3521.3700000000,0.0000000000,3521.3700000000,1,2,22,20
2025-01-01,136,2025-01-01 22:30:00,2025-01-01 22:40:00,0.4506000000,3561.5279000000,0.0000000000,3561.5279000000,1,2,22,30
2025-01-01,137,2025-01-01 22:40:00,2025-01-01 22:50:00,0.4362000000,3386.0680000000,0.0000000000,3386.0680000000,1,2,22,40
2025-01-01,138,2025-01-01 22:50:00,2025-01-01 23:00:00,0.4111000000,3289.9900000000,0.0000000000,3289.9900000000,1,2,22,50
2025-01-01,139,2025-01-01 23:00:00,2025-01-01 23:10:00,0.4590000000,3774.2552000000,0.0000000000,3774.2552000000,1,2,23,0
2025-01-01,140,2025-01-01 23:10:00,2025-01-01 23:20:00,0.4759000000,3883.6200000000,0.0000000000,3883.6200000000,1,2,23,10
2025-01-01,141,2025-01-01 23:20:00,2025-01-01 23:30:00,0.4314000000,3525.1400000000,0.0000000000,3525.1400000000,1,2,23,20
2025-01-01,142,2025-01-01 23:30:00,2025-01-01 23:40:00,0.4038000000,3553.5909000000,0.0000000000,3553.5909000000,1,2,23,30
2025-01-01,143,2025-01-01 23:40:00,2025-01-01 23:50:00,0.4179000000,3697.1141000000,0.0000000000,3697.1141000000,1,2,23,40
2025-01-01,144,2025-01-01 23:50:00,2025-01-02 00:00:00,0.4284000000,3696.7000000000,0.0000000000,3696.7000000000,1,2,23,50
2025-01-02,1,2025-01-02 00:00:00,2025-01-02 00:10:00,0.3809000000,3622.5509000000,0.0000000000,3622.5509000000,1,3,0,0
2025-01-02,2,2025-01-02 00:10:00,2025-01-02 00:20:00,0.3964000000,3622.7611000000,0.0000000000,3622.7611000000,1,3,0,10
2025-01-02,3,2025-01-02 00:20:00,2025-01-02 00:30:00,0.4654000000,3708.2300000000,0.0000000000,3708.2300000000,1,3,0,20
2025-01-02,4,2025-01-02 00:30:00,2025-01-02 00:40:00,0.4542000000,3750.5226000000,0.0000000000,3750.5226000000,1,3,0,30
2025-01-02,5,2025-01-02 00:40:00,2025-01-02 00:50:00,0.4299000000,3684.9038000000,0.0000000000,3684.9038000000,1,3,0,40
2025-01-02,6,2025-01-02 00:50:00,2025-01-02 01:00:00,0.4477000000,3644.1400000000,0.0000000000,3644.1400000000,1,3,0,50
2025-01-02,7,2025-01-02 01:00:00,2025-01-02 01:10:00,0.4859000000,3809.2980000000,0.0000000000,3809.2980000000,1,3,1,0
2025-01-02,8,2025-01-02 01:10:00,2025-01-02 01:20:00,0.4752000000,3855.1226000000,0.0000000000,3855.1226000000,1,3,1,10
2025-01-02,9,2025-01-02 01:20:00,2025-01-02 01:30:00,0.4348000000,3783.7800000000,0.0000000000,3783.7800000000,1,3,1,20
2025-01-02,10,2025-01-02 01:30:00,2025-01-02 01:40:00,0.4513000000,3907.3849000000,0.0000000000,3907.3849000000,1,3,1,30
2025-01-02,11,2025-01-02 01:40:00,2025-01-02 01:50:00,0.4853000000,3968.2398000000,0.0000000000,3968.2398000000,1,3,1,40
2025-01-02,12,2025-01-02 01:50:00,2025-01-02 02:00:00,0.4864000000,3886.7700000000,0.0000000000,3886.7700000000,1,3,1,50
2025-01-02,13,2025-01-02 02:00:00,2025-01-02 02:10:00,0.4444000000,3865.3901000000,0.0000000000,3865.3901000000,1,3,2,0
2025-01-02,14,2025-01-02 02:10:00,2025-01-02 02:20:00,0.4217000000,3931.6861000000,0.0000000000,3931.6861000000,1,3,2,10
2025-01-02,15,2025-01-02 02:20:00,2025-01-02 02:30:00,0.4443000000,4055.9800000000,0.0000000000,4055.9800000000,1,3,2,20
2025-01-02,16,2025-01-02 02:30:00,2025-01-02 02:40:00,0.4757000000,4164.9820000000,0.0000000000,4164.9820000000,1,3,2,30
2025-01-02,17,2025-01-02 02:40:00,2025-01-02 02:50:00,0.4517000000,4067.4326000000,0.0000000000,4067.4326000000,1,3,2,40
2025-01-02,18,2025-01-02 02:50:00,2025-01-02 03:00:00,0.4249000000,3919.4400000000,0.0000000000,3919.4400000000,1,3,2,50
2025-01-02,19,2025-01-02 03:00:00,2025-01-02 03:10:00,0.5053000000,4068.3230000000,0.0000000000,4068.3230000000,1,3,3,0
2025-01-02,20,2025-01-02 03:10:00,2025-01-02 03:20:00,0.5471000000,4140.4792000000,0.0000000000,4140.4792000000,1,3,3,10
2025-01-02,21,2025-01-02 03:20:00,2025-01-02 03:30:00,0.5103000000,4061.1200000000,0.0000000000,4061.1200000000,1,3,3,20
2025-01-02,22,2025-01-02 03:30:00,2025-01-02 03:40:00,0.5009000000,4138.7041000000,0.0000000000,4138.7041000000,1,3,3,30
2025-01-02,23,2025-01-02 03:40:00,2025-01-02 03:50:00,0.5244000000,4283.3011000000,0.0000000000,4283.3011000000,1,3,3,40
2025-01-02,24,2025-01-02 03:50:00,2025-01-02 04:00:00,0.5480000000,4330.9800000000,0.0000000000,4330.9800000000,1,3,3,50
2025-01-02,25,2025-01-02 04:00:00,2025-01-02 04:10:00,0.5374000000,4225.1585000000,0.0000000000,4225.1585000000,1,3,4,0
2025-01-02,26,2025-01-02 04:10:00,2025-01-02 04:20:00,0.4983000000,4201.9890000000,0.0000000000,4201.9890000000,1,3,4,10
2025-01-02,27,2025-01-02 04:20:00,2025-01-02 04:30:00,0.4835000000,4273.9000000000,0.0000000000,4273.9000000000,1,3,4,20
2025-01-02,28,2025-01-02 04:30:00,2025-01-02 04:40:00,0.5390000000,4219.0352000000,0.0000000000,4219.0352000000,1,3,4,30
2025-01-02,29,2025-01-02 04:40:00,2025-01-02 04:50:00,0.5404000000,4069.3885000000,0.0000000000,4069.3885000000,1,3,4,40
2025-01-02,30,2025-01-02 04:50:00,2025-01-02 05:00:00,0.4883000000,4030.9500000000,0.0000000000,4030.9500000000,1,3,4,50
2025-01-02,31,2025-01-02 05:00:00,2025-01-02 05:10:00,0.5077000000,4262.9553000000,0.0022000000,4262.9531000000,1,3,5,0
2025-01-02,32,2025-01-02 05:10:00,2025-01-02 05:20:00,0.5513000000,4330.5086000000,0.0000000000,4330.5086000000,1,3,5,10
2025-01-02,33,2025-01-02 05:20:00,2025-01-02 05:30:00,0.5280000000,4149.1300000000,0.0000000000,4149.1300000000,1,3,5,20
2025-01-02,34,2025-01-02 05:30:00,2025-01-02 05:40:00,0.4409000000,4130.3346000000,0.0307000000,4130.3039000000,1,3,5,30
2025-01-02,35,2025-01-02 05:40:00,2025-01-02 05:50:00,0.6417000000,4641.7286000000,0.0000000000,4641.7286000000,1,3,5,40
2025-01-02,36,2025-01-02 05:50:00,2025-01-02 06:00:00,1.0168000000,5411.5900000000,0.0000000000,5411.5900000000,1,3,5,50
2025-01-02,37,2025-01-02 06:00:00,2025-01-02 06:10:00,1.0773000000,5738.8011000000,0.4279000000,5738.3732000000,1,3,6,0
2025-01-02,38,2025-01-02 06:10:00,2025-01-02 06:20:00,1.0353000000,5695.3891000000,0.0000000000,5695.3891000000,1,3,6,10
2025-01-02,39,2025-01-02 06:20:00,2025-01-02 06:30:00,1.0552000000,5537.6600000000,0.0000000000,5537.6600000000,1,3,6,20
2025-01-02,40,2025-01-02 06:30:00,2025-01-02 06:40:00,1.0765000000,5461.5746000000,5.9596000000,5455.6150000000,1,3,6,30
2025-01-02,41,2025-01-02 06:40:00,2025-01-02 06:50:00,1.0611000000,5483.6005000000,0.0000000000,5483.6005000000,1,3,6,40
2025-01-02,42,2025-01-02 06:50:00,2025-01-02 07:00:00,1.0284000000,5540.8800000000,6.6375000000,5534.2425000000,1,3,6,50
2025-01-02,43,2025-01-02 07:00:00,2025-01-02 07:10:00,1.0303000000,5575.3367000000,192.5583000000,5382.7784000000,1,3,7,0
2025-01-02,44,2025-01-02 07:10:00,2025-01-02 07:20:00,1.0451000000,5669.9633000000,445.6222000000,5224.3411000000,1,3,7,10
2025-01-02,45,2025-01-02 07:20:00,2025-01-02 07:30:00,0.9954000000,5566.6600000000,701.3625000000,4865.2975000000,1,3,7,20
