slot,interval_start,interval_end,price_yuan_per_kwh,load_kw,pv_forecast_kw,grid_purchase_kw,charge_kw,discharge_kw,spill_kw,storage_start_kwh,storage_end_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,spill_kwh,case_id
24,03:50,04:00,0.4378,3560.207,0,3560.207,0,0,0,10133.333,10133.333,593.3678333,0,0,0,efficiency_0.8
25,04:00,04:10,0.4401,3561.9581,0,3561.9581,0,0,0,10133.333,10133.333,593.6596833,0,0,0,efficiency_0.8
26,04:10,04:20,0.4389,3556.7183,0,3556.7183,0,0,0,10133.333,10133.333,592.7863833,0,0,0,efficiency_0.8
27,04:20,04:30,0.4364,3560.0272,0,3560.0272,0,0,0,10133.333,10133.333,593.3378667,0,0,0,efficiency_0.8
28,04:30,04:40,0.4393,3580.654,0.5994,3580.0546,0,0,0,10133.333,10133.333,596.6757667,0,0,0,efficiency_0.8
29,04:40,04:50,0.4422,3586.916,0.2345,3586.6815,0,0,0,10133.333,10133.333,597.78025,0,0,0,efficiency_0.8
30,04:50,05:00,0.4395,3571.2635,0.2885,3570.975,0,0,0,10133.333,10133.333,595.1625,0,0,0,efficiency_0.8
31,05:00,05:10,0.4333,3562.3171,18.6781,3543.639,0,0,0,10133.333,10133.333,590.6065,0,0,0,efficiency_0.8
32,05:10,05:20,0.4439,3591.3809,54.4698,3536.9111,0,0,0,10133.333,10133.333,589.4851833,0,0,0,efficiency_0.8
33,05:20,05:30,0.4301,3579.7045,108.9718,3470.7327,0,0,0,10133.333,10133.333,578.45545,0,0,0,efficiency_0.8
34,05:30,05:40,0.3713,3486.119,184.1603,8301.9587,5000,0,0,10133.333,10800,1383.659783,833.3333333,0,0,efficiency_0.8
35,05:40,05:50,0.5708,3823.8994,277.0582,3546.8412,0,0,0,10800,10800,591.1402,0,0,0,efficiency_0.8
36,05:50,06:00,0.9099,4398.0727,388.5494,0,0,4009.5233,0,10800,9964.6826,0,0,668.2538833,0,efficiency_0.8
37,06:00,06:10,0.9368,4454.0123,521.2803,0,0,3932.732,0,9964.6826,9145.3635,0,0,655.4553333,0,efficiency_0.8
38,06:10,06:20,0.8758,4371.7919,672.7677,0,0,3699.0242,0,9145.3635,8374.7334,0,0,616.5040333,0,efficiency_0.8
39,06:20,06:30,0.8759,4392.953,844.2261,0,0,3548.7269,0,8374.7334,7635.4153,0,0,591.4544833,0,efficiency_0.8
40,06:30,06:40,0.8601,4384.5956,1039.6744,0,0,3344.9212,0,7635.4153,6938.5568,0,0,557.4868667,0,efficiency_0.8
41,06:40,06:50,0.8442,4434.7757,1259.3375,0,0,3175.4382,0,6938.5568,6277.0071,0,0,529.2397,0,efficiency_0.8
42,06:50,07:00,0.8334,4523.4561,1508.6318,0,0,3014.8243,0,6277.0071,5648.9187,0,0,502.4707167,0,efficiency_0.8
43,07:00,07:10,0.8092,4524.0721,1791.4107,0,0,2732.6614,0,5648.9187,5079.6143,0,0,455.4435667,0,efficiency_0.8
44,07:10,07:20,0.7972,4545.8867,2085.4865,0,0,2460.4002,0,5079.6143,4567.0309,0,0,410.0667,0,efficiency_0.8
45,07:20,07:30,0.7644,4523.2418,2381.2611,2141.9807,0,0,0,4567.0309,4567.0309,356.9967833,0,0,0,efficiency_0.8
46,07:30,07:40,0.6899,4383.3566,2683.1752,1700.1814,0,0,0,4567.0309,4567.0309,283.3635667,0,0,0,efficiency_0.8
47,07:40,07:50,0.86,4910.4599,2986.3552,0,0,1924.1047,0,4567.0309,4166.1758,0,0,320.6841167,0,efficiency_0.8
48,07:50,08:00,1.1617,5799.7327,3289.204,0,0,2510.5287,0,4166.1758,3643.1489,0,0,418.42145,0,efficiency_0.8
49,08:00,08:10,1.1683,5884.826,3593.3613,0,0,2291.4647,0,3643.1489,3165.7605,0,0,381.9107833,0,efficiency_0.8
50,08:10,08:20,1.0956,5748.0713,3890.7332,0,0,1857.3381,0,3165.7605,2778.815,0,0,309.55635,0,efficiency_0.8
51,08:20,08:30,1.0849,5769.0581,4181.3417,0,0,1587.7164,0,2778.815,2448.0408,0,0,264.6194,0,efficiency_0.8
52,08:30,08:40,1.061,5754.2105,4471.7657,0,0,1282.4448,0,2448.0408,2180.8648,0,0,213.7408,0,efficiency_0.8
53,08:40,08:50,1.043,5824.1807,4752.8272,0,0,1071.3535,0,2180.8648,1957.6661,0,0,178.5589167,0,efficiency_0.8
54,08:50,09:00,1.036,5954.2601,5021.9074,0,0,932.3527,0,1957.6661,1763.426,0,0,155.3921167,0,efficiency_0.8
55,09:00,09:10,1.0147,5958.9696,5285.4126,0,0,673.557,0,1763.426,1623.1016,0,0,112.2595,0,efficiency_0.8
56,09:10,09:20,0.9922,5929.5554,5543.1742,0,0,386.3812,0,1623.1016,1542.6055,0,0,64.39686667,0,efficiency_0.8
57,09:20,09:30,0.97,5923.7828,5788.4093,0,0,135.3735,0,1542.6055,1514.4027,0,0,22.56225,0,efficiency_0.8
58,09:30,09:40,0.9422,5907.586,6012.1304,0,104.5444,0,0,1514.4027,1528.342,0,17.42406667,0,0,efficiency_0.8
59,09:40,09:50,0.9569,5899.1262,6216.1528,0,317.0266,0,0,1528.342,1570.6122,0,52.83776667,0,0,efficiency_0.8
60,09:50,10:00,0.9977,5902.2196,6409.5941,0,507.3745,0,0,1570.6122,1638.2621,0,84.56241667,0,0,efficiency_0.8
61,10:00,10:10,0.9919,5897.4793,6599.3808,0,701.9015,0,0,1638.2621,1731.849,0,116.9835833,0,0,efficiency_0.8
62,10:10,10:20,0.9588,5886.7568,6766.7204,0,879.9636,0,0,1731.849,1849.1775,0,146.6606,0,0,efficiency_0.8
63,10:20,10:30,0.9549,5873.4708,6914.5923,0,1041.1215,0,0,1849.1775,1987.9937,0,173.52025,0,0,efficiency_0.8
64,10:30,10:40,0.9839,5858.0308,7064.2053,0,1206.1745,0,0,1987.9937,2148.8169,0,201.0290833,0,0,efficiency_0.8
65,10:40,10:50,0.799,5844.9948,7197.4315,0,1352.4367,0,0,2148.8169,2329.1418,0,225.4061167,0,0,efficiency_0.8
66,10:50,11:00,0.5025,5839.0587,7303.1142,1025.9949,2490.0504,0,0,2329.1418,2661.1485,170.99915,415.0084,0,0,efficiency_0.8
67,11:00,11:10,0.4662,5838.7103,7387.6848,3451.0255,5000,0,0,2661.1485,3327.8152,575.1709167,833.3333333,0,0,efficiency_0.8
68,11:10,11:20,0.5007,5823.4378,7459.227,3364.2108,5000,0,0,3327.8152,3994.4819,560.7018,833.3333333,0,0,efficiency_0.8
69,11:20,11:30,0.4827,5814.7932,7520.7191,3294.0741,5000,0,0,3994.4819,4661.1485,549.01235,833.3333333,0,0,efficiency_0.8
70,11:30,11:40,0.4785,5832.3951,7568.2039,3264.1912,5000,0,0,4661.1485,5327.8152,544.0318667,833.3333333,0,0,efficiency_0.8
71,11:40,11:50,0.4662,5712.901,7592.1539,3120.7471,5000,0,0,5327.8152,5994.4819,520.1245167,833.3333333,0,0,efficiency_0.8
72,11:50,12:00,0.4432,5519.4607,7601.0433,2918.4174,5000,0,0,5994.4819,6661.1485,486.4029,833.3333333,0,0,efficiency_0.8
73,12:00,12:10,0.4411,5494.7907,7612.316,2882.4747,5000,0,0,6661.1485,7327.8152,480.41245,833.3333333,0,0,efficiency_0.8
74,12:10,12:20,0.4551,5514.4524,7602.6524,2911.8,5000,0,0,7327.8152,7994.4819,485.3,833.3333333,0,0,efficiency_0.8
75,12:20,12:30,0.4463,5485.829,7554.1872,2931.6418,5000,0,0,7994.4819,8661.1485,488.6069667,833.3333333,0,0,efficiency_0.8
76,12:30,12:40,0.4113,5462.3628,7472.7384,2989.6244,5000,0,0,8661.1485,9327.8152,498.2707333,833.3333333,0,0,efficiency_0.8
77,12:40,12:50,0.5682,5566.1066,7393.4172,0,1827.3106,0,0,9327.8152,9571.4566,0,304.5517667,0,0,efficiency_0.8
78,12:50,13:00,0.8279,5725.7548,7312.7979,0,1587.0431,0,0,9571.4566,9783.0624,0,264.5071833,0,0,efficiency_0.8
79,13:00,13:10,0.8636,5739.4957,7194.541,0,1455.0453,0,0,9783.0624,9977.0684,0,242.50755,0,0,efficiency_0.8
80,13:10,13:20,0.8416,5714.6836,7053.1371,0,1338.4535,0,0,9977.0684,10155.529,0,223.0755833,0,0,efficiency_0.8
81,13:20,13:30,0.8618,5717.8505,6910.4064,0,1192.5559,0,0,10155.529,10314.536,0,198.7593167,0,0,efficiency_0.8
82,13:30,13:40,0.8623,5708.2486,6772.4075,0,1064.1589,0,0,10314.536,10456.424,0,177.3598167,0,0,efficiency_0.8
83,13:40,13:50,0.9026,5696.9182,6607.36,0,910.4418,0,0,10456.424,10577.816,0,151.7403,0,0,efficiency_0.8
84,13:50,14:00,0.9754,5692.2983,6412.5085,0,720.2102,0,0,10577.816,10673.844,0,120.0350333,0,0,efficiency_0.8
85,14:00,14:10,1.0002,5687.1291,6214.0158,0,526.8867,0,0,10673.844,10744.096,0,87.81445,0,0,efficiency_0.8
86,14:10,14:20,0.9978,5678.962,6000.7112,0,321.7492,0,0,10744.096,10786.996,0,53.62486667,0,0,efficiency_0.8
87,14:20,14:30,1.0271,5669.4508,5766.9816,0,97.5308,0,0,10786.996,10800,0,16.25513333,0,0,efficiency_0.8
88,14:30,14:40,1.0906,5664.1948,5521.5066,0,0,142.6882,0,10800,10770.273,0,0,23.78136667,0,efficiency_0.8
89,14:40,14:50,0.9376,5672.7011,5268.781,403.9201,0,0,0,10770.273,10770.273,67.32001667,0,0,0,efficiency_0.8
90,14:50,15:00,0.6694,5682.2544,5009.7152,672.5392,0,0,0,10770.273,10770.273,112.0898667,0,0,0,efficiency_0.8
91,15:00,15:10,0.66,5669.0195,4743.4484,1148.5214,222.95031,0,0,10770.273,10800,191.4202333,37.158385,0,0,efficiency_0.8
92,15:10,15:20,0.7217,5656.3651,4471.224,1185.1411,0,0,0,10800,10800,197.5235167,0,0,0,efficiency_0.8
93,15:20,15:30,0.7308,5657.0867,4188.2025,1468.8842,0,0,0,10800,10800,244.8140333,0,0,0,efficiency_0.8
94,15:30,15:40,0.7534,5662.6008,3889.3931,1773.2077,0,0,0,10800,10800,295.5346167,0,0,0,efficiency_0.8
95,15:40,15:50,0.7823,5669.2596,3594.5946,2074.665,0,0,0,10800,10800,345.7775,0,0,0,efficiency_0.8
96,15:50,16:00,0.8055,5673.4767,3303.8878,2369.5889,0,0,0,10800,10800,394.9314833,0,0,0,efficiency_0.8
97,16:00,16:10,0.8271,5671.0146,2998.4247,2672.5899,0,0,0,10800,10800,445.43165,0,0,0,efficiency_0.8
98,16:10,16:20,0.8519,5661.5926,2687.4131,2974.1795,0,0,0,10800,10800,495.6965833,0,0,0,efficiency_0.8
99,16:20,16:30,0.8791,5665.8922,2383.1779,3282.7143,0,0,0,10800,10800,547.11905,0,0,0,efficiency_0.8
100,16:30,16:40,0.9024,5689.0372,2089.1246,3599.9126,0,0,0,10800,10800,599.9854333,0,0,0,efficiency_0.8
101,16:40,16:50,0.9163,5603.6614,1791.0829,3812.5785,0,0,0,10800,10800,635.42975,0,0,0,efficiency_0.8
102,16:50,17:00,0.9264,5466.7124,1501.7283,3964.9841,0,0,0,10800,10800,660.8306833,0,0,0,efficiency_0.8
103,17:00,17:10,0.9462,5467.3939,1255.1723,4212.2216,0,0,0,10800,10800,702.0369333,0,0,0,efficiency_0.8
104,17:10,17:20,0.9742,5464.727,1036.3323,4428.3947,0,0,0,10800,10800,738.0657833,0,0,0,efficiency_0.8
105,17:20,17:30,0.9862,5492.4458,836.7775,4655.6683,0,0,0,10800,10800,775.9447167,0,0,0,efficiency_0.8
106,17:30,17:40,0.976,5621.7308,665.2313,4956.4995,0,0,0,10800,10800,826.08325,0,0,0,efficiency_0.8
107,17:40,17:50,1.0742,5091.2126,516.6758,4574.5368,0,0,0,10800,10800,762.4228,0,0,0,efficiency_0.8
108,17:50,18:00,1.2313,4208.5688,386.6731,3821.8957,0,0,0,10800,10800,636.9826167,0,0,0,efficiency_0.8
109,18:00,18:10,1.2561,4122.7611,275.7933,3846.9678,0,0,0,10800,10800,641.1613,0,0,0,efficiency_0.8
110,18:10,18:20,1.2447,4255.9358,182.9526,4072.9832,0,0,0,10800,10800,678.8305333,0,0,0,efficiency_0.8
111,18:20,18:30,1.2545,4225.9524,108.3414,4117.611,0,0,0,10800,10800,686.2685,0,0,0,efficiency_0.8
112,18:30,18:40,1.2522,4233.3384,54.3121,4179.0263,0,0,0,10800,10800,696.5043833,0,0,0,efficiency_0.8
113,18:40,18:50,1.2881,4246.4625,18.6569,4227.8056,0,0,0,10800,10800,704.6342667,0,0,0,efficiency_0.8
114,18:50,19:00,1.3466,4239.1795,0.2753,0,0,4238.9042,0,10800,9916.895,0,0,706.4840333,0,efficiency_0.8
115,19:00,19:10,1.3523,4244.6684,0.2296,0,0,4244.4388,0,9916.895,9032.6369,0,0,707.4064667,0,efficiency_0.8
116,19:10,19:20,1.3445,4251.9187,0.6007,0,0,4251.318,0,9032.6369,8146.9456,0,0,708.553,0,efficiency_0.8
117,19:20,19:30,1.3483,4256.6813,0,0,0,4256.6813,0,8146.9456,7260.137,0,0,709.4468833,0,efficiency_0.8
118,19:30,19:40,1.349,4267.3947,0,0,0,4267.3947,0,7260.137,6371.0965,0,0,711.23245,0,efficiency_0.8
119,19:40,19:50,1.3473,4269.975,0,0,0,4269.975,0,6371.0965,5481.5183,0,0,711.6625,0,efficiency_0.8
120,19:50,20:00,1.3482,4268.6702,0,0,0,4268.6702,0,5481.5183,4592.212,0,0,711.4450333,0,efficiency_0.8
121,20:00,20:10,1.3513,4282.2245,0,0,0,4282.2245,0,4592.212,3700.0819,0,0,713.7040833,0,efficiency_0.8
122,20:10,20:20,1.34,4291.7049,0,876.5909,0,3415.114,0,3700.0819,2988.5999,146.0984833,0,569.1856667,0,efficiency_0.8
123,20:20,20:30,1.3489,4291.3611,0,0,0,4291.3611,0,2988.5999,2094.5663,0,0,715.22685,0,efficiency_0.8
124,20:30,20:40,1.3952,4293.9182,0,0,0,4293.9182,0,2094.5663,1200,0,0,715.6530333,0,efficiency_0.8
125,20:40,20:50,1.2226,4295.2135,0,4295.2135,0,0,0,1200,1200,715.8689167,0,0,0,efficiency_0.8
126,20:50,21:00,0.9332,4302.0307,0,4302.0307,0,0,0,1200,1200,717.0051167,0,0,0,efficiency_0.8
127,21:00,21:10,0.9068,4320.9618,0,4320.9618,0,0,0,1200,1200,720.1603,0,0,0,efficiency_0.8
128,21:10,21:20,0.9371,4302.3292,0,4302.3292,0,0,0,1200,1200,717.0548667,0,0,0,efficiency_0.8
129,21:20,21:30,0.9371,4322.6758,0,4322.6758,0,0,0,1200,1200,720.4459667,0,0,0,efficiency_0.8
130,21:30,21:40,0.9871,4428.8083,0,4428.8083,0,0,0,1200,1200,738.1347167,0,0,0,efficiency_0.8
131,21:40,21:50,0.7764,4030.1614,0,4030.1614,0,0,0,1200,1200,671.6935667,0,0,0,efficiency_0.8
132,21:50,22:00,0.4209,3362.7419,0,8362.7419,5000,0,0,1200,1866.6667,1393.790317,833.3333333,0,0,efficiency_0.8
133,22:00,22:10,0.3859,3309.3934,0,8309.3934,5000,0,0,1866.6667,2533.3333,1384.8989,833.3333333,0,0,efficiency_0.8
134,22:10,22:20,0.4368,3412.9563,0,3412.9563,0,0,0,2533.3333,2533.3333,568.82605,0,0,0,efficiency_0.8
135,22:20,22:30,0.4198,3381.9313,0,8381.9313,5000,0,0,2533.3333,3200,1396.98855,833.3333333,0,0,efficiency_0.8
136,22:30,22:40,0.4186,3386.5592,0,8386.5592,5000,0,0,3200,3866.6667,1397.759867,833.3333333,0,0,efficiency_0.8
137,22:40,22:50,0.4241,3400.4846,0,3400.4846,0,0,0,3866.6667,3866.6667,566.7474333,0,0,0,efficiency_0.8
138,22:50,23:00,0.4237,3399.2426,0,8399.2426,5000,0,0,3866.6667,4533.3333,1399.873767,833.3333333,0,0,efficiency_0.8
139,23:00,23:10,0.4248,3406.9809,0,3406.9809,0,0,0,4533.3333,4533.3333,567.83015,0,0,0,efficiency_0.8
140,23:10,23:20,0.424,3416.1518,0,8416.1518,5000,0,0,4533.3333,5200,1402.691967,833.3333333,0,0,efficiency_0.8
141,23:20,23:30,0.422,3421.9811,0,8421.9811,5000,0,0,5200,5866.6667,1403.663517,833.3333333,0,0,efficiency_0.8
142,23:30,23:40,0.424,3429.6923,0,4429.6923,1000,0,0,5866.6667,6000,738.28205,166.6666667,0,0,efficiency_0.8
143,23:40,23:50,0.4271,3439.061,0,3439.061,0,0,0,6000,6000,573.1768333,0,0,0,efficiency_0.8
144,23:50,24:00,0.4276,3444.7259,0,3444.7259,0,0,0,6000,6000,574.1209833,0,0,0,efficiency_0.8
1,00:00,00:10,0.4248,3439.8466,0,8439.8466,5000,0,0,6000,6708.3333,1406.6411,833.3333333,0,0,efficiency_0.85
2,00:10,00:20,0.4245,3437.9792,0,8437.9792,5000,0,0,6708.3333,7416.6667,1406.329867,833.3333333,0,0,efficiency_0.85
3,00:20,00:30,0.4269,3444.3031,0,8444.3031,5000,0,0,7416.6667,8125,1407.38385,833.3333333,0,0,efficiency_0.85
4,00:30,00:40,0.4272,3454.4437,0,8454.4437,5000,0,0,8125,8833.3333,1409.07395,833.3333333,0,0,efficiency_0.85
5,00:40,00:50,0.4271,3458.8273,0,8458.8273,5000,0,0,8833.3333,9541.6667,1409.80455,833.3333333,0,0,efficiency_0.85
6,00:50,01:00,0.4285,3459.8401,0,3459.8401,0,0,0,9541.6667,9541.6667,576.6400167,0,0,0,efficiency_0.85
7,01:00,01:10,0.4311,3467.1582,0,3467.1582,0,0,0,9541.6667,9541.6667,577.8597,0,0,0,efficiency_0.85
8,01:10,01:20,0.4302,3467.9632,0,3467.9632,0,0,0,9541.6667,9541.6667,577.9938667,0,0,0,efficiency_0.85
9,01:20,01:30,0.4279,3466.9683,0,7349.3212,3882.3529,0,0,9541.6667,10091.667,1224.886867,647.0588167,0,0,efficiency_0.85
10,01:30,01:40,0.4312,3482.4927,0,3482.4927,0,0,0,10091.667,10091.667,580.41545,0,0,0,efficiency_0.85
11,01:40,01:50,0.4333,3495.0841,0,3495.0841,0,0,0,10091.667,10091.667,582.5140167,0,0,0,efficiency_0.85
12,01:50,02:00,0.4311,3498.4443,0,3498.4443,0,0,0,10091.667,10091.667,583.07405,0,0,0,efficiency_0.85
13,02:00,02:10,0.4293,3505.2295,0,3505.2295,0,0,0,10091.667,10091.667,584.2049167,0,0,0,efficiency_0.85
14,02:10,02:20,0.4324,3512.6387,0,3512.6387,0,0,0,10091.667,10091.667,585.4397833,0,0,0,efficiency_0.85
15,02:20,02:30,0.4367,3516.8685,0,3516.8685,0,0,0,10091.667,10091.667,586.14475,0,0,0,efficiency_0.85
16,02:30,02:40,0.4348,3517.9246,0,3517.9246,0,0,0,10091.667,10091.667,586.3207667,0,0,0,efficiency_0.85
17,02:40,02:50,0.4335,3518.5518,0,3518.5518,0,0,0,10091.667,10091.667,586.4253,0,0,0,efficiency_0.85
18,02:50,03:00,0.4357,3521.0976,0,3521.0976,0,0,0,10091.667,10091.667,586.8496,0,0,0,efficiency_0.85
19,03:00,03:10,0.4374,3526.9261,0,3526.9261,0,0,0,10091.667,10091.667,587.8210167,0,0,0,efficiency_0.85
20,03:10,03:20,0.4371,3537.2854,0,3537.2854,0,0,0,10091.667,10091.667,589.5475667,0,0,0,efficiency_0.85
21,03:20,03:30,0.4356,3544.8808,0,3544.8808,0,0,0,10091.667,10091.667,590.8134667,0,0,0,efficiency_0.85
22,03:30,03:40,0.4353,3541.2787,0,3541.2787,0,0,0,10091.667,10091.667,590.2131167,0,0,0,efficiency_0.85
23,03:40,03:50,0.436,3546.3976,0,3546.3976,0,0,0,10091.667,10091.667,591.0662667,0,0,0,efficiency_0.85
24,03:50,04:00,0.4378,3560.207,0,3560.207,0,0,0,10091.667,10091.667,593.3678333,0,0,0,efficiency_0.85
25,04:00,04:10,0.4401,3561.9581,0,3561.9581,0,0,0,10091.667,10091.667,593.6596833,0,0,0,efficiency_0.85
26,04:10,04:20,0.4389,3556.7183,0,3556.7183,0,0,0,10091.667,10091.667,592.7863833,0,0,0,efficiency_0.85
27,04:20,04:30,0.4364,3560.0272,0,3560.0272,0,0,0,10091.667,10091.667,593.3378667,0,0,0,efficiency_0.85
28,04:30,04:40,0.4393,3580.654,0.5994,3580.0546,0,0,0,10091.667,10091.667,596.6757667,0,0,0,efficiency_0.85
29,04:40,04:50,0.4422,3586.916,0.2345,3586.6815,0,0,0,10091.667,10091.667,597.78025,0,0,0,efficiency_0.85
30,04:50,05:00,0.4395,3571.2635,0.2885,3570.975,0,0,0,10091.667,10091.667,595.1625,0,0,0,efficiency_0.85
31,05:00,05:10,0.4333,3562.3171,18.6781,3543.639,0,0,0,10091.667,10091.667,590.6065,0,0,0,efficiency_0.85
32,05:10,05:20,0.4439,3591.3809,54.4698,3536.9111,0,0,0,10091.667,10091.667,589.4851833,0,0,0,efficiency_0.85
33,05:20,05:30,0.4301,3579.7045,108.9718,3470.7327,0,0,0,10091.667,10091.667,578.45545,0,0,0,efficiency_0.85
34,05:30,05:40,0.3713,3486.119,184.1603,8301.9587,5000,0,0,10091.667,10800,1383.659783,833.3333333,0,0,efficiency_0.85
35,05:40,05:50,0.5708,3823.8994,277.0582,3546.8412,0,0,0,10800,10800,591.1402,0,0,0,efficiency_0.85
36,05:50,06:00,0.9099,4398.0727,388.5494,0,0,4009.5233,0,10800,10013.819,0,0,668.2538833,0,efficiency_0.85
37,06:00,06:10,0.9368,4454.0123,521.2803,0,0,3932.732,0,10013.819,9242.695,0,0,655.4553333,0,efficiency_0.85
38,06:10,06:20,0.8758,4371.7919,672.7677,0,0,3699.0242,0,9242.695,8517.3962,0,0,616.5040333,0,efficiency_0.85
39,06:20,06:30,0.8759,4392.953,844.2261,0,0,3548.7269,0,8517.3962,7821.5674,0,0,591.4544833,0,efficiency_0.85
40,06:30,06:40,0.8601,4384.5956,1039.6744,0,0,3344.9212,0,7821.5674,7165.7005,0,0,557.4868667,0,efficiency_0.85
41,06:40,06:50,0.8442,4434.7757,1259.3375,0,0,3175.4382,0,7165.7005,6543.0655,0,0,529.2397,0,efficiency_0.85
42,06:50,07:00,0.8334,4523.4561,1508.6318,0,0,3014.8243,0,6543.0655,5951.9235,0,0,502.4707167,0,efficiency_0.85
43,07:00,07:10,0.8092,4524.0721,1791.4107,0,0,2732.6614,0,5951.9235,5416.1075,0,0,455.4435667,0,efficiency_0.85
44,07:10,07:20,0.7972,4545.8867,2085.4865,0,0,2460.4002,0,5416.1075,4933.6761,0,0,410.0667,0,efficiency_0.85
45,07:20,07:30,0.7644,4523.2418,2381.2611,0,0,2141.9807,0,4933.6761,4513.6799,0,0,356.9967833,0,efficiency_0.85
46,07:30,07:40,0.6899,4383.3566,2683.1752,1268.6224,0,431.55902,0,4513.6799,4429.0605,211.4370667,0,71.92650333,0,efficiency_0.85
47,07:40,07:50,0.86,4910.4599,2986.3552,0,0,1924.1047,0,4429.0605,4051.7851,0,0,320.6841167,0,efficiency_0.85
48,07:50,08:00,1.1617,5799.7327,3289.204,0,0,2510.5287,0,4051.7851,3559.5245,0,0,418.42145,0,efficiency_0.85
49,08:00,08:10,1.1683,5884.826,3593.3613,0,0,2291.4647,0,3559.5245,3110.2177,0,0,381.9107833,0,efficiency_0.85
50,08:10,08:20,1.0956,5748.0713,3890.7332,0,0,1857.3381,0,3110.2177,2746.0338,0,0,309.55635,0,efficiency_0.85
51,08:20,08:30,1.0849,5769.0581,4181.3417,0,0,1587.7164,0,2746.0338,2434.7169,0,0,264.6194,0,efficiency_0.85
52,08:30,08:40,1.061,5754.2105,4471.7657,0,0,1282.4448,0,2434.7169,2183.2571,0,0,213.7408,0,efficiency_0.85
53,08:40,08:50,1.043,5824.1807,4752.8272,0,0,1071.3535,0,2183.2571,1973.1878,0,0,178.5589167,0,efficiency_0.85
54,08:50,09:00,1.036,5954.2601,5021.9074,0,0,932.3527,0,1973.1878,1790.3735,0,0,155.3921167,0,efficiency_0.85
55,09:00,09:10,1.0147,5958.9696,5285.4126,0,0,673.557,0,1790.3735,1658.3035,0,0,112.2595,0,efficiency_0.85
56,09:10,09:20,0.9922,5929.5554,5543.1742,0,0,386.3812,0,1658.3035,1582.5425,0,0,64.39686667,0,efficiency_0.85
57,09:20,09:30,0.97,5923.7828,5788.4093,0,0,135.3735,0,1582.5425,1555.9987,0,0,22.56225,0,efficiency_0.85
