date,schedule,settlement_mode,solver_status,solver_success,solver_runtime_seconds,release_count,maximum_scenario_power_balance_residual_kw,initial_energy_kwh,final_energy_kwh,initial_planned_purchase_energy_kwh,initial_planned_purchase_cost_yuan,initial_expected_operating_cost_yuan,adjustment_cost_yuan,adjustment_energy_kwh,adjustment_increase_energy_kwh,adjustment_decrease_energy_kwh,adjusted_interval_count,emergency_energy_kwh,emergency_cost_yuan,realized_total_cost_yuan,emergency_interval_count,battery_throughput_kwh,mean_soc_kwh,minimum_soc_kwh,maximum_soc_kwh,main_settlement
2025-02-11,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.3466081000,1,0.0000000000,6903.8255246751,6962.2637364186,85365.2087298615,53383.3610129091,55422.1450521489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,249.3364088344,1242.1134611914,54625.4744741005,22,40577.1859169976,7817.0156749639,1200.0000000000,10800.0000000000,True
2025-02-12,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.7274132000,1,0.0000000000,6962.2637364186,7010.4457483153,85459.1119444064,53368.2038788174,55515.3395514062,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,352.2044354556,1455.3434628213,54823.5473416387,21,40309.0741773055,7885.3802586037,1200.0000000000,10800.0000000000,True
2025-02-13,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.1617896000,1,0.0000000000,7010.4457483153,7112.2394467567,84886.9398504021,53078.1458507384,55056.4776254944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,327.6922403072,1408.8071051834,54486.9529559217,24,36076.6510877631,8083.0024351416,1200.0000000000,10800.0000000000,True
2025-02-14,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.5158758000,1,0.0000000000,7112.2394467567,7112.2394634077,38100.0092325990,20441.6693207325,22038.2461545299,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,724.2084416827,2547.6660794883,22989.3354002209,38,32456.2049268182,6439.8632002386,1200.0000000000,10800.0000000000,True
2025-02-15,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.1077082000,1,0.0000000000,7112.2394634077,7011.2195906992,37161.3500909011,20029.8296810688,21565.8690287809,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,745.9969694452,2863.9704579538,22893.8001390226,36,31346.8961502635,6383.8522060705,1200.0000000000,10800.0000000000,True
2025-02-16,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.9191496000,1,0.0000000000,7011.2195906992,7041.7325452043,83173.7558048784,51756.3497241417,53923.3820152813,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,642.9317769871,2476.2722419660,54232.6219661076,42,39933.8238008823,7815.5088735868,1200.0000000000,10800.0000000000,True
2025-02-17,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.0362622000,1,0.0000000000,7041.7325452043,6992.5553715608,82274.7251673648,50962.9357761013,53086.3633827808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,313.9527437608,1313.5839546475,52276.5197307488,23,36518.5951672466,7964.6859501460,1200.0000000000,10800.0000000000,True
2025-02-18,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.2962567000,1,0.0000000000,6992.5553715608,6967.9894302331,80852.9705135167,50198.3507109777,52261.8762488355,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,343.4861215981,1311.6618492314,51510.0125602091,23,38427.9340072979,7819.1059456265,1200.0000000000,10800.0000000000,True
2025-02-19,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.9816278000,1,0.0000000000,6967.9894302331,6999.3998859572,80489.1654138665,49928.4621630565,52016.2834814727,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,845.2054925672,2847.3589919345,52775.8211549910,40,40818.2482513538,7631.9426800062,1200.0000000000,10800.0000000000,True
2025-02-20,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.5054722000,1,0.0000000000,6999.3998859572,7044.4668020884,80887.3409144180,49969.3914385994,52020.7356434110,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,439.6802730454,1941.1099105933,51910.5013491927,28,39014.4287529693,7692.5092614064,1200.0000000000,10800.0000000000,True
2025-02-21,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.0652166000,1,0.0000000000,7044.4668020884,6833.8842570661,36397.9751514680,19555.3746327811,20671.6853911259,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,275.9435909311,937.7635020565,20493.1381348376,24,31715.8012938217,6138.5187065410,1200.0000000000,10800.0000000000,True
2025-02-22,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.9115031000,1,0.0000000000,6833.8842570661,7007.7117234452,36590.0514634854,19657.2919182377,20876.9230048378,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,314.3096004927,1124.8089034852,20782.1008217228,23,31408.6149116070,6056.8068310218,1200.0000000000,10800.0000000000,True
2025-02-23,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.9653892000,1,0.0000000000,7007.7117234452,6975.5314804267,79476.3858752490,49181.0120426664,51006.8772405064,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,686.0068339791,2310.8629132660,51491.8749559324,33,39809.9258402428,7600.6201230342,1207.5420561343,10800.0000000000,True
2025-02-24,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,10.7323012000,1,0.0000000000,6975.5314804267,6916.9057595930,78304.6017986906,48276.7222251675,50365.1807806189,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,361.7088353933,1505.8551292358,49782.5773544033,24,38162.8381050034,7654.3539820751,1200.0000000000,10800.0000000000,True
2025-02-25,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.2564739000,1,0.0000000000,6916.9057595930,6999.3999951498,78765.4212110739,48564.6056292934,50688.1581497807,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,343.4492764936,1192.7244442745,49757.3300735679,25,36143.1597418070,7814.0402199929,1200.0000000000,10800.0000000000,True
2025-02-26,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.1887219000,1,0.0000000000,6999.3999951498,7011.2193140460,77832.9179975599,47857.7170514548,49824.5247526862,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,583.2267648656,2266.0730707225,50123.7901221773,30,38755.9925313112,7585.3877740244,1200.0000000000,10800.0000000000,True
2025-02-27,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.0317639000,1,0.0000000000,7011.2193140460,6999.4000621947,76983.7183837006,47317.7763814463,49245.7921695404,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,448.4995919727,2103.2234776733,49420.9998591196,18,40536.2850811022,7445.7682035444,1200.0000000000,10800.0000000000,True
2025-02-28,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.1641814000,1,0.0000000000,6999.4000621947,6999.2064518099,35256.1422536819,18835.3162064362,19920.0866753558,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,411.4504936480,1519.8340418702,20355.1502483064,28,30378.9286215949,6024.9172069474,1200.0000000000,10800.0000000000,True
2025-03-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.6423927000,1,0.0000000000,6999.2064518099,6982.2997186477,35455.6687092464,19041.9904301658,20108.5043125352,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,471.9732459350,2098.7333584231,21140.7237885889,20,29635.3790076599,6195.5741867600,1214.3103363715,10800.0000000000,True
2025-03-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.6329999000,1,0.0000000000,6982.2997186477,6999.2063005851,76898.5284335501,47170.8677755988,49330.9329877674,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,3569.4497922530,13761.9602108783,60932.8279864771,44,39887.8536678183,7549.2462909616,1200.0000000000,10800.0000000000,True
2025-03-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.8088906000,1,0.0000000000,6999.2063005851,7000.1735999980,77648.5439025327,47813.1554939175,50048.5577501575,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1996.1806686504,8416.0833668478,56229.2388607653,56,41449.7877841402,7488.1177498037,1200.0000000000,10800.0000000000,True
2025-03-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.8875316000,1,0.0000000000,7000.1735999980,6969.6416076787,78041.6652879632,48167.2014002377,50665.7498448470,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,637.1161557510,1842.4027820988,50009.6041823365,29,39487.2299846006,7623.8826042561,1200.0000000000,10800.0000000000,True
2025-03-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.6961805000,1,0.0000000000,6969.6416076787,7055.4023665324,79092.8972426641,48714.2509622519,50810.9131579839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,156.0162058003,653.9424357617,49368.1933980136,12,36382.2435615141,7906.4843240553,1200.0000000000,10800.0000000000,True
2025-03-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.9156775000,1,0.0000000000,7055.4023665324,7044.4665719805,77929.0198732032,48156.3953635425,50429.7418705073,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,313.9985775594,919.7976508096,49076.1930143520,21,36426.1060361620,7914.8104830788,1200.0000000000,10800.0000000000,True
2025-03-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.1912683000,1,0.0000000000,7044.4665719805,7141.1857964297,34818.8228940055,18660.3820231403,19880.7956406587,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,208.5087599365,724.6465452408,19385.0285683811,14,28864.3120139352,6325.8533840466,1258.2662145544,10800.0000000000,True
2025-03-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.2925784000,1,0.0000000000,7141.1857964297,7007.0242002613,32768.0658677326,17755.4286796225,18855.1280626064,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,360.6204595006,1108.9266721030,18864.3553517255,23,30663.6264089142,5982.9190191717,1214.4689760561,10800.0000000000,True
2025-03-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.7608912000,1,0.0000000000,7007.0242002613,6919.1517156533,75079.6107622795,46081.1893357182,48383.7957634963,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,276.0896524888,1117.1624476104,47198.3517833286,21,37604.2748661968,7632.3362978432,1200.0000000000,10800.0000000000,True
2025-03-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.9268312000,1,0.0000000000,6919.1517156533,6916.6019438710,73813.0545152585,45149.7014757182,47180.8204135470,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2105.3602809251,6629.0755602813,51778.7770359995,52,38771.5937943990,7419.8561384645,1200.0000000000,10800.0000000000,True
2025-03-11,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.6064257000,1,0.0000000000,6916.6019438710,7049.8801421800,72475.4020037092,44023.2664170004,46139.9551725112,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,783.1734362192,2966.1739762429,46989.4403932433,40,37878.3292015143,7487.7636471362,1208.1475434028,10800.0000000000,True
2025-03-12,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.2474340000,1,0.0000000000,7049.8801421800,6992.7487728297,73090.2321076243,44526.2581330288,46826.3896384607,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,447.1354615442,1584.6150249993,46110.8731580280,30,36688.5337840190,7545.8210367844,1200.0000000000,10800.0000000000,True
2025-03-13,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.6216731000,1,0.0000000000,6992.7487728297,7083.2120831748,73240.2566510317,44553.5249415289,46672.5608852615,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2078.5797128652,8040.4699045555,52593.9948460844,43,38123.0692479912,7458.4064291012,1200.0000000000,10800.0000000000,True
2025-03-14,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.5235464000,1,0.0000000000,7083.2120831748,6999.3998938712,31882.0304509935,17117.9722740116,18159.0566091372,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,314.7025352898,1341.2162179735,18459.1884919851,23,30218.9153892704,6049.9635281271,1200.0000000000,10800.0000000000,True
2025-03-15,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.6109552000,1,0.0000000000,6999.3998938712,7097.6677684802,32397.1710628853,17319.9217429537,18366.5888613454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,368.2693300699,1557.9724140338,18877.8941569875,24,30672.1505696287,6047.6771436340,1211.4458297164,10800.0000000000,True
2025-03-16,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.1868047000,1,0.0000000000,7097.6677684802,7012.6400542558,71578.8308707702,43496.6132798940,45662.2307779142,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,610.8795456438,2314.1216014655,45810.7348813595,37,37715.2898467914,7425.8390611014,1204.1546288339,10800.0000000000,True
2025-03-17,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.8852153000,1,0.0000000000,7012.6400542558,7046.7945105719,71741.1830036361,43408.5546980395,45980.9026248001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,261.8180988523,1171.3451459081,44579.8998439476,18,35138.9418990064,7573.2526759965,1202.3279720775,10800.0000000000,True
2025-03-18,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.1881805000,1,0.0000000000,7046.7945105719,7086.2220741985,71504.9850981114,43384.1507111545,45497.8687671345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,620.5927072738,2648.4155819228,46032.5662930773,25,37675.9815652255,7463.6737371596,1200.0000000000,10800.0000000000,True
2025-03-19,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.0950115000,1,0.0000000000,7086.2220741985,6969.8454601308,69397.3177725609,42059.5166398489,44326.1675528776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,354.7617286098,1638.8715139271,43698.3881537760,22,38399.1289039773,7362.0341972978,1200.0000000000,10800.0000000000,True
2025-03-20,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.2558877000,1,0.0000000000,6969.8454601308,6992.7485788186,69560.8312932040,42207.5203464276,44569.6676944371,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1012.6180108731,3698.7209836716,45906.2413300992,44,38187.1339620473,7379.2141582997,1200.0000000000,10800.0000000000,True
2025-03-21,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.4726694000,1,0.0000000000,6992.7485788186,7135.5662149877,31422.1353312374,16780.4883925738,17832.6233638760,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,414.3968168308,1235.4617212467,18015.9501138206,23,30512.1478841842,6118.4900232709,1293.8336797594,10800.0000000000,True
2025-03-22,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.2737160000,1,0.0000000000,7135.5662149877,7123.3399095023,31983.3666968342,17114.7613998146,18228.3156998386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,194.2504810098,595.8413121033,17710.6027119179,14,30309.5206249246,6114.7792363938,1267.9367370891,10800.0000000000,True
2025-03-23,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.3578453000,1,0.0000000000,7123.3399095023,6986.4592958263,68199.5927316140,41115.0043235442,43109.4706188689,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,676.7461399020,2564.2197196234,43679.2240431676,32,37062.8216695567,7396.7686738244,1200.0000000000,10800.0000000000,True
2025-03-24,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,9.2751429000,1,0.0000000000,6986.4592958263,7044.4665298629,67603.8700961700,40819.2951218540,43544.7480716656,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,671.5195914123,2117.5510097222,42936.8461315762,37,37983.6206261055,7389.7035657975,1200.0000000000,10800.0000000000,True
2025-03-25,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.9708441000,1,0.0000000000,7044.4665298629,6999.2066221086,68193.5845871028,41154.3244502731,43419.5303281803,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1119.4623883562,4004.3167434958,45158.6411937689,44,36991.2871125464,7500.5110620930,1200.0000000000,10800.0000000000,True
2025-03-26,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.2958376000,1,0.0000000000,6999.2066221086,7086.2220083964,66287.4439708253,39859.7188764097,42095.7532407625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,458.0077945467,1574.2295206951,41433.9483971048,25,37219.5809925108,7405.7002857697,1200.0000000000,10800.0000000000,True
2025-03-27,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.9665164000,1,0.0000000000,7086.2220083964,7114.7489544391,67104.2091625314,40521.0083292196,42581.4928263156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,627.7266508520,2085.3588977827,42606.3672270022,32,36882.2191718665,7484.6259944171,1202.4245245949,10800.0000000000,True
2025-03-28,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,5.6655726000,1,0.0000000000,7114.7489544391,7221.6184313345,31114.2223392009,16407.6007352109,17445.5848924583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,258.5215643664,866.2888456991,17273.8895809100,16,30488.4771864946,5959.0963982855,1241.3370078340,10800.0000000000,True
2025-03-29,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.0889206000,1,0.0000000000,7221.6184313345,7039.9299876802,30440.4407236005,16020.1259158994,17014.1750349713,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,326.1202101850,1358.6730660804,17378.7989819797,19,30340.1803821915,6036.4673452340,1240.5300949518,10800.0000000000,True
2025-03-30,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.2854994000,1,0.0000000000,7039.9299876802,7012.4806087346,65890.7188793293,39726.7350465788,42331.4814211151,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,485.8906200004,1806.7007578200,41533.4358043989,26,36179.1778504193,7521.1730585147,1201.2610821759,10800.0000000000,True
2025-03-31,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.6821237000,1,0.0000000000,7012.4806087346,6993.0134342061,62984.1135569205,37824.1046598836,39761.9890615244,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1215.4746272023,4435.6660773891,42259.7707372727,44,35532.0829013651,7521.9374908962,1200.4582609954,10800.0000000000,True
2025-04-01,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,8.4072836000,1,0.0000000000,6993.0134342061,7041.7325573030,66231.1831368510,39728.0048311843,42197.2060016626,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1801.1409216445,5011.1234990506,44739.1283302349,48,35311.6698184096,7597.5742855689,1200.0000000000,10800.0000000000,True
2025-04-02,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.7246730000,1,0.0000000000,7041.7325573030,7011.2196431874,65253.6846726482,39073.8377262607,41298.1021909158,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2556.3965529943,9488.1550817141,48561.9928079747,57,38390.3401119059,7304.4129806871,1200.0000000000,10800.0000000000,True
2025-04-03,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.0294230000,1,0.0000000000,7011.2196431874,7053.9505189389,65715.2237366903,39355.8562022615,41658.6921122867,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,405.7006253757,1318.3656148694,40674.2218171309,28,37417.5438525279,7420.8799179601,1200.0000000000,10800.0000000000,True
2025-04-04,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,1.0666903000,1,0.0000000000,7053.9505189389,7302.5448231893,30048.9430583907,15680.0658113416,16714.2268343827,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,364.8816613693,1388.3797658957,17068.4455772373,22,30236.2086145400,5835.0986884105,1349.3864922928,10800.0000000000,True
2025-04-05,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.4998224000,1,0.0000000000,7302.5448231893,6992.3630758611,29629.0628110378,15475.4227599343,16456.8212153272,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,349.4771681585,1150.0555784005,16625.4783383349,28,30218.3860918395,6119.8067191879,1200.0000000000,10800.0000000000,True
2025-04-06,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.6238165000,1,0.0000000000,6992.3630758611,7597.5493908423,66361.8084288868,39252.9596127866,41898.8609320842,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,402.9130210666,1622.8222837279,40875.7818965145,26,37085.2465432728,7483.4746569685,1200.0000000000,10800.0000000000,True
2025-04-07,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,4.3351154000,1,0.0000000000,7597.5493908423,7010.4457875116,62694.3624288015,37423.6448813365,39474.2748530448,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,441.2094137067,1098.4611220033,38522.1060033398,26,35417.7091162885,7505.6035266245,1200.0000000000,10800.0000000000,True
2025-04-08,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,6.8653315000,1,0.0000000000,7010.4457875116,7041.7328799921,64656.3850468147,38555.9109169482,40682.5680303906,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,712.1852475869,3173.8615209062,41729.7724378544,34,37697.1431173148,7335.6155451909,1200.0000000000,10800.0000000000,True
2025-04-09,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.6855109000,1,0.0000000000,7041.7328799921,6954.0395267768,62813.4000418061,37605.4696453619,39807.8430780102,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,2824.3711074530,9390.4786594946,46995.9483048565,57,37469.5815796050,7335.5838253516,1200.0000000000,10800.0000000000,True
2025-04-10,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,7.9047223000,1,0.0000000000,6954.0395267768,7105.5151932091,63675.7859442987,37966.9381457990,40163.2171970197,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,639.6959027736,2772.1035308765,40739.0416766755,33,37444.9293052589,7370.3158933847,1207.2574182581,10800.0000000000,True
2025-04-11,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,3.0287102000,1,0.0000000000,7105.5151932091,7107.5668279926,29040.2745323162,14976.3668017860,15956.6534169752,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,467.6267017555,1798.0314522847,16774.3982540707,29,30325.6158670228,6159.3355580431,1298.0497833216,10800.0000000000,True
2025-04-12,S0,SEQUENTIAL_PREVIOUS_COMMITMENT,Optimal,1,2.6972838000,1,0.0000000000,7107.5668279926,7273.6068677046,29846.6844270943,15457.9564479310,16381.7669887717,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,141.3259101812,508.9809991735,15966.9374471044,15,29452.8514902887,6281.5112171004,1339.6465205440,10800.0000000000,True
